"","Aleck_Rock.Aleck_Rock","Aleck_Rock.Aleck_Rock.1","Barren_Island.Barren_Island","Barren_Island.Barren_Island.1","Battleship_Island.Battleship_Island","Battleship_Island.Battleship_Island.1","Blind_Island.Blind_Island","Blind_Island.Blind_Island.1","Boulder_Island.Boulder_Island","Boulder_Island.Boulder_Island.1","Broken_Point_Island.Broken_Point_Island","Broken_Point_Island.Broken_Point_Island.1","Buck_Island.Buck_Island","Buck_Island.Buck_Island.1","Castle_Island.Castle_Island","Castle_Island.Castle_Island.1","Cemetery_Island.Cemetery_Island","Cemetery_Island.Cemetery_Island.1","Charles_Island.Charles_Island","Charles_Island.Charles_Island.1","Cliff_Island.Cliff_Island","Cliff_Island.Cliff_Island.1","Colville_Island.Colville_Island","Colville_Island.Colville_Island.1","Coon_Island.Coon_Island","Coon_Island.Coon_Island.1","Crab_Island.Crab_Island","Crab_Island.Crab_Island.1","Deadman_Island.Deadman_Island","Deadman_Island.Deadman_Island.1","Dot_Island.Dot_Island","Dot_Island.Dot_Island.1","Dotlet_Island.Dotlet_Island","Dotlet_Island.Dotlet_Island.1","East_Sucia_1_Island.East_Sucia_1_Island","East_Sucia_1_Island.East_Sucia_1_Island.1","East_Sucia_2_Island.East_Sucia_2_Island","East_Sucia_2_Island.East_Sucia_2_Island.1","East_Sucia_3_Island.East_Sucia_3_Island","East_Sucia_3_Island.East_Sucia_3_Island.1","East_Sucia_4_Island.East_Sucia_4_Island","East_Sucia_4_Island.East_Sucia_4_Island.1","East_Sucia_6_Island.East_Sucia_6_Island","East_Sucia_6_Island.East_Sucia_6_Island.1","East_Sucia_7_Island.East_Sucia_7_Island","East_Sucia_7_Island.East_Sucia_7_Island.1","East_Sucia_8_Island.East_Sucia_8_Island","East_Sucia_8_Island.East_Sucia_8_Island.1","Ewing_Island.Ewing_Island","Ewing_Island.Ewing_Island.1","Fawn_Island.Fawn_Island","Fawn_Island.Fawn_Island.1","Flat_Top_Island.Flat_Top_Island","Flat_Top_Island.Flat_Top_Island.1","Flint_Beach_Island.Flint_Beach_Island","Flint_Beach_Island.Flint_Beach_Island.1","Flower_Island.Flower_Island","Flower_Island.Flower_Island.1","Fortress_Island.Fortress_Island","Fortress_Island.Fortress_Island.1","Gossip_Island.Gossip_Island","Gossip_Island.Gossip_Island.1","Hat_Island.Hat_Island","Hat_Island.Hat_Island.1","Huckleberry_Island.Huckleberry_Island","Huckleberry_Island.Huckleberry_Island.1","Iceberg_Island.Iceberg_Island","Iceberg_Island.Iceberg_Island.1","Little_Cactus.Little_Cactus","Little_Cactus.Little_Cactus.1","Little_McConnell_Island.Little_McConnell_Island","Little_McConnell_Island.Little_McConnell_Island.1","Little_Nob.Little_Nob","Little_Nob.Little_Nob.1","Little_Oak.Little_Oak","Little_Oak.Little_Oak.1","Little_Sucia_Island.Little_Sucia_Island","Little_Sucia_Island.Little_Sucia_Island.1","Low_Island.Low_Island","Low_Island.Low_Island.1","Mackaye_Harbor_Island.Mackaye_Harbor_Island","Mackaye_Harbor_Island.Mackaye_Harbor_Island.1","Massacre_Bay__1_Island.Massacre_Bay__1_Island","Massacre_Bay__1_Island.Massacre_Bay__1_Island.1","Matia_Island.Matia_Island","Matia_Island.Matia_Island.1","Matia_West__1.Matia_West__1","Matia_West__1.Matia_West__1.1","Matia_West__2.Matia_West__2","Matia_West__2.Matia_West__2.1","McConnell_Island.McConnell_Island","McConnell_Island.McConnell_Island.1","Near_Decatur_Island___Unnamed__3.Near_Decatur_Island___Unnamed__3","Near_Decatur_Island___Unnamed__3.Near_Decatur_Island___Unnamed__3.1","Nob_Island.Nob_Island","Nob_Island.Nob_Island.1","North_Finger_Island.North_Finger_Island","North_Finger_Island.North_Finger_Island.1","Oak_Island.Oak_Island","Oak_Island.Oak_Island.1","Pole_Island.Pole_Island","Pole_Island.Pole_Island.1","Posey_Island.Posey_Island","Posey_Island.Posey_Island.1","Reef_Island.Reef_Island","Reef_Island.Reef_Island.1","Reeflet_Island.Reeflet_Island","Reeflet_Island.Reeflet_Island.1","Rim_Island.Rim_Island","Rim_Island.Rim_Island.1","Ripple_Island.Ripple_Island","Ripple_Island.Ripple_Island.1","Rum_Island.Rum_Island","Rum_Island.Rum_Island.1","Saddlebag_Island.Saddlebag_Island","Saddlebag_Island.Saddlebag_Island.1","Secar_Rock.Secar_Rock","Secar_Rock.Secar_Rock.1","Sentinel_Island.Sentinel_Island","Sentinel_Island.Sentinel_Island.1","Skull_Island.Skull_Island","Skull_Island.Skull_Island.1","Small_Island_near_Charles.Small_Island_near_Charles","Small_Island_near_Charles.Small_Island_near_Charles.1","Swirl_Rock_Central.Swirl_Rock_Central","Swirl_Rock_Central.Swirl_Rock_Central.1","Turn_Island.Turn_Island","Turn_Island.Turn_Island.1","Turnlet_Island.Turnlet_Island","Turnlet_Island.Turnlet_Island.1","Unnamed__1_near_Long_Island.Unnamed__1_near_Long_Island","Unnamed__1_near_Long_Island.Unnamed__1_near_Long_Island.1","Unnamed__2_near_Long_Island.Unnamed__2_near_Long_Island","Unnamed__2_near_Long_Island.Unnamed__2_near_Long_Island.1","Unnamed__3_near_Long_Island.Unnamed__3_near_Long_Island","Unnamed__3_near_Long_Island.Unnamed__3_near_Long_Island.1","Unnamed_72_Island.Unnamed_72_Island","Unnamed_72_Island.Unnamed_72_Island.1","Victim_Island.Victim_Island","Victim_Island.Victim_Island.1","Willow_Island.Willow_Island","Willow_Island.Willow_Island.1","Yellow_Island.Yellow_Island","Yellow_Island.Yellow_Island.1"
"island","Aleck_Rock","Aleck_Rock","Barren_Island","Barren_Island","Battleship_Island","Battleship_Island","Blind_Island","Blind_Island","Boulder_Island","Boulder_Island","Broken_Point_Island","Broken_Point_Island","Buck_Island","Buck_Island","Castle_Island","Castle_Island","Cemetery_Island","Cemetery_Island","Charles_Island","Charles_Island","Cliff_Island","Cliff_Island","Colville_Island","Colville_Island","Coon_Island","Coon_Island","Crab_Island","Crab_Island","Deadman_Island","Deadman_Island","Dot_Island","Dot_Island","Dotlet_Island","Dotlet_Island","East_Sucia_1_Island","East_Sucia_1_Island","East_Sucia_2_Island","East_Sucia_2_Island","East_Sucia_3_Island","East_Sucia_3_Island","East_Sucia_4_Island","East_Sucia_4_Island","East_Sucia_6_Island","East_Sucia_6_Island","East_Sucia_7_Island","East_Sucia_7_Island","East_Sucia_8_Island","East_Sucia_8_Island","Ewing_Island","Ewing_Island","Fawn_Island","Fawn_Island","Flat_Top_Island","Flat_Top_Island","Flint_Beach_Island","Flint_Beach_Island","Flower_Island","Flower_Island","Fortress_Island","Fortress_Island","Gossip_Island","Gossip_Island","Hat_Island","Hat_Island","Huckleberry_Island","Huckleberry_Island","Iceberg_Island","Iceberg_Island","Little_Cactus","Little_Cactus","Little_McConnell_Island","Little_McConnell_Island","Little_Nob","Little_Nob","Little_Oak","Little_Oak","Little_Sucia_Island","Little_Sucia_Island","Low_Island","Low_Island","Mackaye_Harbor_Island","Mackaye_Harbor_Island","Massacre_Bay__1_Island","Massacre_Bay__1_Island","Matia_Island","Matia_Island","Matia_West__1","Matia_West__1","Matia_West__2","Matia_West__2","McConnell_Island","McConnell_Island","Near_Decatur_Island___Unnamed__3","Near_Decatur_Island___Unnamed__3","Nob_Island","Nob_Island","North_Finger_Island","North_Finger_Island","Oak_Island","Oak_Island","Pole_Island","Pole_Island","Posey_Island","Posey_Island","Reef_Island","Reef_Island","Reeflet_Island","Reeflet_Island","Rim_Island","Rim_Island","Ripple_Island","Ripple_Island","Rum_Island","Rum_Island","Saddlebag_Island","Saddlebag_Island","Secar_Rock","Secar_Rock","Sentinel_Island","Sentinel_Island","Skull_Island","Skull_Island","Small_Island_near_Charles","Small_Island_near_Charles","Swirl_Rock_Central","Swirl_Rock_Central","Turn_Island","Turn_Island","Turnlet_Island","Turnlet_Island","Unnamed__1_near_Long_Island","Unnamed__1_near_Long_Island","Unnamed__2_near_Long_Island","Unnamed__2_near_Long_Island","Unnamed__3_near_Long_Island","Unnamed__3_near_Long_Island","Unnamed_72_Island","Unnamed_72_Island","Victim_Island","Victim_Island","Willow_Island","Willow_Island","Yellow_Island","Yellow_Island"
"Metric","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat"
"n.inv.tax","6","6","3","3","9","9","4","4","4","4","NA","NA","NA","NA","4","4","NA","NA","3","3","2","2","NA","NA","6","6","NA","NA","3","3","7","7","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","1","4","4","NA","NA","4","4","6","6","4","4","5","5","5","5","3","3","2","2","5","5","6","6","NA","NA","2","2","6","6","NA","NA","NA","NA","5","5","NA","NA","1","1","NA","NA","12","12","3","3","5","5","7","7","3","3","3","3","3","3","3","3","4","4","6","6","4","4","NA","NA","3","3","5","5","4","4","11","11","NA","NA","5","5","8","8","NA","NA","NA","NA","8","8","NA","NA","4","4","NA","NA","NA","NA","NA","NA","7","7","6","6","6","6"
"mean.obs.metric","0.0631851242508756","0.135110827522763","0.0690078480045603","0.137229934634069","0.0900472835885877","0.10164898650935","0.0730603041959473","0.167237275864677","0.0730603041959473","0.183225327677534",NA,NA,NA,NA,"0.0730603041959473","0.218120148997447","NA","NA","0.0932754930035324","0.245488291071242","0.0285283817568181","0.124278771556465",NA,NA,"-0.0165359489101926","0.10162824997876","NA","NA","0.064911944430433","0.148877703923377","0.051439706641586","0.0945204217100862",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0857001062988477","0.0873388626820851","0.0244673602809242","0.0973758570169345","NA","NA","0.150767710758588","0.146761102752533","0.149218113533267","0.242281439847573","0.0087420133941781","-0.0134357767355409","0.0823674679302014","0.168746661225751","0.0729027347569942","0.124776999405842","0.060730859422288","0.0351150293111758","0.0624208558587172","0.218174274854712","-0.0010936934124352","0.140731316057105","0.00810371731025543","0.0773845024386217",NA,NA,"0.0802609806761651","0.0180705742031614","0.0603338493807271","0.155798662389394","NA","NA","NA","NA","0.0416861136782888","0.120842329643933",NA,NA,"0.384856148489453","0.324490326176658","NA","NA","0.0831254084982212","0.167462122972446","0.10057707996715","0.231330455140494","-0.0079571817246517","0.0440309796455016","0.050373232092941","0.137934219143211","0.137911268219807","0.124565899045531","0.132325867851795","0.234738023180577","-0.0196312226896511","0.145065101537808","0.0775009377148538","0.19987739651787","0.105331840692167","0.169764257370529","0.105143870538892","0.212585904699118","0.048650897804502","0.147250873288525",NA,NA,"0.0457521498302087","0.127340572380798","0.0742222504921715","0.125527816648087","0.0750984090861473","0.184332472247049","0.0496012244056065","0.0879706645735089","NA","NA","0.0277272534476692","0.0604346043369865","0.107093488027494","0.144898333313666",NA,NA,NA,NA,"0.00392034303690311","0.0842121124760353",NA,NA,"0.00801914948288698","0.0511312117246475",NA,NA,NA,NA,NA,NA,"0.11088685150067","0.148116643651573","-0.0208834002707998","0.167291616085721","-0.0347160167859644","-0.00337939187343725"
"mean.randomized.null","0.0499501483083193","0.0862498297558045","0.0927507215763372","0.123751406278453","0.0627323285480785","0.0587691356537975","0.06613447674527","0.0719691135290577","0.0576053340071931","0.126433476311352","NaN","NaN","NaN","NaN","-0.00872789117384004","0.129241834010691","NA","NA","0.0615383208698568","0.116753158516951","0.0301834467491496","0.11649841415667","NaN","NaN","0.0107420568904861","0.0717765548194857","NA","NA","0.0513466439445747","0.0668125634645401","0.0628729324110144","0.066162560939993","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.12733738365793","0.0839578734436027","0.0660089397634626","0.117949128607985","NA","NA","0.0253294892472937","0.061883720446939","0.0704939405691141","0.114289346352764","0.0156635324243918","0.0260023851683646","0.0477019402032927","0.065171106286586","-0.0317854813930835","0.00937136767394609","0.0488930475909413","0.0376484076353154","0.0291987462842018","0.0574321198554568","0.0894118461736994","0.158632997884506","0.0398398699410358","0.12326369945706","NaN","NaN","0.0847920631253627","0.0669328127890552","0.0331232662133054","0.0912316857440013","NA","NA","NA","NA","-0.162051001775407","0.0617855070237882","NaN","NaN","0.0342153682171566","0.0449695638273223","NA","NA","0.0411012250578579","0.122866968929561","0.0975346074978825","0.157823270827766","0.0289879506199758","0.0360124592222619","0.0514456279419674","0.114187256046507","NaN","NaN","0.0729119750799868","0.112911500126519","-0.0344381110863017","0.0153576096891297","0.0518529503494344","0.111342648116282","0.0688757255851244","0.0715298127308241","0.0528675814455088","0.110156636541848","0.0263849898119461","0.0883309901902425","NaN","NaN","0.113212369516891","0.101552307292683","0.0290990181570718","0.0472467099491823","0.0645924623772231","0.110939293895879","0.0537694238227027","0.113698870582705","NA","NA","0.0656096925511806","0.140709218252309","0.0641618028562214","0.0934510918676862","NaN","NaN","NaN","NaN","-0.000873621767989644","0.122141860065697","NaN","NaN","-0.0189873041126394","-0.00774768211062828","NaN","NaN","NaN","NaN","NaN","NaN","0.0524789479054134","0.0881142934966883","0.0721677635550999","0.177963820126944","0.0171148513091243","0.0811464148699685"
"median.randomized.null","0.0510994162930873","0.0855345195086917","0.0899791214011423","0.123057737965529","0.0607852830862172","0.0595859225825449","0.0671838046827568","0.0712842517761098","0.0598203878422703","0.128482300000937",NA,NA,NA,NA,"-0.0039876130950591","0.129382051090899","NA","NA","0.0596206559020529","0.115333862090467","0.0257028033655645","0.114030004184298",NA,NA,"0.0102615685893655","0.070241494946245","NA","NA","0.0561416144551758","0.0711358477649522","0.0623077030233934","0.067410700869704",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.121137976148051","0.0815918325968011","0.0654950552306287","0.120644095571587","NA","NA","0.0164629183967775","0.0523123162999675","0.0683311355069591","0.114134798317529","0.0129095124736478","0.0242980346392082","0.0502429780314343","0.0668878379003634","-0.0295225947197753","0.00943287981512973","0.049568334320489","0.0398453066672252","0.0245745901851809","0.0581562328461838","0.083475967372526","0.157527433122021","0.0379551872056829","0.122048904912142",NA,NA,"0.0857001062988477","0.0706516435404096","0.0325122829941558","0.0910525259426811","NA","NA","NA","NA","-0.162051001775407","0.0617855070237882",NA,NA,"0.0307066512573958","0.0472952791143318","NA","NA","0.0409479717753717","0.123666662333182","0.0890085619385396","0.157944357381282","0.0285283817568181","0.036969729228025","0.0484612678990166","0.112441086569533",NA,NA,"0.0728071046647116","0.113194737928131","-0.0290441480614231","0.0115932219170943","0.0539589746448103","0.113098346642433","0.0683213802757706","0.0692701387630154","0.0515050729068582","0.110395278471748","0.0220693051146874","0.0882664221055123",NA,NA,"0.108538244523093","0.100383230992842","0.0272207989600458","0.0461913837868301","0.066592914199128","0.112410487016349","0.0519944637317991","0.113344318110872","NA","NA","0.0649582783066117","0.140159432385982","0.0608771294795957","0.0949073330200525",NA,NA,NA,NA,"0.00159385401997053","0.121421903621699",NA,NA,"-0.0209347964435866","-0.010852519907027",NA,NA,NA,NA,NA,NA,"0.052018593421806","0.0881265662069764","0.0705599860738702","0.175455792460355","0.0186558124195134","0.0786979908040754"
"sd.randomized.null","0.0627840564774045","0.0718388849400471","0.0803269194256613","0.0761443126474576","0.0647826358315984","0.0577318271584787","0.0769546462041304","0.0788608592654942","0.0651452518043475","0.0637064508548305",NA,NA,NA,NA,"0.0741824538004042","0.0658049734536009","NA","NA","0.0744581901414499","0.0592744468022595","0.0812827731908574","0.0697515034430218",NA,NA,"0.0531447679896263","0.04849706100229","NA","NA","0.0707076312646478","0.0708505295462308","0.0660453189523085","0.0694254144718716",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0862666408096128","0.0788790350515987","0.0611072237622409","0.0665906838562861","NA","NA","0.128171753496319","0.110585618545225","0.059728742734524","0.0607480811318373","0.0663800204841625","0.0541361444224904","0.0695477203500019","0.0784854143516014","0.0756734031081608","0.0738041392336925","0.0716683058694953","0.0813526940725871","0.0792077308822052","0.0798558913906108","0.0967624633185724","0.0833688247313371","0.0629775774624531","0.0547700149631306",NA,NA,"0.108331322451865","0.104287874006588","0.0485336238707235","0.0445196705237401","NA","NA","NA","NA","0","0",NA,NA,"0.104335221712404","0.092981921518063","NA","NA","0.0557715189061094","0.0527277561327579","0.112124825094894","0.104242783598695","0.0941122210418787","0.0929052322235748","0.0580751807488853","0.0530137368678142",NA,NA,"0.0749677999969567","0.075163347677569","0.0732974339188411","0.0671748879119511","0.0552662674319567","0.0659268232029226","0.064437095450584","0.0704583506116309","0.047554607369592","0.0459929618508826","0.0808787954218763","0.068844545721539",NA,NA,"0.106173851415528","0.0883320580905254","0.0711876816953059","0.0756687682381434","0.0761729507860797","0.082347393225899","0.0490460247373648","0.0407603985661312","NA","NA","0.0653183364019318","0.0655607503907411","0.0461763472954854","0.0435881571922855",NA,NA,NA,NA,"0.0635540493502233","0.0604769693767595",NA,NA,"0.0801328333480028","0.0752071305540959",NA,NA,NA,NA,NA,NA,"0.047416570299265","0.0537849100922613","0.0968512149282815","0.0820544541924979","0.0516983600490215","0.042201797983528"
"se.randomized.null","0.00157956238117496","0.00272745909830107","0.00293303534805348","0.00391336307488774","0.00198377041137932","0.00185844324785409","0.00209135578378493","0.00227586319935061","0.00182164060837485","0.00399817757636816","NaN","NaN","NaN","NaN","-0.000276000152794151","0.00408698564451198","NA","NA","0.00194601257331022","0.0036920590493225","0.000954484393617177","0.00368400332532683","NaN","NaN","0.000339693665290421","0.00226977395829511","NA","NA","0.00162372345070549","0.00211279876862497","0.00198821669592627","0.00209224388400069","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.00402676163645763","0.00265498107585949","0.00208738595585398","0.00372987894433358","NA","NA","0.000800988779901921","0.0019569350669746","0.00222921413438947","0.00361414646766593","0.000495324386649771","0.00082226761729013","0.0015084677985156","0.0020608913349853","-0.00100514517727046","0.000296348666405438","0.00154613392134383","0.0011905471840607","0.000923345430794557","0.00181616309595024","0.00282745083709501","0.00501641585375711","0.00125984730698551","0.0038979404310277","NaN","NaN","0.00268136046980922","0.00211660138615062","0.00104744964778146","0.00288499921727757","NA","NA","NA","NA","-0.00512450262722276","0.00195382928583502","NaN","NaN","0.0010819849454755","0.00142206247078657","NA","NA","0.00129973485806017","0.00388539471018553","0.00308431510383845","0.00499081003593349","0.000916679486596136","0.00113881395286284","0.00162685359954218","0.00361091808871795","NaN","NaN","0.00230567909954196","0.0035705751442619","-0.00108902869346609","0.000485650260335204","0.00163973426503837","0.00352096368762107","0.00217804168345727","0.00226197128834713","0.00167181971752265","0.00348345870855574","0.000834366638460873","0.00279327116979156","NaN","NaN","0.00358008946977991","0.00321136592690207","0.000920191750509421","0.00149407215388754","0.00204259300790759","0.00350820850721792","0.00170033847754658","0.00359547398430065","NA","NA","0.00207476065045114","0.00444961617459035","0.00202897435808357","0.00295518300131527","NaN","NaN","NaN","NaN","-2.76263460035045e-05","0.00386246475457166","NaN","NaN","-0.000600431276222229","-0.00024500322056526","NaN","NaN","NaN","NaN","NaN","NaN","0.00165953004590429","0.00278641861866097","0.00228214506474606","0.00562771012705657","0.000541219119519472","0.00256607494946057"
"obs.z","0.210801542383924","0.68014694002747","-0.295578042100193","0.17701293618632","0.421640068976417","0.742741966884986","0.0899988212837185","1.2080538206525","0.237238628460145","0.89146154909171",NA,NA,NA,NA,"1.10252750050365","1.35063218359056","NA","NA","0.426241519883625","2.17184873920045","-0.0203618174843185","0.111543938348944",NA,NA,"-0.513277352269245","0.615536169457047","NA","NA","0.191850585901901","1.15828549178716","-0.173111826103593","0.408465127443823",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.482657919310601","0.0428629639836585","-0.679814544417376","-0.308951198570825","NA","NA","0.978672898587574","0.767526405532404","1.31802829525573","2.10693228675053","-0.104271119227284","-0.728499643345884","0.498442329273382","1.31967902310057","1.3834215437681","1.56367424551185","0.1651749917586","-0.0311406813630433","0.419430139009058","2.01290289545443","-0.935337283510052","-0.214728729655126","-0.503927809063492","-0.837669974151418",NA,NA,"-0.0418261528304605","-0.468532310696131","0.560654263936712","1.450302212164","NA","NA","NA","NA","Inf","Inf",NA,NA,"3.36071342464604","3.00618397410764","NA","NA","0.753506167029636","0.84576240890288","0.0271346908830633","0.705153697695851","-0.392564663075876","0.0863085988950896","-0.0184656480651067","0.447939807675045","NaN","NaN","0.792525494601951","1.62082353724666","0.202011006456864","1.93089256834624","0.464080325254404","1.34292453511795","0.56576285526402","1.39422004328737","1.09928967948562","2.22706396881688","0.275299698473667","0.855839521936864",NA,NA,"-0.635375083293021","0.291946838391177","0.633862927693502","1.03452333798457","0.137922275565096","0.891262922553415","-0.0849854690449704","-0.631205947789107","NA","NA","-0.579966379890701","-1.2244309809892","0.929733244090314","1.18030320068418",NA,NA,NA,NA,"0.0754313038100052","-0.627176724967267",NA,NA,"0.337021074473208","0.782889779220132",NA,NA,NA,NA,NA,NA,"1.23180363376391","1.11559822359019","-0.960764032694936","-0.130062458476487","-1.00256309960203","-2.0028958665789"
"rankLow","593","750","382","585","701","782","528","884","584","812","0","0","0","0","863","905","NA","NA","688","978","519","553","0","0","297","744","NA","NA","538","849","433","676","0","0","0","0","0","0","0","0","0","0","319","525","238","368","NA","NA","831","780","910","981","473","219","694","896","912","932","576","468","694","950","157","411","302","199","0","0","395","257","719","930","NA","NA","NA","NA","2","2","0","0","944","944","NA","NA","788","810","515","722","311","516","516","691","0","0","795","952","573","964","698","921","724","925","874","984","635","812","0","0","245","608","759","858","551","822","474","266","NA","NA","268","110","828","895","0","0","0","0","517","247","0","0","628","766","0","0","0","0","0","0","898","878","144","451","143","20"
