"","Aleck_Rock.Aleck_Rock","Aleck_Rock.Aleck_Rock.1","Barren_Island.Barren_Island","Barren_Island.Barren_Island.1","Battleship_Island.Battleship_Island","Battleship_Island.Battleship_Island.1","Blind_Island.Blind_Island","Blind_Island.Blind_Island.1","Boulder_Island.Boulder_Island","Boulder_Island.Boulder_Island.1","Broken_Point_Island.Broken_Point_Island","Broken_Point_Island.Broken_Point_Island.1","Buck_Island.Buck_Island","Buck_Island.Buck_Island.1","Castle_Island.Castle_Island","Castle_Island.Castle_Island.1","Cemetery_Island.Cemetery_Island","Cemetery_Island.Cemetery_Island.1","Charles_Island.Charles_Island","Charles_Island.Charles_Island.1","Cliff_Island.Cliff_Island","Cliff_Island.Cliff_Island.1","Colville_Island.Colville_Island","Colville_Island.Colville_Island.1","Coon_Island.Coon_Island","Coon_Island.Coon_Island.1","Crab_Island.Crab_Island","Crab_Island.Crab_Island.1","Deadman_Island.Deadman_Island","Deadman_Island.Deadman_Island.1","Dot_Island.Dot_Island","Dot_Island.Dot_Island.1","Dotlet_Island.Dotlet_Island","Dotlet_Island.Dotlet_Island.1","East_Sucia_1_Island.East_Sucia_1_Island","East_Sucia_1_Island.East_Sucia_1_Island.1","East_Sucia_2_Island.East_Sucia_2_Island","East_Sucia_2_Island.East_Sucia_2_Island.1","East_Sucia_3_Island.East_Sucia_3_Island","East_Sucia_3_Island.East_Sucia_3_Island.1","East_Sucia_4_Island.East_Sucia_4_Island","East_Sucia_4_Island.East_Sucia_4_Island.1","East_Sucia_6_Island.East_Sucia_6_Island","East_Sucia_6_Island.East_Sucia_6_Island.1","East_Sucia_7_Island.East_Sucia_7_Island","East_Sucia_7_Island.East_Sucia_7_Island.1","East_Sucia_8_Island.East_Sucia_8_Island","East_Sucia_8_Island.East_Sucia_8_Island.1","Ewing_Island.Ewing_Island","Ewing_Island.Ewing_Island.1","Fawn_Island.Fawn_Island","Fawn_Island.Fawn_Island.1","Flat_Top_Island.Flat_Top_Island","Flat_Top_Island.Flat_Top_Island.1","Flint_Beach_Island.Flint_Beach_Island","Flint_Beach_Island.Flint_Beach_Island.1","Flower_Island.Flower_Island","Flower_Island.Flower_Island.1","Fortress_Island.Fortress_Island","Fortress_Island.Fortress_Island.1","Gossip_Island.Gossip_Island","Gossip_Island.Gossip_Island.1","Hat_Island.Hat_Island","Hat_Island.Hat_Island.1","Huckleberry_Island.Huckleberry_Island","Huckleberry_Island.Huckleberry_Island.1","Iceberg_Island.Iceberg_Island","Iceberg_Island.Iceberg_Island.1","Little_Cactus.Little_Cactus","Little_Cactus.Little_Cactus.1","Little_McConnell_Island.Little_McConnell_Island","Little_McConnell_Island.Little_McConnell_Island.1","Little_Nob.Little_Nob","Little_Nob.Little_Nob.1","Little_Oak.Little_Oak","Little_Oak.Little_Oak.1","Little_Sucia_Island.Little_Sucia_Island","Little_Sucia_Island.Little_Sucia_Island.1","Low_Island.Low_Island","Low_Island.Low_Island.1","Mackaye_Harbor_Island.Mackaye_Harbor_Island","Mackaye_Harbor_Island.Mackaye_Harbor_Island.1","Massacre_Bay__1_Island.Massacre_Bay__1_Island","Massacre_Bay__1_Island.Massacre_Bay__1_Island.1","Matia_Island.Matia_Island","Matia_Island.Matia_Island.1","Matia_West__1.Matia_West__1","Matia_West__1.Matia_West__1.1","Matia_West__2.Matia_West__2","Matia_West__2.Matia_West__2.1","McConnell_Island.McConnell_Island","McConnell_Island.McConnell_Island.1","Near_Decatur_Island___Unnamed__3.Near_Decatur_Island___Unnamed__3","Near_Decatur_Island___Unnamed__3.Near_Decatur_Island___Unnamed__3.1","Nob_Island.Nob_Island","Nob_Island.Nob_Island.1","North_Finger_Island.North_Finger_Island","North_Finger_Island.North_Finger_Island.1","Oak_Island.Oak_Island","Oak_Island.Oak_Island.1","Pole_Island.Pole_Island","Pole_Island.Pole_Island.1","Posey_Island.Posey_Island","Posey_Island.Posey_Island.1","Reef_Island.Reef_Island","Reef_Island.Reef_Island.1","Reeflet_Island.Reeflet_Island","Reeflet_Island.Reeflet_Island.1","Rim_Island.Rim_Island","Rim_Island.Rim_Island.1","Ripple_Island.Ripple_Island","Ripple_Island.Ripple_Island.1","Rum_Island.Rum_Island","Rum_Island.Rum_Island.1","Saddlebag_Island.Saddlebag_Island","Saddlebag_Island.Saddlebag_Island.1","Secar_Rock.Secar_Rock","Secar_Rock.Secar_Rock.1","Sentinel_Island.Sentinel_Island","Sentinel_Island.Sentinel_Island.1","Skull_Island.Skull_Island","Skull_Island.Skull_Island.1","Small_Island_near_Charles.Small_Island_near_Charles","Small_Island_near_Charles.Small_Island_near_Charles.1","Swirl_Rock_Central.Swirl_Rock_Central","Swirl_Rock_Central.Swirl_Rock_Central.1","Turn_Island.Turn_Island","Turn_Island.Turn_Island.1","Turnlet_Island.Turnlet_Island","Turnlet_Island.Turnlet_Island.1","Unnamed__1_near_Long_Island.Unnamed__1_near_Long_Island","Unnamed__1_near_Long_Island.Unnamed__1_near_Long_Island.1","Unnamed__2_near_Long_Island.Unnamed__2_near_Long_Island","Unnamed__2_near_Long_Island.Unnamed__2_near_Long_Island.1","Unnamed__3_near_Long_Island.Unnamed__3_near_Long_Island","Unnamed__3_near_Long_Island.Unnamed__3_near_Long_Island.1","Unnamed_72_Island.Unnamed_72_Island","Unnamed_72_Island.Unnamed_72_Island.1","Victim_Island.Victim_Island","Victim_Island.Victim_Island.1","Willow_Island.Willow_Island","Willow_Island.Willow_Island.1","Yellow_Island.Yellow_Island","Yellow_Island.Yellow_Island.1"
"island","Aleck_Rock","Aleck_Rock","Barren_Island","Barren_Island","Battleship_Island","Battleship_Island","Blind_Island","Blind_Island","Boulder_Island","Boulder_Island","Broken_Point_Island","Broken_Point_Island","Buck_Island","Buck_Island","Castle_Island","Castle_Island","Cemetery_Island","Cemetery_Island","Charles_Island","Charles_Island","Cliff_Island","Cliff_Island","Colville_Island","Colville_Island","Coon_Island","Coon_Island","Crab_Island","Crab_Island","Deadman_Island","Deadman_Island","Dot_Island","Dot_Island","Dotlet_Island","Dotlet_Island","East_Sucia_1_Island","East_Sucia_1_Island","East_Sucia_2_Island","East_Sucia_2_Island","East_Sucia_3_Island","East_Sucia_3_Island","East_Sucia_4_Island","East_Sucia_4_Island","East_Sucia_6_Island","East_Sucia_6_Island","East_Sucia_7_Island","East_Sucia_7_Island","East_Sucia_8_Island","East_Sucia_8_Island","Ewing_Island","Ewing_Island","Fawn_Island","Fawn_Island","Flat_Top_Island","Flat_Top_Island","Flint_Beach_Island","Flint_Beach_Island","Flower_Island","Flower_Island","Fortress_Island","Fortress_Island","Gossip_Island","Gossip_Island","Hat_Island","Hat_Island","Huckleberry_Island","Huckleberry_Island","Iceberg_Island","Iceberg_Island","Little_Cactus","Little_Cactus","Little_McConnell_Island","Little_McConnell_Island","Little_Nob","Little_Nob","Little_Oak","Little_Oak","Little_Sucia_Island","Little_Sucia_Island","Low_Island","Low_Island","Mackaye_Harbor_Island","Mackaye_Harbor_Island","Massacre_Bay__1_Island","Massacre_Bay__1_Island","Matia_Island","Matia_Island","Matia_West__1","Matia_West__1","Matia_West__2","Matia_West__2","McConnell_Island","McConnell_Island","Near_Decatur_Island___Unnamed__3","Near_Decatur_Island___Unnamed__3","Nob_Island","Nob_Island","North_Finger_Island","North_Finger_Island","Oak_Island","Oak_Island","Pole_Island","Pole_Island","Posey_Island","Posey_Island","Reef_Island","Reef_Island","Reeflet_Island","Reeflet_Island","Rim_Island","Rim_Island","Ripple_Island","Ripple_Island","Rum_Island","Rum_Island","Saddlebag_Island","Saddlebag_Island","Secar_Rock","Secar_Rock","Sentinel_Island","Sentinel_Island","Skull_Island","Skull_Island","Small_Island_near_Charles","Small_Island_near_Charles","Swirl_Rock_Central","Swirl_Rock_Central","Turn_Island","Turn_Island","Turnlet_Island","Turnlet_Island","Unnamed__1_near_Long_Island","Unnamed__1_near_Long_Island","Unnamed__2_near_Long_Island","Unnamed__2_near_Long_Island","Unnamed__3_near_Long_Island","Unnamed__3_near_Long_Island","Unnamed_72_Island","Unnamed_72_Island","Victim_Island","Victim_Island","Willow_Island","Willow_Island","Yellow_Island","Yellow_Island"
"Metric","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat"
"n.inv.tax","12","12","NA","NA","11","11","8","8","8","8","6","6","4","4","12","12","NA","NA","16","16","12","12","8","8","17","17","NA","NA","8","8","16","16","NA","NA","NA","NA","7","7","10","10","8","8","9","9","11","11","NA","NA","10","10","17","17","17","17","11","11","10","10","9","9","8","8","11","11","15","15","9","9","6","6","18","18","NA","NA","NA","NA","11","11","6","6","7","7","NA","NA","21","21","7","7","NA","NA","20","20","9","9","10","10","15","15","11","11","10","10","14","14","10","10","NA","NA","8","8","9","9","10","10","24","24","NA","NA","13","13","25","25","NA","NA","NA","NA","20","20","11","11","8","8","8","8","NA","NA","NA","NA","20","20","10","10","22","22"
"mean.obs.metric","0.277694582081793","0.213222722186737",NA,NA,"0.444056188821034","0.189830954841582","0.335670674980785","0.340401014400957","0.0235340397450609","0.0835307298913319","0.356946990617945","-0.0325826091761602","0.236897174789435","-0.43011312067665","0.0286460379117156","-0.103346806410656",NA,NA,"-0.0956430125139808","0.0237331240123079","-9.40624221539381e-05","0.0241905858710349","-0.266687021661275","-0.576262253037649","0.105563324051175","-0.154999785948238","NA","NA","0.370902778920576","-0.0932157225880088","0.0931819685054159","-0.410077372176601",NA,NA,NA,NA,"0.185435131869044","0.304498436328544","-0.293741929079685","-0.158521535942012","-0.403627332641858","-0.330097966306505","-0.234835585634696","-0.508796302519425","0.225935977862922","-0.170197007658402","NA","NA","-0.187200667418314","-0.705082872638254","-0.175208407974094","-0.445211046162775","0.111938153926967","-0.173627286694776","0.0977619316891062","0.101131777941173","0.802135865010398","0.561261180615828","0.0858577002059591","-0.414157519551995","0.0961448191333192","-0.05933423316855","0.0364613019470705","0.00632959488414531","-0.23806358291133","-0.508691666536014","0.367879578019064","0.272728115162336","-0.310160477173759","-0.603318954423374","0.0762142773611787","0.0160212925246722","NA","NA",NA,NA,"0.140213452609815","-0.120043799878284","-0.352710354742986","-0.200883208504663","-0.37595748079749","-0.610601321433361","NA","NA","-0.147478557680104","-0.540670147865267","-0.245972145253063","-0.794090684099158",NA,NA,"0.0685125044941716","-0.073283293642443","-0.00693553967373199","-0.435437172175841","-0.281664639706883","-0.586225217853063","0.0558927265270953","-0.108370694370449","0.254265984884902","0.209943371964588","0.151299403374686","-0.200926528965279","0.272871503245056","0.173179503133556","0.0922170179669036","-0.224116965736934",NA,NA,"-0.115053215574704","-0.544251678486421","0.149598116039219","-0.175689404249645","-0.0970554402704418","-0.419101691354609","0.253536838235447","-0.147432949358562","NA","NA","0.0932459996462098","-0.170271842327906","0.147993322595187","-0.216302447977309",NA,NA,NA,NA,"-0.098694944175211","-0.0977287583694143","0.186475724649292","0.12886937248562","0.470737128615229","0.435355104510086","0.530184213874431","0.740641398237573",NA,NA,NA,NA,"-0.111085880769098","-0.503125597982204","0.0989575305127548","-0.431679322531935","0.284496426320193","0.0510889367441996"
"mean.randomized.null","0.192967474121834","0.301229493768753","NaN","NaN","0.293939201722382","0.174955418516068","0.286697567276053","0.476679229398833","0.283357567191149","0.394648587445875","0.26076765939419","0.0374910873297031","0.0624701967710608","0.167167884633364","0.243360224079391","0.157250117294648","NaN","NaN","0.125562490861384","0.187235599639053","0.137232101997516","0.127822458599651","-0.0812232442243804","-0.178829491877234","0.19097557412049","0.0309359578385","NA","NA","0.215508955383778","0.0273456126533202","0.201708895406312","-0.125323744171932","NaN","NaN","NaN","NaN","0.140898927051823","0.22213459113529","0.162655761900346","0.268440571017508","0.318759836370525","0.297938211124258","0.190271254023303","0.167932702435226","0.371025718877385","0.131940274729009","NA","NA","0.0137911939410522","-0.121185841840062","0.17502315801565","-0.0128310892474204","0.159099810831293","-0.0676793615035314","0.199670727078112","0.349984390976722","0.199662806895183","0.0912267269470536","0.190183998282659","-0.141475502896281","0.225727517896401","0.117645618040529","0.183762254351182","0.204416477370142","0.0510969858730109","-0.106698201629247","0.44717824497557","0.310593210747266","0.207543949506764","0.140332981296077","0.142530281350851","0.15169581761149","NA","NA","NaN","NaN","0.352922072721152","0.0677034845455519","-0.198629138631762","0.158879570451186","0.203275362653163","0.205255936714921","NA","NA","-0.008531369935399","-0.247174643917614","0.264009251819037","0.29118992840938","NaN","NaN","0.0206104755263122","0.0101262640588673","0.0058125080550943","0.0302576431868308","0.155800074178883","-0.0255040739938807","0.10443759253584","-0.0786444081415133","0.242243277472016","0.226173522148112","0.106432695983439","-0.000517353511726885","0.211643319436956","0.181040969700525","0.0681772076722075","0.0380060789871677","NaN","NaN","0.11928871978025","0.0725278577869701","0.172584747428251","0.0187072633285604","0.213784322375946","0.119959989289298","0.214239063624529","0.0263141650766656","NA","NA","0.133756445620977","0.0739862304750883","0.132685921824877","-0.0730725702625434","NaN","NaN","NaN","NaN","0.0302471064845778","0.049046697528457","0.167082827171464","0.114093879159992","0.235213391247069","0.224875615215733","0.183622884298128","0.385272108226252","NaN","NaN","NaN","NaN","0.170984061576527","-0.0594194076227572","0.177904588393525","-0.0183123771704695","0.291582441430444","0.064672678572695"
"median.randomized.null","0.187424898305929","0.305278129706829",NA,NA,"0.302416467399489","0.180857968643723","0.287279708460341","0.471269447557035","0.290078512220609","0.401884999420557","0.254748366876258","0.0468031457278642","0.0317039623528","0.172457737842263","0.246862925212688","0.166408031557278",NA,NA,"0.125998955852391","0.187224665719118","0.132249926708546","0.121556954570364","-0.0758200334689398","-0.17871109650057","0.188138307151673","0.0320143353383689","NA","NA","0.222793508303166","0.0263252153064674","0.209712540209586","-0.121960370267852",NA,NA,NA,NA,"0.151116679851335","0.236903085110311","0.181834615896473","0.290912598554734","0.329513193263312","0.31829620911827","0.190853829397182","0.170018682843087","0.367557626408945","0.132843456042911","NA","NA","0.016415189731286","-0.123484567139005","0.16942160530056","-0.00995182806537128","0.156558439801245","-0.0701374879279699","0.206559924732066","0.35265315895821","0.216033324834399","0.104514495976642","0.180896088004256","-0.137001265468862","0.2338133115175","0.133784158170341","0.181999558329543","0.206398100702122","0.048865753317523","-0.0942716444322748","0.439411340308577","0.315644312424083","0.224324631401762","0.149953309678724","0.143601663681019","0.15527723031144","NA","NA",NA,NA,"0.358853883195458","0.0814440107633857","-0.209653707604584","0.149700599244394","0.212201945329466","0.208905882142405","NA","NA","-0.00785844036793754","-0.249219626264263","0.274117279895798","0.297044075515258",NA,NA,"0.0180583546187294","0.0150336941415945","0.0146766229080925","0.0360205049211679","0.156760112612353","-0.0186137082341048","0.109229373793756","-0.0816024309337581","0.246289862157422","0.227707515455523","0.111090469857147","0.00668985047519082","0.219547081435147","0.178069523357212","0.0659770866945039","0.0382994044875839",NA,NA,"0.109465225503152","0.0695320685369012","0.176197100360929","0.0279913725225409","0.22070000984989","0.12075883541193","0.21370146244777","0.0247886264163873","NA","NA","0.128019999174673","0.0716527154252327","0.13397443896245","-0.0762026163078496",NA,NA,NA,NA,"0.0331351852782531","0.052951111168014","0.176980535850893","0.121067552913739","0.235545098684445","0.22291445194287","0.187527698861395","0.385642587321677",NA,NA,NA,NA,"0.171071595274852","-0.0593789780746086","0.173560943546395","-0.0186080105595949","0.293803182666841","0.0651942809140104"
"sd.randomized.null","0.215295494261767","0.215726094159582",NA,NA,"0.212567689881715","0.204838577666349","0.283658231538916","0.273368516652296","0.238543512329584","0.238305081030564","0.285595658655634","0.246589797054665","0.53596431533937","0.511404279447299","0.183452227784131","0.179764220540307",NA,NA,"0.169133667035482","0.156949422653509","0.212718979959073","0.185316045132901","0.277588318323254","0.205684258637834","0.197946924010805","0.17222358447952","NA","NA","0.286731083771461","0.285010741075","0.200790117158958","0.201476441543975",NA,NA,NA,NA,"0.268286361210976","0.271140910181634","0.29004164685595","0.292409580403961","0.329510446556916","0.359026612396709","0.256487760269998","0.265471453976092","0.232533423403712","0.261387217630385","NA","NA","0.273824265567177","0.265781694153954","0.180235493176723","0.171702215264648","0.163653781931287","0.135582160240758","0.221257636960079","0.224878854243316","0.209723620394712","0.201707255412025","0.323748796270354","0.315828871982173","0.228835940690777","0.205050233353719","0.212597543771472","0.192335886083697","0.19291176855605","0.198017021504306","0.243891920329396","0.247096025480511","0.302746272236624","0.308080576627786","0.180613694314862","0.155822662857919","NA","NA",NA,NA,"0.226542442416894","0.241033438233204","0.351767435822656","0.299743613309659","0.341365850139781","0.357560405592395","NA","NA","0.164762365108184","0.153411069183503","0.264043970584608","0.289289524970183",NA,NA,"0.198927377699248","0.155800580343538","0.270929234589815","0.266813050921212","0.290663704141212","0.266937489147744","0.191523525401508","0.205341695373854","0.196854657829353","0.185417574538892","0.232777469312912","0.238904675722001","0.200110422694479","0.187267707091379","0.263549011877669","0.212826258861753",NA,NA,"0.293739669886925","0.303778714669352","0.268634301632195","0.268710553418904","0.259471317665591","0.24116308235719","0.130884609587748","0.129095279567649","NA","NA","0.243932592376475","0.198108867510147","0.161123166342875","0.152373487447944",NA,NA,NA,NA,"0.159966300196956","0.131004422458627","0.223978764464863","0.208542573781826","0.235801656557444","0.211691357247776","0.27848743193137","0.268183827650668",NA,NA,NA,NA,"0.178652777777055","0.175957567314249","0.229533546730061","0.217059677550858","0.128486620634651","0.127173561851851"
"se.randomized.null","0.00610216732554596","0.00952571298728758","NaN","NaN","0.00929517371054415","0.0055325761149877","0.00906617312221682","0.0150739207819421","0.0089605530456823","0.012479884116971","0.00824619743796643","0.00118557227918142","0.00197548107675448","0.00528631267073693","0.00769572599979829","0.00497268532979723","NaN","NaN","0.00397063459806051","0.00592090953926809","0.00433966010404693","0.00404210105297474","-0.00256850450697158","-0.0056550850714264","0.00603917791679057","0.000978280883685995","NA","NA","0.00681499155176346","0.000864744199972121","0.0063785953380062","-0.00396308476483556","NaN","NaN","NaN","NaN","0.00445561529357673","0.00702451255097766","0.00514362682155132","0.00848883620811508","0.0100800710951344","0.00942163349148772","0.00601690535970113","0.00531049833322619","0.0117328634215387","0.00417231783252024","NA","NA","0.000436115845068389","-0.00383223280379525","0.0055347182260501","-0.000405754668827441","0.00503117777528812","-0.00214020932937077","0.0063141427962869","0.0110674782099332","0.00631389233811152","0.00288484240634948","0.00601414609090753","-0.00447384822269997","0.00713813087129047","0.00372028109746268","0.00581107271716922","0.00646421659757916","0.00161582856928162","-0.00337409339392309","0.0141410177419955","0.00982181971746049","0.00656311595028355","0.00443771851737413","0.00450720324613309","0.00479704295173792","NA","NA","NaN","NaN","0.0111603758634642","0.00214097216693954","-0.0062812048775371","0.00502421316294933","0.00642813138180723","0.00649076263290529","NA","NA","-0.000269785605573444","-0.00781634854620746","0.00834870559105108","0.00920823405475011","NaN","NaN","0.000651760463223043","0.000320220586143221","0.000183807643721735","0.000956830690990611","0.00492683094028458","-0.000806509634341304","0.00330260665757855","-0.00248695454963072","0.00766040504675725","0.00715223476410573","0.00336569736819922","-1.63601545254359e-05","0.00669274940979367","0.00572501814059191","0.00215595260754482","0.00120185774531715","NaN","NaN","0.00377224053671171","0.00229353224419605","0.00545760891278161","0.000591575609067938","0.0067604538674369","0.00379346794243585","0.0067748340483524","0.000832126963679227","NA","NA","0.00422975019890742","0.00233965003791441","0.00419589726405658","-0.00231075756512325","NaN","NaN","NaN","NaN","0.000956497491209146","0.00155099275899275","0.00528362291762093","0.00360796525229595","0.00743810052513053","0.00711119134313334","0.00580666544911653","0.0121833738092985","NaN","NaN","NaN","NaN","0.00540699078168306","-0.00187900665305884","0.00562583705518294","-0.000579088212307532","0.00922064640632848","0.00204512966673684"
"obs.z","0.393538695505366","-0.407956079327675",NA,NA,"0.706207924554227","0.0726207753196973","0.172648286774691","-0.498514666819556","-1.08920810676713","-1.30554437282284","0.336767483359146","-0.284171110657628","0.325445133241619","-1.16792336183719","-1.17040926000817","-1.44965957587134",NA,NA,"-1.30787386835856","-1.04175264147166","-0.645575512096247","-0.559216945593113","-0.668125296327925","-1.93224685152114","-0.431490665975961","-1.07961835975403","NA","NA","0.541949695487687","-0.423006286663433","-0.540499345468178","-1.41333461035204",NA,NA,NA,NA,"0.166002493068214","0.303767679831417","-1.57355916271811","-1.46015088277776","-2.19230430039676","-1.7492747215541","-1.65741569582307","-2.54915922152442","-0.623952199605153","-1.15589922539613","NA","NA","-0.734017713671387","-2.1969046162373","-1.94318865733253","-2.51819672943019","-0.288179450225766","-0.781429688117588","-0.460588826623835","-1.10660743924946","2.87270006583581","2.33028034965148","-0.322244589875106","-0.863385335686173","-0.566268997657957","-0.863104851501352","-0.692862907966849","-1.02990079760673","-1.49892653490617","-2.03009550316879","-0.325138556658239","-0.153240407292252","-1.71002741951481","-2.41382285069503","-0.367170408873117","-0.870698283538688","NA","NA",NA,NA,"-0.938934964424459","-0.778926300848712","-0.438020124719287","-1.20023501079299","-1.69680957604128","-2.28173266778964","NA","NA","-0.843318725447228","-1.91313120695735","-1.93142602704759","-3.75153788447887",NA,NA,"0.240801590620075","-0.535361020590511","-0.0470530533485128","-1.74539743747463","-1.50505449305509","-2.10057098255254","-0.253466856914709","-0.144764979050235","0.0610740306856665","-0.0875329656527229","0.192745060437678","-0.838866693788597","0.305971987783867","-0.0419798303138996","0.0912157102142904","-1.23162924596805",NA,NA,"-0.797787835211922","-2.03035797601792","-0.0855684893901031","-0.723442622944372","-1.19797350028107","-2.23525788182412","0.300247483143326","-1.34588278531268","NA","NA","-0.166072297187106","-1.23294871084195","0.0950043443022645","-0.939992121422687",NA,NA,NA,NA,"-0.806057591511656","-1.12038550411704","0.0865836434278159","0.07085120825777","0.998821385764026","0.994275307366448","1.24444154327837","1.32509589830383",NA,NA,NA,NA,"-1.57887241304261","-2.52166586030946","-0.343945619302498","-1.9043930684206","-0.055149828637799","-0.106812623871616"
"rankLow","654","340","0","0","759","519","568","303","120","92","626","369","626","117","134","78","0","0","98","154","259","294","259","29","346","133","NA","NA","698","338","276","87","0","0","0","0","558","610","64","77","15","42","44","11","264","117","NA","NA","223","19","24","6","388","214","325","142","999","990","385","171","287","190","248","146","60","21","374","428","48","15","357","207","NA","NA","0","0","173","216","335","99","45","20","NA","NA","197","29","30","0","0","0","594","304","464","42","66","24","393","441","518","455","572","205","603","482","534","100","0","0","214","28","449","221","122","16","621","88","NA","NA","445","116","539","172","0","0","0","0","202","136","414","409","841","841","892","905","0","0","0","0","54","6","357","31","479","457"
