"","Aleck_Rock.Aleck_Rock","Aleck_Rock.Aleck_Rock.1","Barren_Island.Barren_Island","Barren_Island.Barren_Island.1","Battleship_Island.Battleship_Island","Battleship_Island.Battleship_Island.1","Blind_Island.Blind_Island","Blind_Island.Blind_Island.1","Boulder_Island.Boulder_Island","Boulder_Island.Boulder_Island.1","Broken_Point_Island.Broken_Point_Island","Broken_Point_Island.Broken_Point_Island.1","Buck_Island.Buck_Island","Buck_Island.Buck_Island.1","Castle_Island.Castle_Island","Castle_Island.Castle_Island.1","Cemetery_Island.Cemetery_Island","Cemetery_Island.Cemetery_Island.1","Charles_Island.Charles_Island","Charles_Island.Charles_Island.1","Cliff_Island.Cliff_Island","Cliff_Island.Cliff_Island.1","Colville_Island.Colville_Island","Colville_Island.Colville_Island.1","Coon_Island.Coon_Island","Coon_Island.Coon_Island.1","Crab_Island.Crab_Island","Crab_Island.Crab_Island.1","Deadman_Island.Deadman_Island","Deadman_Island.Deadman_Island.1","Dot_Island.Dot_Island","Dot_Island.Dot_Island.1","Dotlet_Island.Dotlet_Island","Dotlet_Island.Dotlet_Island.1","East_Sucia_1_Island.East_Sucia_1_Island","East_Sucia_1_Island.East_Sucia_1_Island.1","East_Sucia_2_Island.East_Sucia_2_Island","East_Sucia_2_Island.East_Sucia_2_Island.1","East_Sucia_3_Island.East_Sucia_3_Island","East_Sucia_3_Island.East_Sucia_3_Island.1","East_Sucia_4_Island.East_Sucia_4_Island","East_Sucia_4_Island.East_Sucia_4_Island.1","East_Sucia_6_Island.East_Sucia_6_Island","East_Sucia_6_Island.East_Sucia_6_Island.1","East_Sucia_7_Island.East_Sucia_7_Island","East_Sucia_7_Island.East_Sucia_7_Island.1","East_Sucia_8_Island.East_Sucia_8_Island","East_Sucia_8_Island.East_Sucia_8_Island.1","Ewing_Island.Ewing_Island","Ewing_Island.Ewing_Island.1","Fawn_Island.Fawn_Island","Fawn_Island.Fawn_Island.1","Flat_Top_Island.Flat_Top_Island","Flat_Top_Island.Flat_Top_Island.1","Flint_Beach_Island.Flint_Beach_Island","Flint_Beach_Island.Flint_Beach_Island.1","Flower_Island.Flower_Island","Flower_Island.Flower_Island.1","Fortress_Island.Fortress_Island","Fortress_Island.Fortress_Island.1","Gossip_Island.Gossip_Island","Gossip_Island.Gossip_Island.1","Hat_Island.Hat_Island","Hat_Island.Hat_Island.1","Huckleberry_Island.Huckleberry_Island","Huckleberry_Island.Huckleberry_Island.1","Iceberg_Island.Iceberg_Island","Iceberg_Island.Iceberg_Island.1","Little_Cactus.Little_Cactus","Little_Cactus.Little_Cactus.1","Little_McConnell_Island.Little_McConnell_Island","Little_McConnell_Island.Little_McConnell_Island.1","Little_Nob.Little_Nob","Little_Nob.Little_Nob.1","Little_Oak.Little_Oak","Little_Oak.Little_Oak.1","Little_Sucia_Island.Little_Sucia_Island","Little_Sucia_Island.Little_Sucia_Island.1","Low_Island.Low_Island","Low_Island.Low_Island.1","Mackaye_Harbor_Island.Mackaye_Harbor_Island","Mackaye_Harbor_Island.Mackaye_Harbor_Island.1","Massacre_Bay__1_Island.Massacre_Bay__1_Island","Massacre_Bay__1_Island.Massacre_Bay__1_Island.1","Matia_Island.Matia_Island","Matia_Island.Matia_Island.1","Matia_West__1.Matia_West__1","Matia_West__1.Matia_West__1.1","Matia_West__2.Matia_West__2","Matia_West__2.Matia_West__2.1","McConnell_Island.McConnell_Island","McConnell_Island.McConnell_Island.1","Near_Decatur_Island___Unnamed__3.Near_Decatur_Island___Unnamed__3","Near_Decatur_Island___Unnamed__3.Near_Decatur_Island___Unnamed__3.1","Nob_Island.Nob_Island","Nob_Island.Nob_Island.1","North_Finger_Island.North_Finger_Island","North_Finger_Island.North_Finger_Island.1","Oak_Island.Oak_Island","Oak_Island.Oak_Island.1","Pole_Island.Pole_Island","Pole_Island.Pole_Island.1","Posey_Island.Posey_Island","Posey_Island.Posey_Island.1","Reef_Island.Reef_Island","Reef_Island.Reef_Island.1","Reeflet_Island.Reeflet_Island","Reeflet_Island.Reeflet_Island.1","Rim_Island.Rim_Island","Rim_Island.Rim_Island.1","Ripple_Island.Ripple_Island","Ripple_Island.Ripple_Island.1","Rum_Island.Rum_Island","Rum_Island.Rum_Island.1","Saddlebag_Island.Saddlebag_Island","Saddlebag_Island.Saddlebag_Island.1","Secar_Rock.Secar_Rock","Secar_Rock.Secar_Rock.1","Sentinel_Island.Sentinel_Island","Sentinel_Island.Sentinel_Island.1","Skull_Island.Skull_Island","Skull_Island.Skull_Island.1","Small_Island_near_Charles.Small_Island_near_Charles","Small_Island_near_Charles.Small_Island_near_Charles.1","Swirl_Rock_Central.Swirl_Rock_Central","Swirl_Rock_Central.Swirl_Rock_Central.1","Turn_Island.Turn_Island","Turn_Island.Turn_Island.1","Turnlet_Island.Turnlet_Island","Turnlet_Island.Turnlet_Island.1","Unnamed__1_near_Long_Island.Unnamed__1_near_Long_Island","Unnamed__1_near_Long_Island.Unnamed__1_near_Long_Island.1","Unnamed__2_near_Long_Island.Unnamed__2_near_Long_Island","Unnamed__2_near_Long_Island.Unnamed__2_near_Long_Island.1","Unnamed__3_near_Long_Island.Unnamed__3_near_Long_Island","Unnamed__3_near_Long_Island.Unnamed__3_near_Long_Island.1","Unnamed_72_Island.Unnamed_72_Island","Unnamed_72_Island.Unnamed_72_Island.1","Victim_Island.Victim_Island","Victim_Island.Victim_Island.1","Willow_Island.Willow_Island","Willow_Island.Willow_Island.1","Yellow_Island.Yellow_Island","Yellow_Island.Yellow_Island.1"
"island","Aleck_Rock","Aleck_Rock","Barren_Island","Barren_Island","Battleship_Island","Battleship_Island","Blind_Island","Blind_Island","Boulder_Island","Boulder_Island","Broken_Point_Island","Broken_Point_Island","Buck_Island","Buck_Island","Castle_Island","Castle_Island","Cemetery_Island","Cemetery_Island","Charles_Island","Charles_Island","Cliff_Island","Cliff_Island","Colville_Island","Colville_Island","Coon_Island","Coon_Island","Crab_Island","Crab_Island","Deadman_Island","Deadman_Island","Dot_Island","Dot_Island","Dotlet_Island","Dotlet_Island","East_Sucia_1_Island","East_Sucia_1_Island","East_Sucia_2_Island","East_Sucia_2_Island","East_Sucia_3_Island","East_Sucia_3_Island","East_Sucia_4_Island","East_Sucia_4_Island","East_Sucia_6_Island","East_Sucia_6_Island","East_Sucia_7_Island","East_Sucia_7_Island","East_Sucia_8_Island","East_Sucia_8_Island","Ewing_Island","Ewing_Island","Fawn_Island","Fawn_Island","Flat_Top_Island","Flat_Top_Island","Flint_Beach_Island","Flint_Beach_Island","Flower_Island","Flower_Island","Fortress_Island","Fortress_Island","Gossip_Island","Gossip_Island","Hat_Island","Hat_Island","Huckleberry_Island","Huckleberry_Island","Iceberg_Island","Iceberg_Island","Little_Cactus","Little_Cactus","Little_McConnell_Island","Little_McConnell_Island","Little_Nob","Little_Nob","Little_Oak","Little_Oak","Little_Sucia_Island","Little_Sucia_Island","Low_Island","Low_Island","Mackaye_Harbor_Island","Mackaye_Harbor_Island","Massacre_Bay__1_Island","Massacre_Bay__1_Island","Matia_Island","Matia_Island","Matia_West__1","Matia_West__1","Matia_West__2","Matia_West__2","McConnell_Island","McConnell_Island","Near_Decatur_Island___Unnamed__3","Near_Decatur_Island___Unnamed__3","Nob_Island","Nob_Island","North_Finger_Island","North_Finger_Island","Oak_Island","Oak_Island","Pole_Island","Pole_Island","Posey_Island","Posey_Island","Reef_Island","Reef_Island","Reeflet_Island","Reeflet_Island","Rim_Island","Rim_Island","Ripple_Island","Ripple_Island","Rum_Island","Rum_Island","Saddlebag_Island","Saddlebag_Island","Secar_Rock","Secar_Rock","Sentinel_Island","Sentinel_Island","Skull_Island","Skull_Island","Small_Island_near_Charles","Small_Island_near_Charles","Swirl_Rock_Central","Swirl_Rock_Central","Turn_Island","Turn_Island","Turnlet_Island","Turnlet_Island","Unnamed__1_near_Long_Island","Unnamed__1_near_Long_Island","Unnamed__2_near_Long_Island","Unnamed__2_near_Long_Island","Unnamed__3_near_Long_Island","Unnamed__3_near_Long_Island","Unnamed_72_Island","Unnamed_72_Island","Victim_Island","Victim_Island","Willow_Island","Willow_Island","Yellow_Island","Yellow_Island"
"Metric","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat"
"n.inv.tax","16","16","14","14","25","25","12","12","19","19","13","13","7","7","21","21","5","5","42","42","26","26","18","18","32","32","6","6","16","16","25","25","10","10","17","17","12","12","14","14","10","10","12","12","19","19","3","3","18","18","31","31","34","34","16","16","19","19","15","15","22","22","27","27","35","35","17","17","11","11","28","28","2","2","7","7","22","22","13","13","14","14","8","8","41","41","14","14","9","9","35","35","14","14","21","21","26","26","17","17","15","15","26","26","22","22","15","15","12","12","16","16","15","15","46","46","2","2","28","28","38","38","3","3","4","4","41","41","17","17","12","12","9","9","4","4","17","17","29","29","20","20","61","61"
"mean.obs.metric","0.11273867313631","-0.199708258140008","0.295315840026312","-0.362322958741541","0.167719161092566","-0.255205659715362","0.228600581447679","-0.0411893596500275","0.0627801729538355","-0.157757386074191","0.0948579877226831","0.038296773665515","-0.466234157392119","-0.378964081490939","0.216394789056824","-0.0697131912811756","-1.43553330015502","-1.03470212690403","-0.348060468852897","-0.482184938332731","0.0263804764071096","-0.0778484443106081","-0.0221959493599377","-0.311811012100889","-0.0086802163834009","-0.384923240849042","-0.449940289369441","-0.540324000368519","0.101378015834943","-0.0904077715648272","0.0335751634782195","-0.331842851901306","-0.39892893629692","-0.293548044069006","0.142047284129977","0.0878556539849986","0.355682611789767","-0.427186512764346","0.183573557207627","-0.100757497505368","-0.231293884349006","0.102029231983116","-0.295949429593529","-0.247481175560165","0.0873342567709098","-0.340390781368427","-0.604490048719169","-0.800500248536163","-0.0389953027494493","-0.299368565431502","-0.166637889050356","-0.496619819408978","0.175856967268329","-0.162565951130192","-0.143966827657911","-0.364956328902023","0.473811599636636","-0.105390119337344","-0.250709413969127","-0.192942143658111","-0.130921814071213","-0.395309829610348","0.0989564162743106","-0.0678433066908396","0.254600032333118","-0.0512572269044183","-0.0530015858997273","-0.157792790440115","0.471162738907091","-0.35320881468063","0.0609241450747405","-0.125649318620957","-0.094499416412189","0.342343204619978","0.309635109879992","-0.0365711481524756","0.059588769990995","-0.307079476483884","-0.0217265189410703","-0.163145819514473","-0.207132011823144","0.217425716148082","-0.186939646165424","0.0994573106529039","0.136170729809287","-0.0334375444170646","-0.168252288563318","-0.514649614777351","-0.0556425196016977","-0.638470326881093","-0.0549749354296119","-0.135725008892037","-0.128234572361827","-0.0976391877200759","-0.19970658312419","-0.383769097446527","0.0998064658361403","-0.224486773120175","0.031683535230935","-0.474965429282222","-0.0982470362839903","-0.244743616537942","-0.022855220621848","-0.503139616291261","0.0437211701674352","-0.322314005950929","-0.196893414470777","0.132652072228593","0.0455200864768869","-0.104130450107602","0.15568310291139","-0.351028291343639","-0.132167506862976","-0.452730828550164","0.0867018717551921","-0.211126507221569","0.403110065346276","0.739895422771582","-0.15014846771613","-0.219343008560442","0.0699875185442456","-0.0947616049138908","-0.272789388291958","-0.136400319412978","0.0371882444401775","0.170434842942772","-0.001033936922715","0.00166966215910767","0.304114331860973","-0.0827766588632753","0.054528749829657","-0.373847647038838","0.459387035688326","0.133079392018138","-0.186215383977412","-0.138451328311114","-0.288545279776687","-0.34237585855083","-0.204944055041012","-0.370788114248876","-0.113557455618718","-0.372829163043937","0.259500134237695","0.157457811718638"
"mean.randomized.null","0.358325514193769","-0.0432260149960854","0.367183919345856","-0.023057964810244","0.186275906904668","-0.215085611559047","0.444569649318272","0.111967622418515","0.261458232595462","0.130030762877626","0.282136041334128","0.0517017216643633","-0.270683818625065","-0.164318402600381","0.280871287329774","0.0182539085562595","-0.606945019510258","-0.0716872255918843","-0.0759666779574989","-0.288044110721103","0.291973534712996","0.0664910662716101","-0.0611072409730296","-0.118370321254528","0.1845683051941","-0.160052041419241","-0.459939994245936","-0.451582536248818","0.17164654152351","-0.0318938086507174","0.2323523530734","0.0334338076166529","0.252903008651721","0.0409236605179152","0.372159793121437","0.248801766234457","0.400057031971324","-0.0719207864872646","0.54286630572438","0.345514440365561","0.251976571859805","0.0214558890319253","0.0247858394545335","0.0424156155446168","0.184534560894121","-0.0883437972347881","-0.415617781312219","-0.28499330032239","0.210627488737997","-0.114424530747123","0.179287500935952","-0.201455914568749","0.244141282168072","-0.0783523467764682","0.186664889738615","-0.0460005877469147","0.201701680459529","-0.158458521837591","0.0824550550477936","0.0308982073524442","0.223281047974065","0.0253554305653267","0.213740913022335","0.0571426330408272","0.192945994154497","0.00962230046009056","0.329171251830492","0.14589212659366","0.253596362820219","0.0127442497246439","0.154532745233985","-0.0234007777286428","-0.369291190515655","-0.14718970739913","0.55061039991971","0.172602443613801","0.100332188144521","-0.245839537564232","-0.122227772059319","-0.0716187542107285","0.0143992943604307","0.25639847749827","-0.15001334410711","-0.0352967205140764","0.200116608357013","-0.0353998886700278","0.22775278503497","-0.211713982953536","0.194811481233859","-0.259162083239523","0.0232301356103742","-0.0681506024101695","0.177072650636306","0.0613919163446251","0.123613982516086","-0.186140709709798","0.221244175607927","-0.0614899640763035","0.197163077051834","-0.439347532281245","0.134272718935347","-0.179662049901893","0.149716026252951","-0.232261388605499","0.0872467410198855","-0.166860239662088","-0.221230332806851","0.112771792793022","0.31752134015951","-0.0454417228718772","0.20348353618275","-0.154202504710048","0.315651202887375","-0.258910195068713","0.102946273416594","-0.0882992957173951","-0.368280106780718","-0.0791163254647724","0.00281955906727562","-0.243180512853701","0.18559898087808","-0.0918046441486933","-0.105151073960558","-0.0223786047183149","0.193682995602903","0.134616035814693","0.127133121645653","-0.0242274459037414","0.163632193891579","-0.0884863097465905","0.360138691826792","0.12931723709843","0.352042409178814","0.227773027551278","-0.306652633908271","0.20095762351703","0.197375451110232","-0.137707087530669","0.197637262575511","-0.106873062908193","0.198206708034435","-0.0490729741358717","0.203457750051218","0.073882267068693"
"median.randomized.null","0.354584932320205","-0.0441489087546466","0.358712327343182","-0.0287607928795624","0.178348182234187","-0.209738088788631","0.435304559311691","0.109746128184959","0.263394592754111","0.125080892734652","0.293108830293905","0.0494409279531995","-0.264932715593349","-0.161805977833957","0.284940911809789","0.0133880888164083","-0.566584617060159","-0.0803788011217733","-0.0780043676371155","-0.286801367373641","0.290079711181219","0.0631195863013183","-0.0614364111909093","-0.117763165070441","0.184893587602878","-0.156290587899211","-0.45056155553491","-0.444000966287287","0.177211274445821","-0.0285997313828993","0.236670807411456","0.0358335614923603","0.25347353595346","0.0435875674124173","0.374122415461452","0.253008981798422","0.405341087328642","-0.0712052958002101","0.54817738793586","0.361614090381226","0.262294898481704","0.0219873364349228","0.0121629930384454","0.0343223340543966","0.184373168240551","-0.100723038027148","-0.440495384665928","-0.299851201381602","0.212920195471641","-0.115385612132772","0.175773980920649","-0.202268309525613","0.248400809264654","-0.0786525758789157","0.183604960346635","-0.0472821197919569","0.206241090283903","-0.156348107859551","0.0724553197631838","0.0297659514584094","0.216327913288351","0.0290041570748524","0.21054820907265","0.0563127753525741","0.194973377413687","0.0143913258773906","0.324789833868626","0.137337148518345","0.252751507261587","0.00901739292775039","0.148107738576191","-0.0220427304529055","-0.380082982663914","-0.158460038657474","0.554234788748126","0.17605465434942","0.104664819288056","-0.247598286865282","-0.1251517692097","-0.0770384205704722","0.00986405557719462","0.248048311926415","-0.147734040491873","-0.0412353042162095","0.200743318143707","-0.0381024658244875","0.219233478044569","-0.210274401391376","0.201829273478299","-0.255300634275603","0.0227428484103162","-0.0696179487648101","0.175767140157191","0.0591272080712168","0.126938714976554","-0.191586768377494","0.220936377667436","-0.0635601949262374","0.199583515413933","-0.438892404852912","0.120420787083963","-0.181815484408789","0.145937210830929","-0.232029833984165","0.090849930680048","-0.166940049426822","-0.220675880289983","0.115080061417647","0.305393776422868","-0.0519486434177412","0.214334137515572","-0.151907494752573","0.317481526853823","-0.262872884102279","0.100661064716411","-0.0846749700565139","-0.379446493796023","-0.112661100121901","-0.000135226335378616","-0.239235814158521","0.186890999097695","-0.0907148750590436","-0.0743348169826988","-0.0292938083026587","0.204415735870103","0.126515891588952","0.125289351973689","-0.0204906762435983","0.155890252403031","-0.0880820126768606","0.367276103336451","0.126943053171713","0.349043622970118","0.222809973292673","-0.300600026196552","0.188489853375814","0.193891151136822","-0.150053219923375","0.197935600176112","-0.102160759794493","0.199752427375538","-0.047301775879689","0.203018809133115","0.0743045597678891"
"sd.randomized.null","0.200973981771267","0.193632043476672","0.215280420783215","0.210335714341638","0.146725714571824","0.164201778958417","0.269068878050498","0.241076941909844","0.166070543499087","0.176417657421693","0.224491622462191","0.211330268741438","0.319119052047026","0.330355735175613","0.179726346016541","0.180623249135263","0.631016861581324","0.364050309608981","0.13019879658778","0.119691969570439","0.130983175080533","0.14825575596297","0.2364970347996","0.194789667055765","0.161973484769912","0.132327098397447","0.350201521157465","0.341143561205553","0.218164490321856","0.198156457010065","0.158953803563859","0.162151234280038","0.290231210935673","0.274206178692952","0.194210982487381","0.205947429781702","0.258383567002285","0.228896535205812","0.24778415268764","0.23026608250824","0.291806872773766","0.269852473694559","0.28095126680007","0.237662915386137","0.218570816538789","0.191545484502042","0.554825619605128","0.555377662108582","0.21623891047757","0.21184523249535","0.166840729588244","0.144611284822122","0.130189236311035","0.127254484750248","0.212679322597406","0.204489395470734","0.219230733491265","0.181387678291141","0.256867516090376","0.245009722407613","0.183951067688623","0.168871313849932","0.145781795660352","0.144992765707028","0.132220411881113","0.141670028962587","0.176011987652243","0.198037458398781","0.254387891278415","0.271148876217667","0.157345011286921","0.146741468265855","0.557813656521888","0.569901653452004","0.385285638953502","0.327537641166032","0.189946318343734","0.179813332580877","0.257848513999078","0.236572064625102","0.25502760079443","0.233827815944226","0.385132684458143","0.312833132331377","0.116341547992781","0.117041727681685","0.221142814565188","0.237061398393732","0.293763878968227","0.293612706499181","0.11837878900082","0.12235497438821","0.250257647049928","0.230676543522986","0.204501506268552","0.180094506230921","0.162118356697729","0.162290882390367","0.230312033746324","0.186515025900775","0.249697349087485","0.211185747765634","0.158056705080307","0.151259294090083","0.172648407006299","0.184311855065502","0.208200596185867","0.21021707459396","0.281925121164842","0.252450861438559","0.202803354298558","0.216551744394879","0.249167235603123","0.223946320966055","0.0996592645705735","0.108282000166992","0.591246546565396","0.61754208606316","0.136672503701393","0.144814140410338","0.13491613891192","0.131190827989786","0.522465302405798","0.537886236511188","0.443947712700851","0.474605034637091","0.104008837638027","0.11479105274725","0.192575349634232","0.193800727936896","0.225330598245016","0.230180184655242","0.280392375839085","0.267078000271552","0.383730123608009","0.387198134019942","0.262864767696849","0.20806384033171","0.167719764276439","0.152364732145052","0.187282715018609","0.189213954843663","0.0793845732715572","0.0855075477927204"
"se.randomized.null","0.011331247686033","-0.00136692661560224","0.0116113750532047","-0.000729156870083833","0.00589056139032237","-0.00680160424456828","0.0140585267042806","0.00354072711036238","0.00826803528003737","0.0041119337658257","0.00892192500639257","0.0016349519941146","-0.00855977392607113","-0.00519620413697739","0.00888192997305678","0.000577239272382157","-0.0191932867614775","-0.00226694912008667","-0.00240227728622204","-0.00910875456476412","0.00923301386183305","0.00210263213471488","-0.00193238063003537","-0.00374319822530148","0.00583656228290443","-0.00506128995044411","-0.014544579688219","-0.0142802936610182","0.00542794023704959","-0.00100857078593849","0.00734762655411568","0.00105726982920509","0.00799749534448708","0.00129411977428118","0.011768725998008","0.0078678026717366","0.0126509141499618","-0.00227433496410417","0.0171669399105034","0.0109261259603359","0.00796819884078075","0.000678494785647093","0.000783797063955912","0.00134129953479032","0.00583549519444459","-0.00279367616410016","-0.0131429882501238","-0.00901227946907153","0.00666062602253534","-0.00361842137356877","0.00566956858957179","-0.00637059538149544","0.00772042522524958","-0.00247771875832991","0.00590286210758215","-0.00145466630986684","0.00637836718135589","-0.00501089843670316","0.00260745778545592","0.000977087108498846","0.0070607666994737","0.000801809116406832","0.00675908114314522","0.00180700871908207","0.00610148806933743","0.000304283857843723","0.0104093089603322","0.00461351412721588","0.00801942112846334","0.000403008561998484","0.00488675448017923","-0.00073999756641853","-0.0116780128186464","-0.00465454723514988","0.0174118296712248","0.00545816851530394","0.0031727823716523","-0.00777412877625494","-0.00386518153035337","-0.00226478386489677","0.000455345668781785","0.00810803177493964","-0.00474383846797066","-0.00111618030758871","0.00632824280036046","-0.00111944277113677","0.00720217544157216","-0.00669498398639237","0.00616047995050143","-0.0081954246619104","0.000734601388833684","-0.00215511127528696","0.0055995288733399","0.00194138285571534","0.00390901735395064","-0.00588628607963183","0.00699635513967317","-0.00194448339723051","0.00623484393971072","-0.0138933888638309","0.00424607619459316","-0.00568141286784814","0.0047344364518889","-0.00734475000506855","0.0027589842004968","-0.00527658408253764","-0.00699591739186722","0.00356615721046511","0.0100409064061314","-0.001436993450773","0.00643471440682773","-0.00487631135786593","0.00998176747296022","-0.00818745925855628","0.0032554470062288","-0.0027922689025572","-0.0116460395435709","-0.0025018778857186","8.91622864997088e-05","-0.00769004303185548","0.00586915510980772","-0.00290311775291121","-0.00332516892128187","-0.000707673617664659","0.00612479410149552","0.00425693282757229","0.00402030230447517","-0.000766139109443395","0.0051745043122768","-0.00279818280542383","0.0113885853972613","0.00408937009951062","0.0111325584597802","0.00720281556614323","-0.00969720773639919","0.00635483803488432","0.00624155979711542","-0.00435468046545085","0.00624983900259371","-0.0033796229930835","0.00626784644912811","-0.00155182369827888","0.00643389897775088","0.00233636242633922"
"obs.z","-1.22198325819591","-0.808142290574831","-0.333834721513824","-1.61296903378113","-0.126472349214687","-0.24433382153841","-0.802653467154459","-0.635303322064782","-1.19634738018858","-1.63128880157339","-0.834231814788486","-0.0634312731379205","-0.612781773800948","-0.649741039841354","-0.358748172997497","-0.487019806467766","-1.31310006291801","-2.64527972066965","-2.08983337808312","-1.62200378445085","-2.02768835113815","-0.97358453062875","0.164531837137257","-0.993074703449143","-1.19308738619791","-1.69935865104814","0.0285541446063532","-0.260129383084649","-0.322089656226365","-0.295291729560635","-1.25053433852134","-2.25269120608185","-2.24590574820402","-1.21978179405451","-1.1848583743528","-0.781491239876394","-0.171738554027951","-1.55207996467769","-1.45002311334124","-1.93807065725782","-1.65613116516102","0.298582932548509","-1.14160463734909","-1.21978134718148","-0.444708519016587","-1.31585970188168","-0.340417350484592","-0.928209727154971","-1.15438424535227","-0.873014853843543","-2.07338694118659","-2.04108486556422","-0.524500464359474","-0.661773174587934","-1.55460208053418","-1.55976665890607","1.24120334244993","0.292568949557135","-1.29702842184101","-0.913597831183861","-1.92552762262213","-2.49104037024015","-0.787371950167586","-0.862015005522503","0.466297429432139","-0.429727641127159","-2.17128868793471","-1.53347209911297","0.855254450176469","-1.3496388755508","-0.59492575832956","-0.696793770027353","0.492622887393728","0.858977876365005","-0.625445813901202","-0.638624589899407","-0.214499646578017","-0.340575073275548","0.389768595364517","-0.386888728594344","-0.868656198362404","-0.166672904986993","-0.095879429475758","0.430753706177895","-0.549639227352326","0.0167661934921203","-1.79072096182241","-1.27787836348064","-0.852569082745008","-1.29186590105094","-0.66063415329789","-0.55228164461435","-1.21997160365382","-0.689411682852158","-1.58101801566044","-1.09735933578854","-0.749068225495329","-1.00434976163236","-0.718501500460744","-0.190965295310446","-0.931206342674749","-0.308172153303989","-1.09183123099471","-1.79082038770087","-0.252105256035536","-0.843427929438366","0.116891684183018","0.0945702411375009","-0.96479963388429","-0.232475844611084","-0.235698435248708","-0.90890880229846","-1.79726162096064","-0.86547808709405","-0.162999413365109","-1.13432713945763","1.30468444443028","1.3262444240158","-1.11923044241302","0.164607573719765","-0.856913511357688","-0.0225393864076205","-0.320860186426687","-0.211981097404955","-0.352507168492111","0.07547076940612","-1.23227084812173","0.225602147929335","0.729491797554667","0.0294614522045261","-1.35627360144327","-2.18596090228572","0.382837180177523","-0.354554232983847","0.313859252952185","-0.876576930535164","-1.84855785407998","-0.983682559611819","-2.40032127014549","-1.73212690118757","-1.66467131588826","-1.71105872807091","0.705960640422777","0.977405466620809"
"rankLow","117","212","381","56","468","407","215","265","111","53","200","473","268","265","367","321","108","2","18","52","25","160","567","160","119","40","502","395","373","375","109","11","11","115","129","238","432","57","80","35","53","605","130","106","330","83","361","164","136","196","17","21","297","244","54","55","894","607","88","179","23","6","210","194","691","320","13","68","812","88","279","248","691","808","260","271","405","349","661","365","180","449","455","663","289","513","39","108","184","102","250","292","108","254","55","126","222","151","230","431","175","373","139","37","410","202","551","534","173","422","386","185","37","190","439","137","895","897","129","559","206","492","348","431","362","540","109","574","760","509","96","11","641","368","612","199","22","156","12","47","58","45","757","835"
