"","Aleck_Rock.Aleck_Rock","Aleck_Rock.Aleck_Rock.1","Barren_Island.Barren_Island","Barren_Island.Barren_Island.1","Battleship_Island.Battleship_Island","Battleship_Island.Battleship_Island.1","Blind_Island.Blind_Island","Blind_Island.Blind_Island.1","Boulder_Island.Boulder_Island","Boulder_Island.Boulder_Island.1","Broken_Point_Island.Broken_Point_Island","Broken_Point_Island.Broken_Point_Island.1","Buck_Island.Buck_Island","Buck_Island.Buck_Island.1","Castle_Island.Castle_Island","Castle_Island.Castle_Island.1","Cemetery_Island.Cemetery_Island","Cemetery_Island.Cemetery_Island.1","Charles_Island.Charles_Island","Charles_Island.Charles_Island.1","Cliff_Island.Cliff_Island","Cliff_Island.Cliff_Island.1","Colville_Island.Colville_Island","Colville_Island.Colville_Island.1","Coon_Island.Coon_Island","Coon_Island.Coon_Island.1","Crab_Island.Crab_Island","Crab_Island.Crab_Island.1","Deadman_Island.Deadman_Island","Deadman_Island.Deadman_Island.1","Dot_Island.Dot_Island","Dot_Island.Dot_Island.1","Dotlet_Island.Dotlet_Island","Dotlet_Island.Dotlet_Island.1","East_Sucia_1_Island.East_Sucia_1_Island","East_Sucia_1_Island.East_Sucia_1_Island.1","East_Sucia_2_Island.East_Sucia_2_Island","East_Sucia_2_Island.East_Sucia_2_Island.1","East_Sucia_3_Island.East_Sucia_3_Island","East_Sucia_3_Island.East_Sucia_3_Island.1","East_Sucia_4_Island.East_Sucia_4_Island","East_Sucia_4_Island.East_Sucia_4_Island.1","East_Sucia_6_Island.East_Sucia_6_Island","East_Sucia_6_Island.East_Sucia_6_Island.1","East_Sucia_7_Island.East_Sucia_7_Island","East_Sucia_7_Island.East_Sucia_7_Island.1","East_Sucia_8_Island.East_Sucia_8_Island","East_Sucia_8_Island.East_Sucia_8_Island.1","Ewing_Island.Ewing_Island","Ewing_Island.Ewing_Island.1","Fawn_Island.Fawn_Island","Fawn_Island.Fawn_Island.1","Flat_Top_Island.Flat_Top_Island","Flat_Top_Island.Flat_Top_Island.1","Flint_Beach_Island.Flint_Beach_Island","Flint_Beach_Island.Flint_Beach_Island.1","Flower_Island.Flower_Island","Flower_Island.Flower_Island.1","Fortress_Island.Fortress_Island","Fortress_Island.Fortress_Island.1","Gossip_Island.Gossip_Island","Gossip_Island.Gossip_Island.1","Hat_Island.Hat_Island","Hat_Island.Hat_Island.1","Huckleberry_Island.Huckleberry_Island","Huckleberry_Island.Huckleberry_Island.1","Iceberg_Island.Iceberg_Island","Iceberg_Island.Iceberg_Island.1","Little_Cactus.Little_Cactus","Little_Cactus.Little_Cactus.1","Little_McConnell_Island.Little_McConnell_Island","Little_McConnell_Island.Little_McConnell_Island.1","Little_Nob.Little_Nob","Little_Nob.Little_Nob.1","Little_Oak.Little_Oak","Little_Oak.Little_Oak.1","Little_Sucia_Island.Little_Sucia_Island","Little_Sucia_Island.Little_Sucia_Island.1","Low_Island.Low_Island","Low_Island.Low_Island.1","Mackaye_Harbor_Island.Mackaye_Harbor_Island","Mackaye_Harbor_Island.Mackaye_Harbor_Island.1","Massacre_Bay__1_Island.Massacre_Bay__1_Island","Massacre_Bay__1_Island.Massacre_Bay__1_Island.1","Matia_Island.Matia_Island","Matia_Island.Matia_Island.1","Matia_West__1.Matia_West__1","Matia_West__1.Matia_West__1.1","Matia_West__2.Matia_West__2","Matia_West__2.Matia_West__2.1","McConnell_Island.McConnell_Island","McConnell_Island.McConnell_Island.1","Near_Decatur_Island___Unnamed__3.Near_Decatur_Island___Unnamed__3","Near_Decatur_Island___Unnamed__3.Near_Decatur_Island___Unnamed__3.1","Nob_Island.Nob_Island","Nob_Island.Nob_Island.1","North_Finger_Island.North_Finger_Island","North_Finger_Island.North_Finger_Island.1","Oak_Island.Oak_Island","Oak_Island.Oak_Island.1","Pole_Island.Pole_Island","Pole_Island.Pole_Island.1","Posey_Island.Posey_Island","Posey_Island.Posey_Island.1","Reef_Island.Reef_Island","Reef_Island.Reef_Island.1","Reeflet_Island.Reeflet_Island","Reeflet_Island.Reeflet_Island.1","Rim_Island.Rim_Island","Rim_Island.Rim_Island.1","Ripple_Island.Ripple_Island","Ripple_Island.Ripple_Island.1","Rum_Island.Rum_Island","Rum_Island.Rum_Island.1","Saddlebag_Island.Saddlebag_Island","Saddlebag_Island.Saddlebag_Island.1","Secar_Rock.Secar_Rock","Secar_Rock.Secar_Rock.1","Sentinel_Island.Sentinel_Island","Sentinel_Island.Sentinel_Island.1","Skull_Island.Skull_Island","Skull_Island.Skull_Island.1","Small_Island_near_Charles.Small_Island_near_Charles","Small_Island_near_Charles.Small_Island_near_Charles.1","Swirl_Rock_Central.Swirl_Rock_Central","Swirl_Rock_Central.Swirl_Rock_Central.1","Turn_Island.Turn_Island","Turn_Island.Turn_Island.1","Turnlet_Island.Turnlet_Island","Turnlet_Island.Turnlet_Island.1","Unnamed__1_near_Long_Island.Unnamed__1_near_Long_Island","Unnamed__1_near_Long_Island.Unnamed__1_near_Long_Island.1","Unnamed__2_near_Long_Island.Unnamed__2_near_Long_Island","Unnamed__2_near_Long_Island.Unnamed__2_near_Long_Island.1","Unnamed__3_near_Long_Island.Unnamed__3_near_Long_Island","Unnamed__3_near_Long_Island.Unnamed__3_near_Long_Island.1","Unnamed_72_Island.Unnamed_72_Island","Unnamed_72_Island.Unnamed_72_Island.1","Victim_Island.Victim_Island","Victim_Island.Victim_Island.1","Willow_Island.Willow_Island","Willow_Island.Willow_Island.1","Yellow_Island.Yellow_Island","Yellow_Island.Yellow_Island.1"
"island","Aleck_Rock","Aleck_Rock","Barren_Island","Barren_Island","Battleship_Island","Battleship_Island","Blind_Island","Blind_Island","Boulder_Island","Boulder_Island","Broken_Point_Island","Broken_Point_Island","Buck_Island","Buck_Island","Castle_Island","Castle_Island","Cemetery_Island","Cemetery_Island","Charles_Island","Charles_Island","Cliff_Island","Cliff_Island","Colville_Island","Colville_Island","Coon_Island","Coon_Island","Crab_Island","Crab_Island","Deadman_Island","Deadman_Island","Dot_Island","Dot_Island","Dotlet_Island","Dotlet_Island","East_Sucia_1_Island","East_Sucia_1_Island","East_Sucia_2_Island","East_Sucia_2_Island","East_Sucia_3_Island","East_Sucia_3_Island","East_Sucia_4_Island","East_Sucia_4_Island","East_Sucia_6_Island","East_Sucia_6_Island","East_Sucia_7_Island","East_Sucia_7_Island","East_Sucia_8_Island","East_Sucia_8_Island","Ewing_Island","Ewing_Island","Fawn_Island","Fawn_Island","Flat_Top_Island","Flat_Top_Island","Flint_Beach_Island","Flint_Beach_Island","Flower_Island","Flower_Island","Fortress_Island","Fortress_Island","Gossip_Island","Gossip_Island","Hat_Island","Hat_Island","Huckleberry_Island","Huckleberry_Island","Iceberg_Island","Iceberg_Island","Little_Cactus","Little_Cactus","Little_McConnell_Island","Little_McConnell_Island","Little_Nob","Little_Nob","Little_Oak","Little_Oak","Little_Sucia_Island","Little_Sucia_Island","Low_Island","Low_Island","Mackaye_Harbor_Island","Mackaye_Harbor_Island","Massacre_Bay__1_Island","Massacre_Bay__1_Island","Matia_Island","Matia_Island","Matia_West__1","Matia_West__1","Matia_West__2","Matia_West__2","McConnell_Island","McConnell_Island","Near_Decatur_Island___Unnamed__3","Near_Decatur_Island___Unnamed__3","Nob_Island","Nob_Island","North_Finger_Island","North_Finger_Island","Oak_Island","Oak_Island","Pole_Island","Pole_Island","Posey_Island","Posey_Island","Reef_Island","Reef_Island","Reeflet_Island","Reeflet_Island","Rim_Island","Rim_Island","Ripple_Island","Ripple_Island","Rum_Island","Rum_Island","Saddlebag_Island","Saddlebag_Island","Secar_Rock","Secar_Rock","Sentinel_Island","Sentinel_Island","Skull_Island","Skull_Island","Small_Island_near_Charles","Small_Island_near_Charles","Swirl_Rock_Central","Swirl_Rock_Central","Turn_Island","Turn_Island","Turnlet_Island","Turnlet_Island","Unnamed__1_near_Long_Island","Unnamed__1_near_Long_Island","Unnamed__2_near_Long_Island","Unnamed__2_near_Long_Island","Unnamed__3_near_Long_Island","Unnamed__3_near_Long_Island","Unnamed_72_Island","Unnamed_72_Island","Victim_Island","Victim_Island","Willow_Island","Willow_Island","Yellow_Island","Yellow_Island"
"Metric","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat","NNFD_inv","MFD_inv_nat"
"n.inv.tax","15","15","9","9","16","16","9","9","11","11","8","8","4","4","14","14","NA","NA","19","19","13","13","8","8","21","21","NA","NA","10","10","19","19","NA","NA","NA","NA","10","10","12","12","8","8","10","10","13","13","NA","NA","11","11","20","20","19","19","12","12","14","14","9","9","10","10","13","13","21","21","11","11","6","6","20","20","NA","NA","NA","NA","13","13","6","6","8","8","NA","NA","24","24","8","8","8","8","23","23","9","9","13","13","18","18","13","13","11","11","17","17","12","12","NA","NA","9","9","11","11","12","12","28","28","NA","NA","15","15","31","31","2","2","2","2","25","25","14","14","11","11","9","9","NA","NA","NA","NA","23","23","13","13","25","25"
"mean.obs.metric","0.160402350750935","0.165262451809999","0.147492922079922","0.175616526323735","0.141574486397243","0.179351552538539","0.134774536771644","0.151628004494055","0.144676489118635","0.153602116949785","0.13912701778996","0.0463009804656897","0.116459639299949","0.0853258876702589","0.106471247934057","0.234801654883444",NA,NA,"0.141449740508707","0.255736234557359","0.121858028342628","0.175362091995346","0.0656901652819271","0.0157247024480029","0.103387978719709","0.178788611255228","NA","NA","0.133668773134435","0.186531308121618","0.114380424065028","0.122201712923962",NA,NA,NA,NA,"0.088607587798357","0.0341567431156694","0.236688406687774","0.1033995541673","0.153478933187562","0.182517888028088","0.04834257672583","0.0374232958106592","0.0582402447421856","0.0669124295794733","NA","NA","0.157296723140498","0.13671021954186","0.141455849780266","0.21126323694284","0.061765809781554","0.095973125806091","0.163295128946324","0.178854147346615","0.0652224869150226","0.139821797137829","0.178029686868752","0.102210100941016","0.118609053459469","0.173190833424628","0.054276879194427","0.0929726331954823","0.134329559328877","0.100836534848244","0.0551458279206404","0.103587590606107","0.0893055806299982","0.108987390438367","0.0880290317036485","0.167250682510963","NA","NA",NA,NA,"0.0810430587115463","0.113941616280435","0.0784306227165145","0.0208792222356239","0.188922909090595","0.165475678318484","NA","NA","0.0745385490181346","0.13994877269749","0.109888554348419","0.229463909299609","0.130057055179746","0.180056162477031","0.120058423361774","0.163247763480743","0.101725834793754","0.0794751220848251","0.138033091561783","0.220719899364069","0.0445689341537703","0.0849904747191384","0.124620039443972","0.199173492910018","0.134708453578219","0.141607092469312","0.182146708619709","0.223407180286092","0.0931059919658157","0.165179637193122",NA,NA,"0.168751871657704","0.12292049313618","0.139306067679709","0.145959864824165","0.164638298826512","0.22694811406514","0.107413235894928","0.0703465554993734","NA","NA","0.119841071279224","0.165230438881546","0.0791792286485924","0.093565759640067","0.209392851130983","0.259744254166057","0.21036228326897","0.208890647408438","0.105095508314106","0.124660476447722","0.147922155393564","0.211545073833092","0.138863384207238","0.16114322116481","0.154023341796036","0.171728168555301",NA,NA,NA,NA,"0.0854191474568038","0.091609685796935","0.0866630672876239","0.127707521552713","0.117926267846781","0.116127942311999"
"mean.randomized.null","0.126506343722978","0.137640332600982","0.184785315159296","0.086051549435264","0.136917089870003","0.153538136915112","0.125939558176965","0.126076972646431","0.112013004506317","0.10383224861136","0.111090266830563","0.0597255186578796","0.111987255522818","0.108771444590185","0.0947884686133185","0.17169743999188","NaN","NaN","0.0990567047375105","0.206166532274725","0.0720750687932573","0.152512800560372","0.0212447838069498","0.0129766144649757","0.117440422191624","0.167289960603951","NA","NA","0.139638461006446","0.144569400430873","0.0776918693085447","0.074152370855697","NaN","NaN","NaN","NaN","0.133868107359504","0.0721534655387452","0.147119782393859","0.0722611396934194","0.0975630450209878","0.129180254237442","0.0864096398748141","0.0558045994426196","0.0898115107521012","0.116202315585553","NA","NA","0.133689567191717","0.143111755808783","0.103534569797816","0.160568037121336","0.0712003882873323","0.113421519328967","0.0873375765076878","0.0933971736449571","0.0906364075955954","0.119505592237469","0.148507981894754","0.0667076144024769","0.0260487858660267","0.0704643263867102","0.00694852135398227","0.0809283640951566","0.0894366658993119","0.112767272183888","0.0831082506359124","0.0437633367988513","0.165937109651749","0.135460080401393","0.119547027672095","0.139237914386745","NA","NA","NaN","NaN","0.0685786924456699","0.0956264195063532","0.106563789269541","0.000285569270811887","0.173582915737182","0.197025597490731","NA","NA","0.0820020817637298","0.154246206663257","0.0613800795215793","0.183968309186894","0.119829008828067","0.172167453672243","0.133751971501959","0.154500850985502","0.0532851912343752","0.0927261515375002","0.0773712682588467","0.163755249946719","0.0756760154694489","0.0925377640193877","0.113782885749673","0.161638641847048","0.156337040267558","0.087132295703555","0.144640769215917","0.170910685721234","0.138686034060736","0.187833894164822","NaN","NaN","0.170889328254602","0.102389455414008","0.136812275705281","0.106545479965414","0.136340244800099","0.178962504630996","0.0528391767483426","0.0854842907236716","NA","NA","0.0832313846448393","0.133335678877176","0.0889953270024136","0.113970882667973","0.193735513270117","0.172555662216402","0.242681880183874","0.191981041493855","0.115247457072628","0.151715671578888","0.133928808895611","0.161479876860129","0.114266966686675","0.112703780114844","0.100618705148896","0.123749358613692","NaN","NaN","NaN","NaN","0.0760719983135847","0.0865401706390515","0.07605609624094","0.152072135010656","0.117757273459235","0.116579354097975"
"median.randomized.null","0.128057315246308","0.140505524767875","0.186731808752516","0.0869696692427744","0.137899693555413","0.154178309184195","0.126314279764968","0.128302039240371","0.113606338764847","0.10600629073322","0.111756746877468","0.0626789865284993","0.12960277700227","0.123078907776401","0.0949107485495206","0.174103067442831",NA,NA,"0.0991894731898119","0.206003238744385","0.0736425023636841","0.153873835958606","0.0250391361352637","0.0168300310825196","0.119106189325863","0.169286002923427","NA","NA","0.143599778042","0.14797036421044","0.0779072870938389","0.0758308574357575",NA,NA,NA,NA,"0.137221716209533","0.0742558632988969","0.152336746789951","0.0746905528947711","0.102141463917077","0.134495694308959","0.087119826468585","0.0592921221828877","0.0917953053390471","0.117573146179265","NA","NA","0.133178031289519","0.147513124257883","0.103902272848437","0.160393233211385","0.0730307293301584","0.113234308404089","0.0873565971391235","0.0955830691441802","0.092644038170422","0.12074987165158","0.152843460167806","0.0683361818487125","0.0259335414379583","0.0714816392330095","0.00701113712177031","0.0835319570302225","0.0894016007160995","0.113160992194259","0.0851549891719175","0.0484335191738672","0.167346088253507","0.14023346068009","0.121949329809982","0.140591368153666","NA","NA",NA,NA,"0.0682754542682112","0.0970437634111566","0.112167859419554","0.00804767726299051","0.176791383515303","0.199727670132314","NA","NA","0.0827348475385908","0.154661221011821","0.0631394267158779","0.188678832652747","0.12314977975837","0.175360709415081","0.133444716327414","0.155075839939632","0.0592118800529464","0.0983871292491477","0.077954893471766","0.167319700737073","0.0753565226636232","0.0929018177446068","0.113666595512347","0.160870905982265","0.157900726832574","0.0905571282605179","0.1431599788466","0.172291095721682","0.139195867608287","0.190571097836577",NA,NA,"0.170965056534756","0.106034069813448","0.138776583238426","0.110313884844103","0.13639127924529","0.182383131157604","0.0521044247355106","0.0869082017544052","NA","NA","0.0840445913372793","0.134575023712315","0.0881832182330468","0.113858554728422","0.199540664633545","0.180195330392653","0.242681880183874","0.191981041493855","0.115838903224374","0.152334488077256","0.135647151172687","0.164475058876925","0.115864597967721","0.114074945336349","0.103713252848688","0.126482025191154",NA,NA,NA,NA,"0.0756642510729723","0.0888407349790531","0.0778315581732408","0.155640782879279","0.117298017735042","0.116433431338644"
"sd.randomized.null","0.053828323285225","0.0444005154549115","0.0520680750044719","0.0432913935304483","0.0460397621859791","0.0381131882205531","0.0684863785815044","0.04868591152242","0.0557571263701375","0.0421835986634557","0.0660722142400555","0.0461727301732518","0.09413052002204","0.0931212863777563","0.0486394014877385","0.0387625084587532",NA,NA,"0.0435786646298245","0.0338165831125207","0.0505158020594277","0.0384521956671396","0.0487101094834659","0.0455432315084119","0.0419078743626578","0.0321647969188634","NA","NA","0.072506255106802","0.0555074500785924","0.0527313550163443","0.0411393381198879",NA,NA,NA,NA,"0.0646888491582211","0.0557853015815225","0.0635719555985041","0.0514281511688955","0.0698078975009018","0.0750961595023694","0.0574519213670347","0.0549543206913008","0.0542155155140649","0.0494595901307268","NA","NA","0.0601266740559955","0.050440328429044","0.0418478505508086","0.0310712622589766","0.0391966329118964","0.0289882364047464","0.0618981103020799","0.0476485378861283","0.0562465009809034","0.043921038291721","0.0605519415105411","0.0562292189025174","0.0605169264127838","0.0494977553606501","0.0564161977602236","0.0421784948054093","0.0431168280492294","0.032987795090051","0.0524553361538471","0.0533314917211027","0.0753240753142384","0.0532021779584493","0.0419697669767416","0.0322807907255318","NA","NA",NA,NA,"0.0578913247057083","0.0474276971511083","0.0886350953860345","0.0580155258871742","0.0657555239889074","0.0543790531180026","NA","NA","0.0389709176161917","0.0291294433915415","0.070262478299138","0.0629294612890622","0.0558685164556946","0.0594671379675808","0.0446209386169144","0.0375600257305147","0.0745767910721976","0.0522883766505275","0.0606340578486477","0.0453607804682321","0.0467395199901345","0.0374592358331531","0.0514135798619388","0.0386621052685647","0.0560931491650877","0.045539296916277","0.0457555155916216","0.0347540365274816","0.0581841399044408","0.047722712226834",NA,NA,"0.0651929358746934","0.0557111576135904","0.0525012346087417","0.0464114213563551","0.0536865283285704","0.0453039746955041","0.036969156773771","0.0299463767691134","NA","NA","0.0495267010771831","0.0362597326522712","0.0359922507711179","0.0263436228300904","0.140329387809747","0.113209242182236","0","0","0.0344835952110705","0.0289731223239861","0.0504607709256786","0.0434145697027326","0.0573013677222037","0.0486843280614793","0.0714002648265652","0.0528963405429218",NA,NA,NA,NA,"0.0411920929131723","0.0321879991382222","0.0485526362906746","0.0418010844233844","0.0295512932094837","0.0245066655834409"
"se.randomized.null","0.00400048184624755","0.0043525694892223","0.00584342474055417","0.0027211889240201","0.00432969854591178","0.00485530220350532","0.00398255851354492","0.00398690394061467","0.00354216221798665","0.00328346400188754","0.00351298269060433","0.00188868673393783","0.00354134796363374","0.00343965509291786","0.00299747456737469","0.00542954978794423","NaN","NaN","0.00313244804481325","0.00651955819286746","0.00227921379900017","0.00482287822101779","0.000671819052278244","0.000410356580272106","0.00371379223497316","0.00529017305188321","NA","NA","0.00441575585740977","0.00457168585326487","0.00245683262691132","0.00234490385805491","NaN","NaN","NaN","NaN","0.00423328125311981","0.00228169292176903","0.00465233601232933","0.00228509787750807","0.00308521437727871","0.00408503832109935","0.00273251273799319","0.00176469638152041","0.00284008934077342","0.00367463986636029","NA","NA","0.00422763531727948","0.00452559108301587","0.00327405057126779","0.00507760716725888","0.00225155397276345","0.00358670336756349","0.00276185667083508","0.00295347795740315","0.00286617486937467","0.00377909864597739","0.00469623473502471","0.00210947998788079","0.00082373493618646","0.00222827765171507","0.000219731538489011","0.00255917957852087","0.00282823570573337","0.00356601425625235","0.0026281136436162","0.00138391822293432","0.00524739214844638","0.00428362386097938","0.00378040894946997","0.00440308946113643","NA","NA","NaN","NaN","0.002168648670845","0.0030239729012683","0.0033698429018996","9.03049325519004e-06","0.00548917376622582","0.00623049645426266","NA","NA","0.00259313351248744","0.00487769333496931","0.00194100854250449","0.00581758874320664","0.00378932597657117","0.00544441292555809","0.00422960871484122","0.00488574589548456","0.00168502569858265","0.00293225837520425","0.00244669433153846","0.00517839568641799","0.00239308573129595","0.00292630103880443","0.00359813077715683","0.00511146266132878","0.00494381129894944","0.00275536512182537","0.00457394273241063","0.00540467043340316","0.00438563747287616","0.00593982927339848","NaN","NaN","0.00540399505100708","0.00323783887492524","0.00432638403099608","0.00336926391086546","0.0043114571031324","0.0056592913040238","0.00167092148212972","0.00270325062850806","NA","NA","0.00263200748287257","0.0042164443861668","0.00281427934439112","0.00360407576170603","0.00612645485595346","0.00545668915762488","0.00767427488233124","0.00607097358691876","0.00364444458891987","0.00479767078931362","0.00423520080423551","0.00510644207161526","0.00361343876048475","0.00356400646073701","0.00318184283487424","0.00391329832204245","NaN","NaN","NaN","NaN","0.00240560780831415","0.00273664048319032","0.00240510494062341","0.00480894315278307","0.00372381195182479","0.00368656287100887"
"obs.z","0.629705793515978","0.622112579685421","-0.716223771978733","2.0688864364109","0.101160308092514","0.677283030589051","0.129003442402269","0.524813668854862","0.585817217255522","1.17983931943533","0.42433496866827","-0.290746034332769","0.0475125790878888","-0.251774409825236","0.240191675131602","1.62797036106971",NA,NA,"0.972793364168013","1.46584006189202","0.98549280660347","0.594225922305411","0.912446757896607","0.060340206261376","-0.335317495473758","0.357491784583097","NA","NA","-0.0823334188645848","0.755968930861198","0.695763549886239","1.16796585127938",NA,NA,NA,NA,"-0.699664936849394","-0.681124262948526","1.4089329713183","0.605474118087947","0.800996594487778","0.710257810041043","-0.662589905493161","-0.334483319977971","-0.582328982959227","-0.996568832774415","NA","NA","0.392623678582244","-0.126913056799941","0.906170316595075","1.63157838258914","-0.240698697946448","-0.601912902849765","1.22713847107678","1.79348574988566","-0.451831140379758","0.462562036111744","0.487543491381837","0.63138857753099","1.52949386361911","2.0753770810299","0.83891434941427","0.28555473958689","1.0411919304061","-0.361671257599205","-0.533071080380853","1.1217434929461","-1.01735771334807","-0.497586583460949","-0.75096904840841","0.867784446868008","NA","NA",NA,NA,"0.215306288623368","0.386170905910278","-0.317404369347121","0.354967961591205","0.233288283977484","-0.580185151510154","NA","NA","-0.191515447983557","-0.490824138779054","0.690389465346183","0.722961855715465","0.183073526926202","0.132656607908195","-0.306886151762706","0.232878234908526","0.649540465109092","-0.253422085394602","1.00045791845827","1.25581281515305","-0.665541308987437","-0.201480065793804","0.210783877010698","0.970843434475065","-0.385583391399264","1.19621514723663","0.819703131280205","1.51051503106256","-0.783375713206021","-0.474705982007484",NA,NA,"-0.0327866289225885","0.36852649633623","0.0474996824934211","0.849238909451198","0.527097856900421","1.05919204124281","1.47620513717816","-0.505494716139122","NA","NA","0.739190897801403","0.879619282090096","-0.272728105175854","-0.774575431766317","0.111575615808241","0.770154364334541","-Inf","Inf","-0.294399371538362","-0.933803227302434","0.277311389446728","1.15318883305233","0.429246604370887","0.994969900556003","0.747961324469345","0.907034578368932",NA,NA,NA,NA,"0.226916101663534","0.15749705771129","0.218463339110614","-0.582870367935071","0.00571867993551229","-0.0184199594367273"
"rankLow","724","712","236","988","534","726","564","690","705","891","665","353","431","328","591","966","0","0","837","927","839","726","814","489","377","603","NA","NA","448","780","750","884","0","0","0","0","222","217","933","718","785","759","226","348","285","156","NA","NA","659","412","827","953","399","276","896","974","327","648","669","742","936","983","797","594","843","348","296","880","147","277","228","807","NA","NA","0","0","581","645","368","596","575","268","NA","NA","417","300","750","756","549","530","389","588","729","383","846","899","251","419","569","829","336","897","787","944","204","297","0","0","484","636","502","792","704","851","929","296","NA","NA","777","804","412","213","462","737","0","4","388","162","474","713","669","833","783","816","0","0","0","0","591","541","578","272","507","494"
