"","meanNNTDnatives","meanNNTDinvasives","n.natives","n.invasives","t.NNTD.p.value","t.NNTD.conf.int.Lo","t.NNTD.conf.int.Hi","meanMFDnat_nat","meanMFDinv_nat","t.MFD.p.value","t.MFD.conf.int.Lo","t.MFD.conf.int.Hi"
"All_SanJuanIslands","-0.029490742805089","-0.146840614496856","175","112","0.0209220190469337","0.0179243810814932","0.216775362302042","0.617408611900773","0.563112855846804","0.0663221845964194","-0.00368256223631487","0.112274074344254"
"Aleck_Rock","0.126863209722763","-0.10448556796116","43","16","0.0594932874402982","-0.00962549745410055","0.472323052821946","0.512776154647931","0.501020748319531","0.865455480060307","-0.128181866779681","0.151692679436481"
"Barren_Island","-0.0492133539444319","-0.00745889128078288","20","13","0.787175093613596","-0.36012330765252","0.276614382325222","0.544258510982112","0.430485401850617","0.0131364368847664","0.0261095433619233","0.201436674901066"
"Battleship_Island","0.0910146708640205","-0.155675384621416","42","24","0.0318285203813054","0.0221604725690899","0.471219638401782","0.58741042746971","0.537938013444763","0.405275108608906","-0.0685718175149814","0.167516645564875"
"Blind_Island","0.0779862441813716","-0.00332341382765405","36","11","0.593591815272849","-0.228306616805538","0.390925932823589","0.460060850124361","0.366984791716144","0.110303998222193","-0.0220073448435715","0.208159461660007"
"Boulder_Island","0.120120733327061","-0.130764856206733","46","18","0.0383777189979778","0.0138657485855539","0.487905430482035","0.512550664200444","0.397728982624517","0.0212362384826697","0.0177494694351512","0.211893893716702"
"Broken_Point_Island","0.159729945142432","-0.0549455032980061","26","12","0.135925357073523","-0.071518329439349","0.500869226320224","0.514364308183618","0.455563186160876","0.362621312163369","-0.0707432266199562","0.188345470665442"
"Buck_Island","0.00415608642949901","-0.478625247349098","10","7","0.00429486707760797","0.178945249396362","0.786617418160831","0.479498947863624","0.556892306965237","0.495121078590593","-0.328636548500047","0.173849830296821"
"Castle_Island","-0.0360540831537006","-0.106298491082604","67","19","0.4720251934226","-0.12629078751605","0.266779603373858","0.661092204052565","0.560095788202354","0.0220955489871678","0.0149408954685829","0.187051936231839"
"Cemetery_Island","0.00129459205267352","-0.547236742437204","21","5","0.226214735284936","-0.491390446777881","1.58845311575764","0.47701790726314","0.385705359690924","0.204631973580684","-0.0532352368037535","0.235860331948185"
"Charles_Island","0.0051531453119043","-0.29632765660049","60","38","0.00911842822922833","0.0772426057832868","0.525718998041501","0.711105283841259","0.622653092674914","0.093392043543756","-0.0151575007390744","0.192061883071764"
"Cliff_Island","0.00247188688581639","-0.0875766238339974","60","25","0.409093988123861","-0.126534352012806","0.306631373452433","0.755913348377646","0.601150989768849","0.00114586692141253","0.0634628796197001","0.246061837597894"
"Colville_Island","-0.0944998767919447","-0.185659054297378","20","17","0.40016621673863","-0.127223746082256","0.309542101093122","0.427629781306321","0.46850701225826","0.280280857328239","-0.117109650976021","0.0353551890721426"
"Coon_Island","0.144829133977151","-0.19799372448519","40","32","0.00701121078703108","0.0968213663073875","0.588824350617295","0.614355539201358","0.541816150306407","0.204103865524718","-0.0403652240397857","0.185444001829687"
"Crab_Island","0.0969100130080564","-0.189245274470736","2","4","0.101040393767493","-0.102694045854458","0.675004620812042","0.0646066753387043","0.253063400746562","0.038091896636953","-0.357403449710824","-0.0195100011048924"
"Deadman_Island","0.110844193322843","-0.0807452560849154","37","16","0.182565130383957","-0.0931439254313954","0.476322824246912","0.645290640027133","0.500434279818288","0.00781550005516917","0.0400718873926846","0.249640833025006"
"Dot_Island","0.0574661422151373","-0.0474851929681515","45","26","0.366758083884688","-0.125637469134508","0.335540139501086","0.585136050431298","0.523201494995297","0.241057093893785","-0.0425516134402009","0.166420724312203"
"Dotlet_Island","0.0138524992581921","-0.359475642331702","12","9","0.00825422081824215","0.11386003941314","0.632796243766648","0.240302968650123","0.382588828951746","0.122058789968202","-0.330123245841811","0.0455515252385657"
"East_Sucia_1_Island","0.00334063601655507","-0.212883565628628","24","16","0.135645361302441","-0.0709100382813761","0.503358441571743","0.48212122675832","0.417584076623075","0.215848459368799","-0.0394089263363609","0.168483226606852"
"East_Sucia_2_Island","0.0342079540527251","0.0293321265341495","22","14","0.975915617038393","-0.32114628146392","0.330897936501072","0.490221143607989","0.387503488850485","0.0180730531863433","0.0187925404686356","0.186642769046371"
"East_Sucia_3_Island","0.107927332432846","0.0328063463105317","16","14","0.603557013811594","-0.217897684954028","0.368139657198657","0.424395013830195","0.364209222532156","0.314842057454223","-0.0603691053710062","0.180740687967083"
"East_Sucia_4_Island","0.0213482850449424","-0.360063941983004","31","9","0.0318686386760364","0.0352745292732921","0.7275499247826","0.631349452471069","0.526038361236858","0.23359541747979","-0.0734378295372922","0.284060012005714"
"East_Sucia_6_Island","-0.0181902079951716","-0.254112303767657","27","11","0.131548223790684","-0.0745945962285231","0.546438787773494","0.526604939325265","0.470672274195907","0.412730545988995","-0.083178975460347","0.195044305719064"
"East_Sucia_7_Island","0.0458425324832092","-0.133080475049231","39","18","0.27343696718667","-0.146287863821806","0.504133878886687","0.596557648380029","0.511584927848354","0.152204480780361","-0.0323669878229796","0.202312428886331"
"East_Sucia_8_Island","-0.141989577424094","-0.573057796833953","3","3","0.187429259625714","-0.339559471344238","1.20169591016396","0.29048819182241","0.496768793857005","0.44368370151899","-0.998460858019488","0.585899653950298"
"Ewing_Island","-0.009167633972334","-0.205211961350099","54","16","0.0777599875139124","-0.0235134261501593","0.41560208090569","0.578713232848216","0.619722202602569","0.563812858795315","-0.184589620829025","0.102571681320318"
"Fawn_Island","0.173190165827347","-0.134794040706343","30","31","0.0454209997742973","0.0065995661524045","0.609368846914976","0.710895186435626","0.597129828075137","0.0668464160286258","-0.00824008641051119","0.235770803131489"
"Flat_Top_Island","0.0067012596442611","-0.142401764678741","69","33","0.0702922048577122","-0.0126343683553229","0.310840417001327","0.593551004658392","0.548681307204633","0.304304228445326","-0.0414229033409485","0.131162298248468"
"Flint_Beach_Island","0.0999856465122094","-0.161547446110418","43","15","0.119225949617123","-0.0711591533695279","0.594225338614783","0.54486896420746","0.434425587552637","0.0266303391036326","0.0132834948341947","0.207603258475452"
"Flower_Island","0.0613126297759787","-0.087648852338674","40","18","0.289209405992521","-0.131988870685556","0.429911834914861","0.634042013922805","0.521755064001877","0.0173197232202858","0.0206397784473032","0.203934121394552"
"Fortress_Island","0.0137641547790682","-0.245228937029177","32","15","0.0231364556984473","0.0382008787158578","0.479785304900632","0.450033387964174","0.450599801139695","0.991699449882934","-0.111234492052793","0.110101665701751"
"Gossip_Island","0.168010162477352","-0.0815812726059853","34","15","0.0409886200757812","0.0106612039191815","0.488521666247493","0.596656647003888","0.504581835558657","0.119414050286985","-0.0247280960446237","0.208877718935084"
"Hat_Island","0.00707766599310323","-0.0872901894626108","61","27","0.316749338704598","-0.0930493937468644","0.281785104658292","0.602138484102664","0.5139276716897","0.0591334799329083","-0.00347713720627956","0.179898762032206"
"Huckleberry_Island","-0.00704089717240209","-0.0786740617215268","69","32","0.417039031599213","-0.103733439972337","0.246999769070587","0.665302526952856","0.604572327513926","0.214956414343357","-0.0358872732636158","0.157347672141474"
"Iceberg_Island","0.02121008349338","-0.0475767986690152","25","16","0.555164971634914","-0.165436251396143","0.303010015720934","0.479988639436628","0.382583658960828","0.0312328737494508","0.00933556748250455","0.185474393469097"
