"","meanNNFDnatives","meanNNFDinvasives","n.natives","n.invasives","t.NNFD.p.value","t.NNFD.conf.int.Lo","t.NNFD.conf.int.Hi","meanMFDnat_nat","meanMFDinv_nat","t.MFD.p.value","t.MFD.conf.int.Lo","t.MFD.conf.int.Hi"
"All_SanJuanIslands","0.0585639658183206","0.0435305561680271","23","15","0.832061250821462","-0.128282801134442","0.158349620435029","-0.0258515094936227","0.149977968197578","0.0063970805119632","-0.298755200559135","-0.0529037548232672"
"Aleck_Rock","-0.0485917526545657","0.0631851242508756","4","6","0.202126714188317","-0.316701363942285","0.0931476101314021","-0.0800491443576412","0.135110827522763","0.022539488280762","-0.390880067054365","-0.0394398767064432"
"Barren_Island","0","0.0690078480045603","2","3","0.178895109939742","-0.200420741622923","0.062405045613802","-0.0291717755478103","0.137229934634069","0.0515567634828381","-0.335416376742335","0.00261295637857548"
"Battleship_Island","0.0517831938897628","0.0900472835885877","8","9","0.754787612163609","-0.30846007492468","0.231931895527031","-0.00422466401316981","0.10164898650935","0.337416065483378","-0.33944899433534","0.127701693290301"
"Blind_Island","-0.138125631231079","0.0730603041959473","3","4","0.0275933758223527","-0.381342298077944","-0.0410295727761079","-0.1234832505648","0.167237275864677","0.0238535211400815","-0.522252832348588","-0.0591882205103663"
"Boulder_Island","-0.0659561548966465","0.0730603041959473","3","4","0.270869299206006","-0.498076193955939","0.220043275770752","-0.0955499342864659","0.183225327677534","0.0353502448233693","-0.527739499867649","-0.0298110240603514"
"Broken_Point_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Buck_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Castle_Island","0.0718089614101322","0.0730603041959473","14","4","0.98478044380903","-0.138192569309507","0.135689883737877","-0.0703754612843595","0.218120148997447","0.00992697885957878","-0.494267228608109","-0.0827239919555047"
"Cemetery_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Charles_Island","0.0560140119827545","0.0932754930035324","12","3","0.604564936819292","-0.189080343718142","0.114557381676586","-0.0448292994034856","0.245488291071242","0.00385728946576568","-0.46662280313095","-0.114012377818505"
"Cliff_Island","0.0336299847280095","0.0285283817568181","13","2","0.960140888663378","-0.559174355709416","0.569377561651798","-0.0958419780157473","0.124278771556465","0.0159418445748689","-0.381142164631011","-0.0590993345134137"
"Colville_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Coon_Island","-0.0906473259604268","-0.0165359489101926","6","6","0.385636461562258","-0.256274735863271","0.108051981762803","-0.169577805826982","0.10162824997876","0.00115231606907247","-0.40406379334353","-0.138348318267953"
"Crab_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Deadman_Island","0.176690722588185","0.064911944430433","5","3","0.511728039299167","-0.310320418414384","0.533877974729889","0.0797591991024902","0.148877703923377","0.679196166118201","-0.460307328926197","0.322070319284423"
"Dot_Island","0.0450347945244498","0.051439706641586","11","7","0.945823141428624","-0.20398552029747","0.191175696063197","-0.0305403454693792","0.0945204217100862","0.143561336254549","-0.298234228009453","0.0481126936505226"
"Dotlet_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"East_Sucia_1_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"East_Sucia_2_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"East_Sucia_3_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"East_Sucia_4_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"East_Sucia_6_Island","0","0.0857001062988477","4","1","NA","NA","NA","-0.0522002673977704","0.0873388626820851","NA","NA","NA"
"East_Sucia_7_Island","-0.0236048286341081","0.0244673602809242","12","4","0.380756835631745","-0.16435537962364","0.0682110017935751","-0.0420881643467306","0.0973758570169345","0.0457241323172771","-0.275511786670391","-0.00341625605693921"
"East_Sucia_8_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Ewing_Island","0.0434463067468251","0.150767710758588","14","4","0.368918799160817","-0.387405884437513","0.172763076413988","-0.0503346089979141","0.146761102752533","0.161241555913031","-0.505075610764304","0.11088418726341"
