"","meanNNTDnatives","meanNNTDinvasives","n.natives","n.invasives","t.NNTD.p.value","t.NNTD.conf.int.Lo","t.NNTD.conf.int.Hi","meanMFDnat_nat","meanMFDinv_nat","t.MFD.p.value","t.MFD.conf.int.Lo","t.MFD.conf.int.Hi"
"All_SanJuanIslands","0.0585639658183206","0.0435305561680271","23","15","0.832061250821462","-0.128282801134442","0.158349620435029","0.210520122694787","0.227198433716845","0.611962294174074","-0.0833285699204763","0.0499719478763608"
"Aleck_Rock","-0.0485917526545657","0.0631851242508756","4","6","0.202126714188317","-0.316701363942285","0.0931476101314021","0.142439836071629","0.18328503144888","0.37849263984242","-0.142162424837332","0.0604720340828304"
"Barren_Island","0","0.0690078480045603","2","3","0.178895109939742","-0.200420741622923","0.062405045613802","0.0783100263741119","0.144551120073983","0.190786477172828","-0.21153509341884","0.0790529060190985"
"Battleship_Island","0.0517831938897628","0.0900472835885877","8","9","0.754787612163609","-0.30846007492468","0.231931895527031","0.245557772966369","0.206383016407445","0.405719963565106","-0.0615513374124911","0.139900850530339"
"Blind_Island","-0.138125631231079","0.0730603041959473","3","4","0.0275933758223527","-0.381342298077944","-0.0410295727761079","0.156960048036861","0.191772255625836","0.609072653591634","-0.203089897959882","0.133465482781931"
"Boulder_Island","-0.0659561548966465","0.0730603041959473","3","4","0.270869299206006","-0.498076193955939","0.220043275770752","0.153511521426098","0.206667568235488","0.409842470465193","-0.205779809699476","0.0994677160806949"
"Broken_Point_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Buck_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Castle_Island","0.0718089614101322","0.0730603041959473","14","4","0.98478044380903","-0.138192569309507","0.135689883737877","0.279772714553715","0.267033098077123","0.801713452216048","-0.103688338280979","0.129167571234162"
"Cemetery_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Charles_Island","0.0560140119827545","0.0932754930035324","12","3","0.604564936819292","-0.189080343718142","0.114557381676586","0.236637622101811","0.269656106945258","0.516586728732563","-0.153741860400166","0.0877048907132721"
"Cliff_Island","0.0336299847280095","0.0285283817568181","13","2","0.960140888663378","-0.559174355709416","0.569377561651798","0.218866889221986","0.182702841353383","0.220720921159342","-0.0306999020427451","0.103027997779949"
"Colville_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Coon_Island","-0.0906473259604268","-0.0165359489101926","6","6","0.385636461562258","-0.256274735863271","0.108051981762803","0.209555479992128","0.177041518469377","0.313932583396789","-0.036991245897878","0.10201916894338"
"Crab_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Deadman_Island","0.176690722588185","0.064911944430433","5","3","0.511728039299167","-0.310320418414384","0.533877974729889","0.274359236377852","0.223446561191406","0.52618094255302","-0.13430167007048","0.236127020443374"
"Dot_Island","0.0450347945244498","0.051439706641586","11","7","0.945823141428624","-0.20398552029747","0.191175696063197","0.23780941089599","0.180803183745934","0.112930634170973","-0.0151853669658578","0.129197821265969"
"Dotlet_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"East_Sucia_1_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"East_Sucia_2_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"East_Sucia_3_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"East_Sucia_4_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"East_Sucia_6_Island","269.276636","94.353046","4","1","NA","NA","NA","308.577598333333","235.7323265","NA","NA","NA"
"East_Sucia_7_Island","-0.0236048286341081","0.0244673602809242","12","4","0.380756835631745","-0.16435537962364","0.0682110017935751","0.153829675936953","0.145720058783821","0.812655855861437","-0.0805984944382453","0.096817728744509"
"East_Sucia_8_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Ewing_Island","0.0434463067468251","0.150767710758588","14","4","0.368918799160817","-0.387405884437513","0.172763076413988","0.225814144917976","0.239465296235359","0.844539473862181","-0.191651629126286","0.16434932649152"
"Fawn_Island","-0.0864999641776746","0.149218113533267","7","6","0.00841688130469307","-0.397520549627825","-0.073915605794057","0.17807777031843","0.261443450223447","0.128329247843678","-0.198537847850147","0.0318064880401131"
"Flat_Top_Island","0.0594151199759548","0.0087420133941781","12","4","0.525542744215955","-0.116258017513577","0.21760423067713","0.254137183114039","0.161794477675221","0.0129876024191258","0.0229095949455166","0.161775815932119"
"Flint_Beach_Island","-0.0659561548966465","0.0823674679302014","3","5","0.248473753368609","-0.51698995799522","0.220342712341524","0.163280107210489","0.191136176159137","0.653606698786722","-0.190905845125831","0.135193707228536"
"Flower_Island","-0.053772671067435","0.0729027347569942","4","5","0.66901973350101","-0.976471518504258","0.723120706855399","0.289486457025945","0.201941921182237","0.272276916640324","-0.104827108364441","0.279916180051858"
"Fortress_Island","0.121716668312872","0.060730859422288","3","3","0.670063058247234","-0.43232700384948","0.554298621630647","0.205184563029538","0.128682999258535","0.24134517906117","-0.118655507849446","0.271658635391453"
"Gossip_Island","0.0126927418497532","0.0624208558587172","4","2","0.744261665334892","-0.492170586137377","0.392714358119449","0.239726084752945","0.247873796892721","0.912668026375241","-0.23895759939944","0.222662175119888"
"Hat_Island","0","-0.0010936934124352","4","5","0.985927156016603","-0.14456370365032","0.14675109047519","0.175398491051542","0.208925127988972","0.474878811808822","-0.139896988711414","0.072843714836555"
"Huckleberry_Island","0.090339473852251","0.00810371731025543","13","6","0.335802592656718","-0.0941255575094334","0.258597070593425","0.253677105430991","0.220510876996624","0.447748008349937","-0.058188505006091","0.124520961874824"
"Iceberg_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Little_Cactus","0","0.0802609806761651","2","2","0.415536064334086","-0.83827383210408","0.67775187075175","0.103459139791059","0.064039081364613","0.303770968864457","-0.212933477448394","0.291773594301286"
"Little_McConnell_Island","-0.0247612478478064","0.0603338493807271","9","6","0.221657026206847","-0.229372480625126","0.059182286168059","0.160721103146436","0.191339812054913","0.459388799013395","-0.124514614982911","0.0632771971659572"
"Little_Nob","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Little_Oak","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Little_Sucia_Island","0.064588051494322","0.0416861136782888","9","5","0.807050833267307","-0.179485543143963","0.225289418776029","0.260994303156172","0.21844069888592","0.375299841689119","-0.0581707850670913","0.143277993607596"
"Low_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Mackaye_Harbor_Island","269.276636","94.353046","4","1","NA","NA","NA","308.577598333333","235.7323265","NA","NA","NA"
"Massacre_Bay__1_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Matia_Island","0.0464912026044003","0.0831254084982212","18","12","0.598926873544037","-0.177935853048377","0.104667441260736","0.220215968278713","0.246592833110695","0.466787359748707","-0.10074412714251","0.0479903974785465"
"Matia_West__1","0.0551096060333678","0.10057707996715","13","3","0.612114485374615","-0.258112047706604","0.16717709983904","0.230145567422592","0.275955494871325","0.524907908405191","-0.247886671327999","0.156266816430533"
"Matia_West__2","0.128151565508984","-0.0079571817246517","2","5","0.0608936739855593","-0.00927421489594074","0.281491709363213","0.15301469267662","0.0977917432005888","0.476313631394682","-0.452499881655728","0.56294578060779"
"McConnell_Island","-0.00538878794410035","0.050373232092941","13","7","0.406817429301208","-0.198901792259475","0.0873777521853925","0.193998579321552","0.195189577271204","0.970450180744169","-0.0704646684594703","0.0680826725601653"
"Near_Decatur_Island___Unnamed__3","-0.0199450094120848","0.137911268219807","6","3","0.330328567259561","-0.612249416800328","0.296536861536543","0.128793017781162","0.177178225679241","0.673962805318164","-0.425247129805444","0.328476714009287"
"Nob_Island","-0.0845358399068814","0.132325867851795","7","3","0.0216527986060118","-0.390199489998169","-0.0435239255191841","0.189333833438491","0.243686710711577","0.346312077761768","-0.224318143387647","0.115612388841475"
"North_Finger_Island","0.14740268986205","-0.0196312226896511","9","3","0.120712061480532","-0.0526221999044592","0.386690025007862","0.300215390668494","0.211803995354626","0.139131842247114","-0.0413563946731398","0.218179185300876"
"Oak_Island","-0.071760955402898","0.0775009377148538","4","3","0.0827791826614682","-0.332016407178665","0.0334926209431617","0.208137854904216","0.214871300789631","0.90500011978129","-0.180295999881617","0.166829108110787"
"Pole_Island","-0.0364955886982675","0.105331840692167","6","4","0.0840196479682224","-0.307663590266848","0.0240087314859789","0.129664040168371","0.192690330010005","0.215869514732403","-0.180474939074883","0.0544223593916155"
"Posey_Island","-0.0395129347055548","0.105143870538892","8","6","0.0660252451825342","-0.301153222967959","0.0118396124790658","0.169622664670018","0.230457278500242","0.101195933552259","-0.137106211467725","0.0154369838072758"
"Reef_Island","0.00836592189636026","0.048650897804502","6","4","0.707076761374436","-0.288883350179553","0.208313398363269","0.209428951341829","0.196996647270888","0.836808885908459","-0.126787122902403","0.151651731044285"
"Reeflet_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Rim_Island","0","0.0457521498302087","2","3","0.59105624603161","-0.646343286401889","0.554838986741472","0.121680361546292","0.169633714149166","0.44558985506882","-0.258240938073749","0.162334232868003"
"Ripple_Island","-0.0079329856164606","0.0742222504921715","5","5","0.170417551789199","-0.211924641166673","0.0476141689494091","0.0967442568161059","0.158986929668971","0.185149375868593","-0.169852650278824","0.0453673045730929"
"Rum_Island","-9.49893209499994e-05","0.0750984090861473","8","4","0.284314767916234","-0.224711562457468","0.0743247656432732","0.155636311138161","0.200028852147288","0.366083141011929","-0.161053205082178","0.0722681230639247"
"Saddlebag_Island","0.0359610393962774","0.0496012244056065","10","11","0.831285470137","-0.14695791794323","0.119677547924572","0.221234968428018","0.175838156500896","0.156598794439298","-0.0196836464320812","0.110477270286325"
"Secar_Rock","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Sentinel_Island","-0.0655669917376795","0.0277272534476692","4","5","0.262799884641713","-0.278149352716199","0.0915608623455013","0.20786379206396","0.134600625387734","0.0320739416611371","0.0107191951531724","0.135807138199281"
"Skull_Island","0.0227231337014127","0.107093488027494","6","8","0.589947381694867","-0.448014206694244","0.279273498042081","0.273363085146379","0.221479302750667","0.382356016574889","-0.0752695363186956","0.179037101110121"
"Small_Island_near_Charles","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Swirl_Rock_Central","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Turn_Island","0.0107937170520999","0.00392034303690311","17","8","0.894599477211202","-0.105996747339207","0.119743495369601","0.201947282844187","0.183971847472032","0.506920285750288","-0.0396363628805469","0.0755872336248573"
"Turnlet_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Unnamed__1_near_Long_Island","0","0.00801914948288698","2","4","0.962456971056224","-0.92068888124229","0.904650582276516","0.115270763332804","0.111340184883407","0.825562430609202","-0.0454513808963019","0.0533125377950945"
"Unnamed__2_near_Long_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Unnamed__3_near_Long_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Unnamed_72_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Unnamed_west_of_Castle_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Victim_Island","-0.00632704430199538","0.11088685150067","8","7","0.120549743777993","-0.27022279895206","0.0357950073467286","0.151453074065707","0.201177725011945","0.334599339070436","-0.160183216450978","0.0607339145585019"
"Willow_Island","0","-0.0208834002707998","4","6","0.699578686897277","-0.0995202431827347","0.141287043724334","0.199299344751459","0.197134510664676","0.952993199870307","-0.0819903509578466","0.0863200191314139"
"Yellow_Island","0.0533127444061132","-0.0347160167859644","11","6","0.344197075152566","-0.104157426209488","0.280214948593643","0.192989349440385","0.145591656268902","0.156414888711659","-0.0211933612241592","0.115988747567126"
