"","meanNNFDnatives","meanNNFDinvasives","n.natives","n.invasives","t.NNFD.p.value","t.NNFD.conf.int.Lo","t.NNFD.conf.int.Hi","meanMFDnat_nat","meanMFDinv_nat","t.MFD.p.value","t.MFD.conf.int.Lo","t.MFD.conf.int.Hi"
"All_SanJuanIslands","-0.0422813412098696","0.0313506412860831","39","58","0.682472708605439","-0.430686318871355","0.28342235387945","0.113618230535274","-0.0947528710807446","0.230779939031353","-0.135304718565096","0.552046921797134"
"Aleck_Rock","-0.141796717144107","0.277694582081793","3","12","0.467372575793505","-1.96989537489719","1.13091277644539","-0.576230185215663","0.213222722186737","0.157954282693265","-2.11790217806142","0.538996363256622"
"Barren_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Battleship_Island","0.228653377881949","0.444056188821034","11","11","0.343647222901405","-0.678702902208804","0.247897280330633","0.120555833829333","0.189830954841582","0.815239129934355","-0.680861541156261","0.542311299131761"
"Blind_Island","-0.246292736310467","0.335670674980785","6","8","0.151492122075941","-1.41476348278321","0.250836660200705","-0.313291391866698","0.340401014400957","0.122851369075857","-1.51268281328401","0.2052980007487"
"Boulder_Island","-0.0607700216331888","0.0235340397450609","7","8","0.813996206426599","-0.846117366627253","0.677509243870754","-0.0838710740698891","0.0835307298913319","0.635268961866032","-0.914175772203241","0.579372164280799"
"Broken_Point_Island","-0.176386253711978","0.356946990617945","4","6","0.304599776571529","-1.67126611162041","0.604599622960561","-0.15300156676709","-0.0325826091761602","0.792965839683748","-1.14383446367388","0.902996548492017"
"Buck_Island","0","0.236897174789435","2","4","0.65716084131446","-1.63181101738702","1.15801666780815","0.82771555318808","-0.43011312067665","0.0654063823963932","-0.138286291201781","2.65394363893124"
"Castle_Island","-0.024320116031699","0.0286460379117156","19","12","0.832923989115965","-0.565319128249809","0.459386820362979","0.0829882940997677","-0.103346806410656","0.449940194599201","-0.312991289993391","0.685661491014238"
"Cemetery_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Charles_Island","-0.0889353579388745","-0.0956430125139808","14","16","0.975884645686937","-0.444830562775588","0.458245871925801","0.124938040121035","0.0237331240123079","0.72332523645555","-0.482609306590779","0.685019138808233"
"Cliff_Island","-0.0188241187735175","-9.40624221539381e-05","12","12","0.95254584366813","-0.664325793250254","0.626865680547527","0.298721978187547","0.0241905858710349","0.336328272281722","-0.304973920619793","0.854036705252817"
"Colville_Island","-0.142846765602687","-0.266687021661275","6","8","0.764492298692411","-0.781339142266783","1.02901965438396","0.184266273285355","-0.576262253037649","0.0100153620142499","0.217957044403172","1.30310000824284"
