"","meanNNTDnatives","meanNNTDinvasives","n.natives","n.invasives","t.NNTD.p.value","t.NNTD.conf.int.Lo","t.NNTD.conf.int.Hi","meanMFDnat_nat","meanMFDinv_nat","t.MFD.p.value","t.MFD.conf.int.Lo","t.MFD.conf.int.Hi"
"All_SanJuanIslands","-0.0422813412098696","0.0313506412860831","39","58","0.682472708605439","-0.430686318871355","0.28342235387945","0.972067872023517","0.904061628616479","0.306937288020099","-0.0636931715751289","0.199705658389203"
"Aleck_Rock","-0.141796717144107","0.277694582081793","3","12","0.467372575793505","-1.96989537489719","1.13091277644539","0.807287479584041","0.698858135975376","0.695219407321789","-0.811018100719713","1.02787678793704"
"Barren_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Battleship_Island","0.228653377881949","0.444056188821034","11","11","0.343647222901405","-0.678702902208804","0.247897280330633","0.792678973656721","0.717930355302455","0.55114299275199","-0.183721958613111","0.333219195321643"
"Blind_Island","-0.246292736310467","0.335670674980785","6","8","0.151492122075941","-1.41476348278321","0.250836660200705","0.664475457438616","0.896125513704705","0.130629985507674","-0.542881941935673","0.0795818294034956"
"Boulder_Island","-0.0607700216331888","0.0235340397450609","7","8","0.813996206426599","-0.846117366627253","0.677509243870754","0.582052514398698","0.732186366730651","0.278097658012092","-0.436674783105851","0.136407078441945"
"Broken_Point_Island","-0.176386253711978","0.356946990617945","4","6","0.304599776571529","-1.67126611162041","0.604599622960561","0.575706937008692","0.770757050131816","0.269339422877736","-0.574643758409105","0.184543532162857"
"Buck_Island","0","0.236897174789435","2","4","0.65716084131446","-1.63181101738702","1.15801666780815","0.892680679967322","0.910547807187463","0.932606361121197","-0.589255289696466","0.553521035256186"
"Castle_Island","-0.024320116031699","0.0286460379117156","19","12","0.832923989115965","-0.565319128249809","0.459386820362979","0.814841021592751","0.757414692166801","0.508993466332717","-0.1182989551364","0.233151613988301"
"Cemetery_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Charles_Island","-0.0889353579388745","-0.0956430125139808","14","16","0.975884645686937","-0.444830562775588","0.458245871925801","0.911485586507603","0.783191759581196","0.151885112806777","-0.0518623865275121","0.308450040380326"
"Cliff_Island","-0.0188241187735175","-9.40624221539381e-05","12","12","0.95254584366813","-0.664325793250254","0.626865680547527","0.832332237993815","0.749294217049754","0.423628733150546","-0.128802063120029","0.294878105008152"
"Colville_Island","-0.142846765602687","-0.266687021661275","6","8","0.764492298692411","-0.781339142266783","1.02901965438396","0.616041524360004","0.81214848941961","0.156578597169802","-0.485042009927816","0.0928280798086051"
"Coon_Island","-0.0538677747526724","0.105563324051175","5","17","0.677656561522274","-1.02699109032175","0.708128892714055","0.867670621271411","0.698194438738286","0.408053197288549","-0.309362847749608","0.648315212815859"
"Crab_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Deadman_Island","0.0113162455588593","0.370902778920576","6","8","0.408147014000216","-1.27883598546519","0.559662918741753","0.986767893708075","0.835709715895753","0.415573744531378","-0.243776100135182","0.545892455759825"
"Dot_Island","-0.0178896994928165","0.0931819685054159","15","16","0.65462204673863","-0.614270584190073","0.392127248193609","0.720010842471931","0.903384485396834","0.234820298791263","-0.49291745576125","0.126170169911444"
"Dotlet_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"East_Sucia_1_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"East_Sucia_2_Island","0","0.185435131869044","2","7","0.660603416220284","-1.17684969277649","0.805979429038404","0.389376242515121","0.866708503228036","0.012604550783279","-0.812488554075841","-0.142175967349988"
"East_Sucia_3_Island","-0.052432714263432","-0.293741929079685","4","10","0.532886698515126","-0.61507241443589","1.0976908440684","0.598350832541479","0.754681839641131","0.397727087213876","-0.55008249508401","0.237420480884706"
