"","meanNNFDnatives","meanNNFDinvasives","n.natives","n.invasives","t.NNFD.p.value","t.NNFD.conf.int.Lo","t.NNFD.conf.int.Hi","meanMFDnat_nat","meanMFDinv_nat","t.MFD.p.value","t.MFD.conf.int.Lo","t.MFD.conf.int.Hi"
"All_SanJuanIslands","0.00771135869256255","0.0581638936495828","48","65","0.248999396610514","-0.136792858606548","0.0358877886925077","-0.0541184425129084","0.139102909980644","2.64859609539505e-05","-0.279138024223872","-0.107304680763232"
"Aleck_Rock","-0.0839683573467035","0.160402350750935","4","15","0.299621854111683","-0.846302153533017","0.357560737337741","-0.158762308513536","0.165262451809999","0.144744540159837","-0.840662013983499","0.192612493336429"
"Barren_Island","0.0272866751392491","0.147492922079922","3","9","0.355413815738984","-0.432824963083228","0.192412469201882","0.00676274551612234","0.175616526323735","0.554162653765743","-1.17685195822262","0.839144396607392"
"Battleship_Island","-0.0642758817860481","0.141574486397243","12","16","0.00343117237883646","-0.335155946219003","-0.0765447901475804","-0.0378898013969687","0.179351552538539","0.0114713739431704","-0.37950215349673","-0.0549805543742849"
"Blind_Island","0.00163275133108416","0.134774536771644","6","9","0.362034651194277","-0.451972032867755","0.185688461986636","-0.0829497764553203","0.151628004494055","0.098419348857549","-0.525403461152732","0.0562478992539806"
"Boulder_Island","-0.0207790990167476","0.144676489118635","8","11","0.153719232496066","-0.400817605418852","0.0699064291480875","-0.0448431679885914","0.153602116949785","0.0606914844395116","-0.407776457409703","0.0108858875329492"
"Broken_Point_Island","0.115696827446476","0.13912701778996","4","8","0.923334242739287","-0.700207935973021","0.653347555286054","0.186063545760681","0.0463009804656897","0.287964551719118","-0.173811470537849","0.453336601127831"
"Buck_Island","0","0.116459639299949","2","4","0.150048560808903","-0.308408344165322","0.0754890655654235","0.0113279001555527","0.0853258876702589","0.309363181403036","-0.266427320281128","0.118431345251715"
"Castle_Island","0.0448637849465985","0.106471247934057","25","14","0.387662215035033","-0.205563918505112","0.082348992530196","-0.00846133447387479","0.234801654883444","0.000697231410367662","-0.376057147325029","-0.110468831389608"
"Cemetery_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Charles_Island","0.023557749747917","0.141449740508707","18","19","0.116434964457258","-0.266586978435537","0.0308029969139574","-0.0136217903965292","0.255736234557359","0.00176581003400808","-0.426677696524374","-0.112038353383403"
"Cliff_Island","0.0282482372857132","0.121858028342628","14","13","0.239622278069642","-0.253877073604003","0.0666574914901729","-0.048482436261864","0.175362091995346","0.0304329839558602","-0.423942052282479","-0.0237470042319409"
"Colville_Island","0.0198772233413955","0.0656901652819271","7","8","0.681957298544681","-0.288213134899178","0.196587251018115","0.023687960043281","0.0157247024480029","0.929640195783905","-0.184342922323908","0.200269437514464"
"Coon_Island","-0.032658990675193","0.103387978719709","9","21","0.243280680647323","-0.379982163692022","0.107888224902218","-0.0488824409223229","0.178788611255228","0.0360188217254522","-0.437164519027484","-0.018177585327618"
"Crab_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Deadman_Island","0.0359168448039543","0.133668773134435","11","10","0.339429210078481","-0.308214174943513","0.112710318282552","0.00634444360597693","0.186531308121618","0.068978695625571","-0.376244402773218","0.0158706737419368"
"Dot_Island","-0.0931634542207314","0.114380424065028","16","19","0.0287347642317045","-0.391693352407127","-0.0233944041643918","-0.0456755434348392","0.122201712923962","0.0283493089090729","-0.316429030179631","-0.0193254825379707"
"Dotlet_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"East_Sucia_1_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"East_Sucia_2_Island","0","0.088607587798357","2","10","0.149910772058638","-0.215401790710978","0.0381866151142645","0.0596502874739167","0.0341567431156694","0.593817687729427","-0.0776977202063074","0.128684808922802"
"East_Sucia_3_Island","0.0174604920733805","0.236688406687774","4","12","0.000347096932128937","-0.319415444686001","-0.119040384542785","0.0281999896879245","0.1033995541673","0.0990818654080185","-0.166503967345248","0.0161048383864972"
"East_Sucia_4_Island","-0.0633807497169053","0.153478933187562","7","8","0.0732614017155004","-0.459546055557955","0.0258266897490201","-0.0788268748164318","0.182517888028088","0.035283250338408","-0.499917102456736","-0.0227724232323033"
"East_Sucia_6_Island","0.060193031965717","0.04834257672583","5","10","0.9092833399334","-0.22606208207926","0.249762992559034","-0.101297584751014","0.0374232958106592","0.311831974161927","-0.456162028322657","0.17872026719931"
"East_Sucia_7_Island","-0.0718897434389467","0.0582402447421856","12","13","0.136432384967528","-0.305209791477508","0.0449498151152438","-0.0758853558614159","0.0669124295794733","0.110578365715479","-0.321325822323722","0.0357302514419439"
"East_Sucia_8_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Ewing_Island","0.00177811241044295","0.157296723140498","20","11","0.0196238887953874","-0.284201197316271","-0.0268360241438384","-0.00828947410515179","0.13671021954186","0.0522117981621087","-0.291484202058015","0.00148481476399158"
"Fawn_Island","-0.0718180299646271","0.141455849780266","8","20","0.0803780242147445","-0.458694601537543","0.0321468420477576","-0.0838372885341773","0.21126323694284","0.0244759154187478","-0.540602828070539","-0.049598222883495"
"Flat_Top_Island","0.00883112247857671","0.061765809781554","18","19","0.413380057710585","-0.182905170482684","0.0770357958767289","-0.0310632166502224","0.095973125806091","0.0859131155178988","-0.27328625095457","0.0192135660419434"
"Flint_Beach_Island","0.0458858224091027","0.163295128946324","6","12","0.446727289702955","-0.46672211995568","0.231903506881238","0.0280650188978682","0.178854147346615","0.333465313631429","-0.507321855921331","0.205743599023838"
"Flower_Island","-0.0444775110424886","0.0652224869150226","12","14","0.31241644157242","-0.33093876299679","0.111538767081768","-0.00611568752793957","0.139821797137829","0.141111673151112","-0.346139068225377","0.0542640988938391"
"Fortress_Island","0.0738627186532838","0.178029686868752","5","9","0.497462512004614","-0.475083498660922","0.266749562229987","-0.00209407668555389","0.102210100941016","0.371563718756121","-0.36842763407824","0.159819278825101"
"Gossip_Island","-0.270078152552356","0.118609053459469","6","10","0.0815167838476105","-0.844102352846763","0.066727940823113","-0.196261925640031","0.173190833424628","0.0380505990361047","-0.709714981060946","-0.0291905370683721"
"Hat_Island","-0.0215173732549529","0.054276879194427","13","13","0.46027868841001","-0.285135981299886","0.133547476401126","-0.013352538743503","0.0929726331954823","0.215171604782333","-0.278758032035726","0.0661076881577559"
"Huckleberry_Island","-0.0618017251861098","0.134329559328877","16","21","0.0126827340526422","-0.347208579028544","-0.0450539900014292","-0.0325318680888055","0.100836534848244","0.0601738395093082","-0.272850361547018","0.00611355567291778"
"Iceberg_Island","-0.078734772490474","0.0551458279206404","3","11","0.625165882776251","-1.03591140583221","0.768150205009982","-0.0308045520516461","0.103587590606107","0.572666905017653","-0.965186164197121","0.696401878881615"
"Little_Cactus","0","0.0893055806299982","2","6","0.594809150658657","-0.706490964586925","0.527879803326928","-0.142797822699256","0.108987390438367","0.105002469230464","-0.644006466416382","0.140436040141137"
"Little_McConnell_Island","-0.0292716775515977","0.0880290317036485","12","20","0.203739539799854","-0.303565279545175","0.0689638610346827","-0.0527689666001632","0.167250682510963","0.0133191568711707","-0.387206395621231","-0.0528329026010219"
"Little_Nob","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Little_Oak","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Little_Sucia_Island","0.0104344057114406","0.0810430587115463","15","13","0.318282657850974","-0.21348586242257","0.0722685564223583","0.0124756263483389","0.113941616280435","0.196351361101031","-0.25902593516204","0.0560939552978483"
"Low_Island","-0.0206022139455673","0.0784306227165145","4","6","0.471282756123487","-0.403608825624907","0.205543152300744","-0.0117726936831812","0.0208792222356239","0.857203120689264","-0.532858677705908","0.467554845868298"
"Mackaye_Harbor_Island","0.0947662214657667","0.188922909090595","3","8","0.521017861313636","-0.508071430588436","0.319758055338781","0.0296066090266382","0.165475678318484","0.249451903620945","-0.441776552873311","0.17003841428962"
"Massacre_Bay__1_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Matia_Island","-0.0215864644036188","0.0745385490181346","30","24","0.134984086460982","-0.223164383622736","0.0309143567792292","-0.045285638806125","0.13994877269749","0.00482790207776667","-0.311220997114238","-0.0592478258929912"
"Matia_West__1","0.0194607190609629","0.109888554348419","14","8","0.259545906373922","-0.254758518238657","0.0739028476637448","-0.0503554637263961","0.229463909299609","0.00311338565168536","-0.453479612619461","-0.106159133432548"
"Matia_West__2","0.0524065508492833","0.130057055179746","4","8","0.292577588388355","-0.233427547996352","0.0781265393354265","-0.0318639211001968","0.180056162477031","0.189128792270647","-0.580929990149818","0.157089822995362"
"McConnell_Island","-0.0256764561410249","0.120058423361774","17","23","0.0112770752960752","-0.256495693232004","-0.034974065773595","-0.0527619133207221","0.163247763480743","0.00546790813420059","-0.362533069765832","-0.0694862838370984"
"Near_Decatur_Island___Unnamed__3","-0.114295458816082","0.101725834793754","13","9","0.0149642229383675","-0.384022848552227","-0.0480197386674463","-0.0439069445310624","0.0794751220848251","0.0950437460004599","-0.270529601957435","0.0237654687256595"
"Nob_Island","-0.201100094175311","0.138033091561783","7","13","0.036161176608846","-0.648794779101779","-0.0294715923724092","-0.0844630674996682","0.220719899364069","0.0292306899712352","-0.569355648542578","-0.0410102851848952"
"North_Finger_Island","0.0717649365519506","0.0445689341537703","14","18","0.690961143403436","-0.111789729911482","0.166181734707843","0.00768412567112859","0.0849904747191384","0.312819066749807","-0.233037114798938","0.0784244167029183"
"Oak_Island","0.0110367580721205","0.124620039443972","8","13","0.426665964613653","-0.419155724535974","0.19198916179227","-0.00396938283205038","0.199173492910018","0.140714305711893","-0.488924354327034","0.0826386028428969"
"Pole_Island","0.112081038732915","0.134708453578219","6","11","0.834235478255501","-0.253562247210424","0.208307417519816","0.0474485493239259","0.141607092469312","0.390562318623995","-0.341508770689171","0.153191684398399"
"Posey_Island","-0.0670337008102877","0.182146708619709","12","17","0.00236355330664483","-0.397472345330391","-0.100888473529603","-0.0307850855252481","0.223407180286092","0.00263140849094463","-0.405046676023771","-0.103337855598909"
"Reef_Island","-0.0529135287005388","0.0931059919658157","9","12","0.121372267875464","-0.335027585540901","0.0429885442081919","-0.0121291645143286","0.165179637193122","0.0277599027022061","-0.332230362286446","-0.0223872411284553"
"Reeflet_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Rim_Island","0.092557461957181","0.168751871657704","5","9","0.505725882858005","-0.348305374905743","0.195916555504698","-0.0371720277584265","0.12292049313618","0.123270650681261","-0.378200914053976","0.0580158722647633"
"Ripple_Island","0.0744900630196226","0.139306067679709","5","11","0.582722082292973","-0.337175183785677","0.207543174465503","-0.0542648576678898","0.145959864824165","0.101364146539903","-0.45457734255443","0.0541278975703208"
"Rum_Island","0.0248614687203359","0.164638298826512","9","12","0.141246269544785","-0.333601900746823","0.054048240534471","0.0333371455373686","0.22694811406514","0.0478924645431696","-0.385083178916741","-0.00213875813880189"
"Saddlebag_Island","-0.00774239602724407","0.107413235894928","14","28","0.105261540577064","-0.256087203705367","0.0257759398610226","-0.0367298242087058","0.0703465554993734","0.17306644221501","-0.2646079249107","0.0504551654945415"
"Secar_Rock","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Sentinel_Island","-0.0488937380500601","0.119841071279224","10","15","0.129864252709758","-0.393461765878768","0.0559921472202002","-0.0710106199232251","0.165230438881546","0.0146231261356177","-0.4169939131118","-0.0554882044977415"
"Skull_Island","-0.104841066911219","0.0791792286485924","12","31","0.0379727727252515","-0.356507293794925","-0.0115332973246983","-0.0545167269007387","0.093565759640067","0.0798118398988472","-0.316106275940917","0.0199413028593059"
"Small_Island_near_Charles","-0.142968138675432","0.209392851130983","2","2","0.0680678716456405","-0.769517915326525","0.0647959357136954","-0.0864501283131873","0.259744254166057","0.229749885345077","-1.98716934177862","1.29478057682013"
"Swirl_Rock_Central","-0.0574924307334658","0.21036228326897","3","2","0.143368199525366","-0.711080439217333","0.17537101121246","-0.0674962834060444","0.208890647408438","0.0484509925207786","-0.54918054506647","-0.00359331656249595"
"Turn_Island","0.00359525488421493","0.105095508314106","23","25","0.112949424310465","-0.22806740045543","0.0250668935956491","-0.026598569066321","0.124660476447722","0.0321777911064515","-0.288931313436185","-0.0135867775919009"
"Turnlet_Island","-0.153210159104532","0.147922155393564","2","14","0.486835092008625","-3.76670601992841","3.16444139093222","-0.160983907498533","0.211545073833092","0.472902468326694","-4.57357289454965","3.8285149318864"
"Unnamed__1_near_Long_Island","0","0.138863384207238","2","11","0.170439806594242","-0.400281686778112","0.122554918363637","0.0247112395820578","0.16114322116481","0.0464062305425805","-0.269796651888684","-0.00306731127682052"
