"","meanNNTDnatives","meanNNTDinvasives","n.natives","n.invasives","t.NNTD.p.value","t.NNTD.conf.int.Lo","t.NNTD.conf.int.Hi","meanMFDnat_nat","meanMFDinv_nat","t.MFD.p.value","t.MFD.conf.int.Lo","t.MFD.conf.int.Hi"
"All_SanJuanIslands","0.00771135869256255","0.0581638936495828","48","65","0.248999396610514","-0.136792858606548","0.0358877886925077","0.286237473579384","0.259602913261561","0.187044926543191","-0.0132671553102224","0.0665362759458692"
"Aleck_Rock","-0.0839683573467035","0.160402350750935","4","15","0.299621854111683","-0.846302153533017","0.357560737337741","0.333650314187062","0.233025866904595","0.200186993881215","-0.0863760038368904","0.287624898401824"
"Barren_Island","0.0272866751392491","0.147492922079922","3","9","0.355413815738984","-0.432824963083228","0.192412469201882","0.332559064496064","0.267263156704048","0.488494456822142","-0.248705184815075","0.379297000399107"
"Battleship_Island","-0.0642758817860481","0.141574486397243","12","16","0.00343117237883646","-0.335155946219003","-0.0765447901475804","0.236480054762762","0.239898381622347","0.923573577546074","-0.0768208421692304","0.0699841884500616"
"Blind_Island","0.00163275133108416","0.134774536771644","6","9","0.362034651194277","-0.451972032867755","0.185688461986636","0.270031764712033","0.235647950546133","0.595437659305317","-0.114172180051284","0.182939808383083"
"Boulder_Island","-0.0207790990167476","0.144676489118635","8","11","0.153719232496066","-0.400817605418852","0.0699064291480875","0.232930483993417","0.213197457269848","0.688947998552161","-0.088474008585561","0.127940062032699"
"Broken_Point_Island","0.115696827446476","0.13912701778996","4","8","0.923334242739287","-0.700207935973021","0.653347555286054","0.280785736460303","0.213413226910767","0.406748029954081","-0.150862809623041","0.285607828722113"
"Buck_Island","0","0.116459639299949","2","4","0.150048560808903","-0.308408344165322","0.0754890655654235","0.0168496716560969","0.0948294556612738","0.257450009657991","-0.255921349515664","0.0999617815053098"
"Castle_Island","0.0448637849465985","0.106471247934057","25","14","0.387662215035033","-0.205563918505112","0.082348992530196","0.297615484073265","0.285175063807644","0.687719890630529","-0.0497803333444724","0.074661173875714"
"Cemetery_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Charles_Island","0.023557749747917","0.141449740508707","18","19","0.116434964457258","-0.266586978435537","0.0308029969139574","0.31965580161083","0.307501796179112","0.67640954621272","-0.0467905331728512","0.0710985440362866"
"Cliff_Island","0.0282482372857132","0.121858028342628","14","13","0.239622278069642","-0.253877073604003","0.0666574914901729","0.340131016792455","0.26935126493643","0.0686990731065926","-0.00604950197178655","0.147609005683837"
"Colville_Island","0.0198772233413955","0.0656901652819271","7","8","0.681957298544681","-0.288213134899178","0.196587251018115","0.168971011176183","0.170460092240931","0.971734902279717","-0.0919385224563816","0.0889603603268855"
"Coon_Island","-0.032658990675193","0.103387978719709","9","21","0.243280680647323","-0.379982163692022","0.107888224902218","0.286553229394589","0.259772553009223","0.419243087395474","-0.0434546165437144","0.0970159693144464"
"Crab_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Deadman_Island","0.0359168448039543","0.133668773134435","11","10","0.339429210078481","-0.308214174943513","0.112710318282552","0.279806206587196","0.254030336103628","0.509627536643807","-0.0545277799687241","0.106079520935859"
"Dot_Island","-0.0931634542207314","0.114380424065028","16","19","0.0287347642317045","-0.391693352407127","-0.0233944041643918","0.269340186970545","0.239053229802374","0.367042113200086","-0.0375564032954875","0.0981303176318287"
"Dotlet_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"East_Sucia_1_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"East_Sucia_2_Island","0","0.088607587798357","2","10","0.149910772058638","-0.215401790710978","0.0381866151142645","0.10127406378742","0.144378783544758","0.0364658514296657","-0.0828944671156731","-0.00331497239900231"
"East_Sucia_3_Island","0.0174604920733805","0.236688406687774","4","12","0.000347096932128937","-0.319415444686001","-0.119040384542785","0.0964929124618891","0.159847815047981","0.0043538615190485","-0.102796161154113","-0.023913644018071"
"East_Sucia_4_Island","-0.0633807497169053","0.153478933187562","7","8","0.0732614017155004","-0.459546055557955","0.0258266897490201","0.247077897719646","0.222126161554683","0.637496654645859","-0.0897395049670046","0.139642977296931"
"East_Sucia_6_Island","0.060193031965717","0.04834257672583","5","10","0.9092833399334","-0.22606208207926","0.249762992559034","0.260213207294211","0.172877260667664","0.0579438070230464","-0.00446443910176719","0.179136332354861"
"East_Sucia_7_Island","-0.0718897434389467","0.0582402447421856","12","13","0.136432384967528","-0.305209791477508","0.0449498151152438","0.273868599390201","0.224878990170082","0.169893416726247","-0.0230494100410306","0.12102862848127"
"East_Sucia_8_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Ewing_Island","0.00177811241044295","0.157296723140498","20","11","0.0196238887953874","-0.284201197316271","-0.0268360241438384","0.286572838847129","0.226555103075461","0.0452400144716824","0.00136387955028425","0.118671591993052"
"Fawn_Island","-0.0718180299646271","0.141455849780266","8","20","0.0803780242147445","-0.458694601537543","0.0321468420477576","0.305033885194726","0.261395460092766","0.312093745343485","-0.0488146880719418","0.136091538275862"
"Flat_Top_Island","0.00883112247857671","0.061765809781554","18","19","0.413380057710585","-0.182905170482684","0.0770357958767289","0.294122685989525","0.245503057778135","0.0610450811211712","-0.00243895521855232","0.0996782116413318"
"Flint_Beach_Island","0.0458858224091027","0.163295128946324","6","12","0.446727289702955","-0.46672211995568","0.231903506881238","0.312676093504655","0.233148479021159","0.204682185182149","-0.057599860530063","0.216655089497055"
"Flower_Island","-0.0444775110424886","0.0652224869150226","12","14","0.31241644157242","-0.33093876299679","0.111538767081768","0.310902324749435","0.256137811876283","0.187675244826838","-0.0297793330240003","0.139308358770305"
"Fortress_Island","0.0738627186532838","0.178029686868752","5","9","0.497462512004614","-0.475083498660922","0.266749562229987","0.218103037093234","0.19246848664838","0.508390037544882","-0.0578450348495079","0.109114135739216"
"Gossip_Island","-0.270078152552356","0.118609053459469","6","10","0.0815167838476105","-0.844102352846763","0.066727940823113","0.378220712866358","0.261046695500053","0.0876154591314623","-0.0241020983414543","0.258450133074064"
"Hat_Island","-0.0215173732549529","0.054276879194427","13","13","0.46027868841001","-0.285135981299886","0.133547476401126","0.263647793586428","0.26090467696108","0.930022023369859","-0.0611332113907023","0.066619444641399"
"Huckleberry_Island","-0.0618017251861098","0.134329559328877","16","21","0.0126827340526422","-0.347208579028544","-0.0450539900014292","0.258687725322347","0.23842481230832","0.401414140560102","-0.0283486458972804","0.0688744719253343"
"Iceberg_Island","-0.078734772490474","0.0551458279206404","3","11","0.625165882776251","-1.03591140583221","0.768150205009982","0.277890073637459","0.177515295107627","0.266602832970455","-0.165663846779999","0.366413403839663"
"Little_Cactus","0","0.0893055806299982","2","6","0.594809150658657","-0.706490964586925","0.527879803326928","0.208799472631186","0.210389502942797","0.961643281635686","-0.11450958274397","0.111329522120748"
"Little_McConnell_Island","-0.0292716775515977","0.0880290317036485","12","20","0.203739539799854","-0.303565279545175","0.0689638610346827","0.275287575060046","0.250114863368318","0.401770024316884","-0.0369427633011204","0.0872881866845775"
"Little_Nob","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Little_Oak","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Little_Sucia_Island","0.0104344057114406","0.0810430587115463","15","13","0.318282657850974","-0.21348586242257","0.0722685564223583","0.267808772155046","0.237723231604301","0.317760269300825","-0.030798250701152","0.0909693318026408"
"Low_Island","-0.0206022139455673","0.0784306227165145","4","6","0.471282756123487","-0.403608825624907","0.205543152300744","0.295082874182842","0.192487168638301","0.134032707282312","-0.0558993962199892","0.261090807309071"
"Mackaye_Harbor_Island","0.0947662214657667","0.188922909090595","3","8","0.521017861313636","-0.508071430588436","0.319758055338781","0.144404797717149","0.181165257251481","0.378832256805812","-0.126612162500301","0.0530912434316364"
"Massacre_Bay__1_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Matia_Island","-0.0215864644036188","0.0745385490181346","30","24","0.134984086460982","-0.223164383622736","0.0309143567792292","0.312198958595426","0.266933181272178","0.115400187489116","-0.0115451421262227","0.102076696772718"
"Matia_West__1","0.0194607190609629","0.109888554348419","14","8","0.259545906373922","-0.254758518238657","0.0739028476637448","0.281485918764769","0.282961619646377","0.969625803769666","-0.083307541830304","0.0803561400670869"
"Matia_West__2","0.0524065508492833","0.130057055179746","4","8","0.292577588388355","-0.233427547996352","0.0781265393354265","0.220703671076542","0.218141946641041","0.954424572060525","-0.0950938404182836","0.100217289289286"
"McConnell_Island","-0.0256764561410249","0.120058423361774","17","23","0.0112770752960752","-0.256495693232004","-0.034974065773595","0.276899214805398","0.262496567217939","0.657692461218186","-0.0519444948645424","0.0807497900394599"
"Near_Decatur_Island___Unnamed__3","-0.114295458816082","0.101725834793754","13","9","0.0149642229383675","-0.384022848552227","-0.0480197386674463","0.26201549610859","0.212531777770887","0.111672473503521","-0.0126794717280067","0.111646908403413"
"Nob_Island","-0.201100094175311","0.138033091561783","7","13","0.036161176608846","-0.648794779101779","-0.0294715923724092","0.322203649860857","0.301584139797278","0.59293003241215","-0.0628625197843173","0.104101539911476"
"North_Finger_Island","0.0717649365519506","0.0445689341537703","14","18","0.690961143403436","-0.111789729911482","0.166181734707843","0.264303614668856","0.225001695756736","0.132261422684745","-0.0129485615028197","0.0915523993270596"
"Oak_Island","0.0110367580721205","0.124620039443972","8","13","0.426665964613653","-0.419155724535974","0.19198916179227","0.330512824733013","0.265690540624649","0.165851283420248","-0.0312025319521897","0.160847100168918"
"Pole_Island","0.112081038732915","0.134708453578219","6","11","0.834235478255501","-0.253562247210424","0.208307417519816","0.232143583964464","0.210668866949686","0.611886195495977","-0.073921862715435","0.11687129674499"
"Posey_Island","-0.0670337008102877","0.182146708619709","12","17","0.00236355330664483","-0.397472345330391","-0.100888473529603","0.260040814413612","0.275709443105465","0.572909632628316","-0.0724223420046645","0.0410850846209582"
"Reef_Island","-0.0529135287005388","0.0931059919658157","9","12","0.121372267875464","-0.335027585540901","0.0429885442081919","0.224195540145853","0.237188376066438","0.634272412464921","-0.0692483151669822","0.0432626433258138"
"Reeflet_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Rim_Island","0.092557461957181","0.168751871657704","5","9","0.505725882858005","-0.348305374905743","0.195916555504698","0.183167766230896","0.187654830042545","0.893215034843706","-0.0779223624851917","0.0689482348618944"
"Ripple_Island","0.0744900630196226","0.139306067679709","5","11","0.582722082292973","-0.337175183785677","0.207543174465503","0.206550940140083","0.20253654642107","0.920131078161968","-0.0830877383020252","0.091116525740051"
"Rum_Island","0.0248614687203359","0.164638298826512","9","12","0.141246269544785","-0.333601900746823","0.054048240534471","0.257906713160272","0.264136168398402","0.862077102210951","-0.0805363746341404","0.0680774641578803"
"Saddlebag_Island","-0.00774239602724407","0.107413235894928","14","28","0.105261540577064","-0.256087203705367","0.0257759398610226","0.276878604040642","0.263161124222833","0.651229441191512","-0.0483109995210981","0.0757459591567172"
"Secar_Rock","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Sentinel_Island","-0.0488937380500601","0.119841071279224","10","15","0.129864252709758","-0.393461765878768","0.0559921472202002","0.268829608362672","0.239427341626083","0.399655059753368","-0.0436569918307177","0.102461525303896"
"Skull_Island","-0.104841066911219","0.0791792286485924","12","31","0.0379727727252515","-0.356507293794925","-0.0115332973246983","0.285975750055261","0.245063559233184","0.207322721958407","-0.0253156656543163","0.107140047298469"
"Small_Island_near_Charles","-0.142968138675432","0.209392851130983","2","2","0.0680678716456405","-0.769517915326525","0.0647959357136954","0.150338986033669","0.259744254166057","0.348754112176199","-0.914059445298644","0.695248909033869"
"Swirl_Rock_Central","-0.0574924307334658","0.21036228326897","3","2","0.143368199525366","-0.711080439217333","0.17537101121246","0.129607644571085","0.208890647408438","0.267847506904247","-0.288869635187264","0.130303629512558"
"Turn_Island","0.00359525488421493","0.105095508314106","23","25","0.112949424310465","-0.22806740045543","0.0250668935956491","0.286804209643867","0.250276819417929","0.210501995208495","-0.0217290472284961","0.0947838276803724"
"Turnlet_Island","-0.153210159104532","0.147922155393564","2","14","0.486835092008625","-3.76670601992841","3.16444139093222","0.343279540890469","0.231954808937036","0.614049746990591","-1.7521504775728","1.97479994147967"
"Unnamed__1_near_Long_Island","0","0.138863384207238","2","11","0.170439806594242","-0.400281686778112","0.122554918363637","0.081861223497479","0.193592064554508","0.00263068893220453","-0.17503087172458","-0.0484308103894789"
"Unnamed__2_near_Long_Island","0.0636623298024465","0.154023341796036","2","9","0.798697548759438","-3.15264023260331","2.97191820861613","0.203545230248599","0.204668251764422","0.983625104813725","-0.172935869791152","0.170689826759508"
"Unnamed__3_near_Long_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Unnamed_72_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Unnamed_west_of_Castle_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Victim_Island","-0.0510084060472104","0.0854191474568038","10","23","0.0676972301150141","-0.283970010233853","0.0111149032258251","0.229075523375648","0.240273418022447","0.488036651417263","-0.044166110410408","0.0217703211168086"
"Willow_Island","-0.00254266714830295","0.0866630672876239","11","13","0.228354732817766","-0.238754835661844","0.0603433667899899","0.307133595124316","0.25682709270794","0.280973773591567","-0.0466056767819404","0.147218681614692"
"Yellow_Island","0.00402816245141913","0.117926267846781","19","25","0.117883652996579","-0.258239033368258","0.0304428225775344","0.217313607200617","0.224716385942371","0.690171495867566","-0.0447054109124569","0.0298998534289493"
