"","meanNNFDnatives","meanNNFDinvasives","n.natives","n.invasives","t.NNFD.p.value","t.NNFD.conf.int.Lo","t.NNFD.conf.int.Hi","meanMFDnat_nat","meanMFDinv_nat","t.MFD.p.value","t.MFD.conf.int.Lo","t.MFD.conf.int.Hi"
"All_SanJuanIslands","0.0394368762489119","0.0940744295718163","173","127","0.504633659386767","-0.215622193299536","0.106347086653727","0.00943725961389713","0.0291524105340694","0.860348021576879","-0.240067275896893","0.200636974056549"
"Aleck_Rock","0.167082174267747","0.11273867313631","45","16","0.778898608655134","-0.33428715880858","0.442974161071453","0.0177922192566932","-0.199708258140008","0.325210190780901","-0.224751554737262","0.659752509530666"
"Barren_Island","0.0416753127412077","0.295315840026312","22","14","0.446817369303256","-0.923369867947899","0.41608881337769","0.00324485565512367","-0.362322958741541","0.175871601005124","-0.172564481679554","0.903700110472884"
"Battleship_Island","0.137842908140508","0.167719161092566","43","25","0.878846229594552","-0.419979351214883","0.360226845310767","0.0359379446295535","-0.255205659715362","0.161909935179092","-0.121079809049092","0.703367017738923"
"Blind_Island","0.145217362335983","0.228600581447679","38","12","0.696574013266155","-0.515046309245191","0.348279871021799","-0.00773128290409173","-0.0411893596500275","0.870906296264484","-0.382751557398835","0.449667710890707"
"Boulder_Island","0.166185543493158","0.0627801729538355","50","19","0.626862368055462","-0.32322277687425","0.530033517952894","-0.00387714449930324","-0.157757386074191","0.476419595495197","-0.279240973057124","0.587001456206899"
"Broken_Point_Island","0.381728593742293","0.0948579877226831","25","13","0.370630654081364","-0.3549075627914","0.92864877483062","0.0152015429775704","0.038296773665515","0.945024363673149","-0.698796787369275","0.652606325993386"
"Buck_Island","0.153832934380425","-0.466234157392119","10","7","0.0949986967140939","-0.12753975593466","1.36767393947975","-1.11022302462516e-17","-0.378964081490939","0.262842242955526","-0.315507098796543","1.07343526177842"
"Castle_Island","-0.0628827475023432","0.216394789056824","71","21","0.205733107320225","-0.719703520188215","0.16114844706988","-0.00855453617830443","-0.0697131912811756","0.764716095993584","-0.348648747980502","0.470966058186244"
"Cemetery_Island","0.110000012282954","-1.43553330015502","20","5","0.175691636109773","-1.00346755749462","4.09453418237058","0.00192651969803889","-1.03470212690403","0.00386478607034009","0.373969005613418","1.69928828759073"
"Charles_Island","-0.00826898828754582","-0.348060468852897","61","42","0.102399548430675","-0.0692638366765333","0.748846797807237","-0.00328943741041105","-0.482184938332731","0.00505073538042458","0.147509381426048","0.810281620418591"
"Cliff_Island","0.0268158933726922","0.0263804764071096","59","26","0.9981319601643","-0.368358535022463","0.369229368953628","-0.0812240377718316","-0.0778484443106081","0.987201699711271","-0.42142858138131","0.414677394458863"
"Colville_Island","0.133378351831062","-0.0221959493599377","18","18","0.469565293249195","-0.277442731686675","0.588591334068675","0.009205230724887","-0.311811012100889","0.261848707491997","-0.250790266752824","0.892822752404377"
"Coon_Island","0.291345492909134","-0.0086802163834009","43","32","0.163333757056206","-0.124643337114993","0.724694755700064","0.0335636489177109","-0.384923240849042","0.0308889051718575","0.0395748290404448","0.797398950493061"
"Crab_Island","0.319721726637177","-0.449940289369441","4","6","0.0948198578764743","-0.169117393863796","1.70844142587703","0.157620867686803","-0.540324000368519","0.0854456417462579","-0.130723538513674","1.52661327462432"
"Deadman_Island","0.105861878538055","0.101378015834943","38","16","0.984506033473164","-0.456672767556196","0.465640492962419","-0.0294745252408688","-0.0904077715648272","0.800954816756443","-0.422711579431269","0.544578072079186"
"Dot_Island","0.23501641025798","0.0335751634782195","49","25","0.344843338874789","-0.221311487147081","0.624193980706602","0.0351090601822106","-0.331842851901306","0.0286657148475827","0.0394607352076207","0.694443088959412"
"Dotlet_Island","0.0215796381876138","-0.39892893629692","12","10","0.128817558093463","-0.133756256180061","0.974773405149127","0.0976339529003388","-0.293548044069006","0.1499110479949","-0.154032070293005","0.936396064231695"
"East_Sucia_1_Island","0.0942806403797856","0.142047284129977","25","17","0.871555975009555","-0.643297347578918","0.547764060078535","0.0499635979619845","0.0878556539849986","0.882373649470076","-0.554286733368601","0.478502621322572"
"East_Sucia_2_Island","0.139661413876479","0.355682611789767","22","12","0.626249100800217","-1.11339785270434","0.681355456877766","0.0276194514401942","-0.427186512764346","0.175526073612269","-0.214801552521863","1.12441348093094"
"East_Sucia_3_Island","0.241117357872192","0.183573557207627","18","14","0.889538797105083","-0.783247180696975","0.898334782026104","6.24669105022926e-16","-0.100757497505368","0.73615380634485","-0.505027049317931","0.706542044328667"
"East_Sucia_4_Island","0.0500473079587079","-0.231293884349006","32","10","0.308741702258169","-0.272410953730346","0.835093338345773","0.0455067764513544","0.102029231983116","0.824381168447329","-0.578272850926868","0.465227939863344"
"East_Sucia_6_Island","0.0133236648919493","-0.295949429593529","27","12","0.298446479136044","-0.285710623073773","0.904256812044729","-2.16153773121193e-16","-0.247481175560165","0.385176499912449","-0.329518970088477","0.824481321208807"
"East_Sucia_7_Island","0.029691079659989","0.0873342567709098","40","19","0.80280985683869","-0.518802385563302","0.40351603134146","1.11157827734076e-17","-0.340390781368427","0.106351679165607","-0.0757713415283953","0.756552904265249"
"East_Sucia_8_Island","0.117338949228575","-0.604490048719169","3","3","0.110033204576125","-0.25992496051032","1.70358295640581","-0.10489500078456","-0.800500248536163","0.188357961486948","-0.630109408186383","2.02131990368959"
"Ewing_Island","-0.114009454064044","-0.0389953027494493","53","18","0.747011526852868","-0.54366369360423","0.393635390975041","-0.00953003286251788","-0.299368565431502","0.161656382965422","-0.121058144085244","0.700735209223212"
"Fawn_Island","0.222408944093567","-0.166637889050356","32","31","0.127827905046956","-0.116885870112141","0.894979536399988","0.0199917831744522","-0.496619819408978","0.0187134677065487","0.0896334645682399","0.94358974059862"
"Flat_Top_Island","0.0558766777158924","0.175856967268329","70","34","0.506376414896373","-0.477310578772981","0.237349999668108","-0.00432662518162928","-0.162565951130192","0.441728677513601","-0.248913499863239","0.565392151760364"
"Flint_Beach_Island","0.217920788787971","-0.143966827657911","43","16","0.0966085559049791","-0.0674973748748421","0.791272607766608","-0.00774559149448924","-0.364956328902023","0.0825462075810903","-0.0479565825275046","0.762378057342571"
"Flower_Island","0.164592970881518","0.473811599636636","40","19","0.249865952461373","-0.842807930949523","0.224370673439287","0.0285322155093977","-0.105390119337344","0.583850336569792","-0.353654605142014","0.621499274835497"
"Fortress_Island","0.127242682365874","-0.250709413969127","30","15","0.103903951742306","-0.0813115066328569","0.83721569930286","0.00567156505988708","-0.192942143658111","0.405999222934953","-0.279388074585995","0.676615492021992"
"Gossip_Island","0.222027461648969","-0.130921814071213","36","22","0.11759487037368","-0.0919512485111968","0.79784979995156","0.0373896594954399","-0.395309829610348","0.0412132093295396","0.0178879088411543","0.847511069370421"
"Hat_Island","0.111160995114482","0.0989564162743106","61","27","0.945880278494159","-0.345503747097898","0.36991290477824","0.0616239837483651","-0.0678433066908396","0.484036388470619","-0.237600407516839","0.496534988395248"
"Huckleberry_Island","0.0434466294025119","0.254600032333118","66","35","0.286916664487459","-0.603953686246854","0.181646880385642","-0.00637346230533777","-0.0512572269044183","0.79990556976227","-0.306839338381338","0.396606867579499"
"Iceberg_Island","0.186831630188043","-0.0530015858997273","28","17","0.258434284788009","-0.182507334128537","0.662173766304076","-0.00411008709036278","-0.157792790440115","0.532225298002553","-0.339098286562815","0.646463693262319"
"Little_Cactus","0.146041266938731","0.471162738907091","25","11","0.239529797538496","-0.883062651760031","0.232819707823311","-0.00640362678786652","-0.35320881468063","0.207159372336558","-0.203310102792021","0.896920478577547"
"Little_McConnell_Island","0.273394010924676","0.0609241450747405","37","28","0.365237086376867","-0.25324651337587","0.678186245075742","0.00606929498156285","-0.125649318620957","0.528128510617946","-0.283247680005918","0.546684907210959"
"Little_Nob","0.443213475226535","-0.094499416412189","4","2","0.42772975036617","-2.06525673880689","3.14068252208434","0.537049873455775","0.342343204619978","0.753420973460814","-4.76061651985684","5.15002985752843"
"Little_Oak","0.228799597166849","0.309635109879992","5","7","0.88937339559743","-1.45298954445539","1.29131851902911","-0.0331760653558632","-0.0365711481524756","0.994966507383941","-1.18925736028328","1.1960475258765"
"Little_Sucia_Island","0.109009440344834","0.059588769990995","47","22","0.83385236181364","-0.419309869299229","0.518151210006907","-0.00529386357952082","-0.307079476483884","0.176168278631825","-0.140120712197919","0.743691938006644"
"Low_Island","-0.387765641632424","-0.0217265189410703","17","13","0.23842465867434","-0.988534683195808","0.256456437813102","-0.0604718868091989","-0.163145819514473","0.741011857259841","-0.528720729583048","0.734068594993595"
"Mackaye_Harbor_Island","0.175853159085327","-0.207132011823144","12","14","0.306687423368946","-0.390450306467114","1.15642064828406","-2.61355968695735e-16","0.217425716148082","0.52719429013981","-0.922581033921524","0.487729601625359"
