"","meanNNTDnatives","meanNNTDinvasives","n.natives","n.invasives","t.NNTD.p.value","t.NNTD.conf.int.Lo","t.NNTD.conf.int.Hi","meanMFDnat_nat","meanMFDinv_nat","t.MFD.p.value","t.MFD.conf.int.Lo","t.MFD.conf.int.Hi"
"All_SanJuanIslands","0.0394368762489119","0.0940744295718163","173","127","0.504633659386767","-0.215622193299536","0.106347086653727","1.14857247471882","1.06097134336139","0.0650101854143014","-0.00548364224630314","0.180685904961172"
"Aleck_Rock","0.167082174267747","0.11273867313631","45","16","0.778898608655134","-0.33428715880858","0.442974161071453","1.0147830418611","0.918753721674513","0.242742741372535","-0.067737428648435","0.259796069021606"
"Barren_Island","0.0416753127412077","0.295315840026312","22","14","0.446817369303256","-0.923369867947899","0.41608881337769","0.918704624657065","0.907952939704843","0.918675519653905","-0.20228367159","0.223787041494444"
"Battleship_Island","0.137842908140508","0.167719161092566","43","25","0.878846229594552","-0.419979351214883","0.360226845310767","0.877544338339187","0.930161437457479","0.412588752029101","-0.181171240330839","0.0759370420942551"
"Blind_Island","0.145217362335983","0.228600581447679","38","12","0.696574013266155","-0.515046309245191","0.348279871021799","0.957485820405459","0.781309572123974","0.00818248159793443","0.0477978722770677","0.304554624285903"
"Boulder_Island","0.166185543493158","0.0627801729538355","50","19","0.626862368055462","-0.32322277687425","0.530033517952894","0.985327047101019","0.91910101254962","0.354903334895404","-0.0763489188828731","0.20880098798567"
"Broken_Point_Island","0.381728593742293","0.0948579877226831","25","13","0.370630654081364","-0.3549075627914","0.92864877483062","1.27290163956269","1.05279087613343","0.157155097971953","-0.0889376654768203","0.529159192335334"
"Buck_Island","0.153832934380425","-0.466234157392119","10","7","0.0949986967140939","-0.12753975593466","1.36767393947975","0.845469320662471","0.798913565501442","0.709846062168883","-0.215195468722078","0.308306979044135"
"Castle_Island","-0.0628827475023432","0.216394789056824","71","21","0.205733107320225","-0.719703520188215","0.16114844706988","1.09843622819227","0.983711151646695","0.0609660999576088","-0.00545810357777618","0.234908256668933"
"Cemetery_Island","0.110000012282954","-1.43553330015502","20","5","0.175691636109773","-1.00346755749462","4.09453418237058","1.14542420701582","1.17563998534211","0.886464878982882","-0.473392651685154","0.412961095032571"
"Charles_Island","-0.00826898828754582","-0.348060468852897","61","42","0.102399548430675","-0.0692638366765333","0.748846797807237","1.01189754652748","1.00899726693842","0.972249501391375","-0.162084624845299","0.167885184023429"
"Cliff_Island","0.0268158933726922","0.0263804764071096","59","26","0.9981319601643","-0.368358535022463","0.369229368953628","1.30890527100933","1.10769419073551","0.0073024166027032","0.0557237646544435","0.346698395893184"
"Colville_Island","0.133378351831062","-0.0221959493599377","18","18","0.469565293249195","-0.277442731686675","0.588591334068675","0.905650872596792","0.935558226146981","0.810568904974181","-0.281612622474852","0.221797915374473"
"Coon_Island","0.291345492909134","-0.0086802163834009","43","32","0.163333757056206","-0.124643337114993","0.724694755700064","1.02756299251866","0.955686420512934","0.411616763858425","-0.101813513087241","0.245566657098698"
"Crab_Island","0.319721726637177","-0.449940289369441","4","6","0.0948198578764743","-0.169117393863796","1.70844142587703","0.339864059259798","0.78109371932349","0.0859390578697884","-0.970587106009354","0.0881277858819701"
"Deadman_Island","0.105861878538055","0.101378015834943","38","16","0.984506033473164","-0.456672767556196","0.465640492962419","1.15133491519785","0.932405376005111","0.0323711951055643","0.019153331759509","0.418705746625966"
"Dot_Island","0.23501641025798","0.0335751634782195","49","25","0.344843338874789","-0.221311487147081","0.624193980706602","0.934395977794879","0.853467482876297","0.166781166735991","-0.0346624105315056","0.196519400368669"
"Dotlet_Island","0.0215796381876138","-0.39892893629692","12","10","0.128817558093463","-0.133756256180061","0.974773405149127","0.730925523238618","0.728085253434169","0.967277112413681","-0.140921211877923","0.146601751486822"
"East_Sucia_1_Island","0.0942806403797856","0.142047284129977","25","17","0.871555975009555","-0.643297347578918","0.547764060078535","0.909204094876648","0.906698500319623","0.975631982305228","-0.16306540059734","0.168076589711389"
"East_Sucia_2_Island","0.139661413876479","0.355682611789767","22","12","0.626249100800217","-1.11339785270434","0.681355456877766","1.2063865655021","1.10102157040503","0.409099466336538","-0.151845315783634","0.362575305977778"
"East_Sucia_3_Island","0.241117357872192","0.183573557207627","18","14","0.889538797105083","-0.783247180696975","0.898334782026104","1.12909287706983","0.924827024045077","0.0313029859212357","0.0197636637681565","0.388768042281345"
"East_Sucia_4_Island","0.0500473079587079","-0.231293884349006","32","10","0.308741702258169","-0.272410953730346","0.835093338345773","1.02939652683435","0.873243357727888","0.0138107543555461","0.0339053649309126","0.278400973282009"
"East_Sucia_6_Island","0.0133236648919493","-0.295949429593529","27","12","0.298446479136044","-0.285710623073773","0.904256812044729","0.995950600404561","0.932436632845361","0.503640487869146","-0.129053297685483","0.256081232803883"
"East_Sucia_7_Island","0.029691079659989","0.0873342567709098","40","19","0.80280985683869","-0.518802385563302","0.40351603134146","0.949935651544212","0.910299117661891","0.58973825677579","-0.107484687183563","0.186757754948206"
"East_Sucia_8_Island","0.117338949228575","-0.604490048719169","3","3","0.110033204576125","-0.25992496051032","1.70358295640581","0.288742618140412","0.844287753701552","0.221990953320271","-1.84500348113135","0.733913210009071"
"Ewing_Island","-0.114009454064044","-0.0389953027494493","53","18","0.747011526852868","-0.54366369360423","0.393635390975041","1.02866367633408","0.929216182445429","0.133428859135431","-0.0316228062961028","0.230517794073403"
"Fawn_Island","0.222408944093567","-0.166637889050356","32","31","0.127827905046956","-0.116885870112141","0.894979536399988","1.08188292525159","0.959153612695057","0.206227765193375","-0.0700844600801485","0.315543085193211"
"Flat_Top_Island","0.0558766777158924","0.175856967268329","70","34","0.506376414896373","-0.477310578772981","0.237349999668108","1.26735417171218","1.13857966157671","0.116368354999776","-0.0325479941900736","0.290097014461014"
"Flint_Beach_Island","0.217920788787971","-0.143966827657911","43","16","0.0966085559049791","-0.0674973748748421","0.791272607766608","1.02404095716081","0.900561116518828","0.100718224778511","-0.0247770991091958","0.271736780393167"
"Flower_Island","0.164592970881518","0.473811599636636","40","19","0.249865952461373","-0.842807930949523","0.224370673439287","1.21328944229772","1.00690822786054","0.0292292455712989","0.0216258144230516","0.391136614451301"
"Fortress_Island","0.127242682365874","-0.250709413969127","30","15","0.103903951742306","-0.0813115066328569","0.83721569930286","1.041213693268","0.893321272213983","0.0943365421712996","-0.0264799508959805","0.32226479300401"
"Gossip_Island","0.222027461648969","-0.130921814071213","36","22","0.11759487037368","-0.0919512485111968","0.79784979995156","1.03768054299045","0.971273734538687","0.338730977573655","-0.0715093234012872","0.204322940304823"
"Hat_Island","0.111160995114482","0.0989564162743106","61","27","0.945880278494159","-0.345503747097898","0.36991290477824","1.11734020376255","0.976530985457785","0.031250862621238","0.0129841765409391","0.268634260068598"
"Huckleberry_Island","0.0434466294025119","0.254600032333118","66","35","0.286916664487459","-0.603953686246854","0.181646880385642","0.977778686508559","0.952932358045465","0.678332033063854","-0.0941284791934338","0.143821136119622"
"Iceberg_Island","0.186831630188043","-0.0530015858997273","28","17","0.258434284788009","-0.182507334128537","0.662173766304076","0.992716568920407","0.901809260504571","0.32247376870941","-0.092276476049179","0.27409109288085"
"Little_Cactus","0.146041266938731","0.471162738907091","25","11","0.239529797538496","-0.883062651760031","0.232819707823311","1.02484742832696","0.901311738556688","0.251863166517964","-0.092536063006263","0.339607442546801"
"Little_McConnell_Island","0.273394010924676","0.0609241450747405","37","28","0.365237086376867","-0.25324651337587","0.678186245075742","1.070724935394","0.91656148912902","0.051707796266347","-0.00117801693453886","0.309504909464502"
"Little_Nob","0.443213475226535","-0.094499416412189","4","2","0.42772975036617","-2.06525673880689","3.14068252208434","0.653703381370178","0.681883529081426","0.873697117525083","-1.0299432063688","0.973582910946304"
