"","Total tips with trait","Median (tot)","Min (tot)","Max (tot)","Total native tips with Trait","Median (nat)","Min (nat)","Max (nat)","Total invasive tips with Trait","Median (inv)","Min (inv)","Max (inv)","p.value","conf.int.Lo","conf.int.Hi"
"All_SanJuanIslands","190","0.831899169699284","-1.16217414081566","2.83078107560636","75","0.896237457931169","-1.16217414081566","2.83078107560636","115","0.790165625166664","-1.09022803247689","2.50607127158767","0.714152456417871","-0.287805339339501","0.197648976415391"
"Aleck_Rock","32","0.788872564650877","-0.890417845800562","1.59978481252602","13","0.824083761765778","-0.558106723637445","1.28927851323899","19","0.487971891021373","-0.890417845800562","1.59978481252602","0.666795035194183","-0.592949180997047","0.384788449190233"
"Barren_Island","24","0.520079021232206","-0.965316544243214","1.7143024531662","8","0.82928916416666","-0.965316544243214","1.28927851323899","16","0.357631632494397","-0.890417845800562","1.7143024531662","0.558175400354564","-0.884523229860248","0.497571374830675"
"Battleship_Island","40","0.676959348613464","-0.890417845800562","2.0292315523058","17","0.79477440025701","-0.558106723637445","2.0292315523058","23","0.521264130633897","-0.890417845800562","1.70414778051846","0.499074300961957","-0.596510633345397","0.296069259265034"
"Blind_Island","27","0.642002628577189","-0.824169697129471","1.71116846401776","14","0.614963727528792","-0.558106723637445","1.23451728351269","13","0.642002628577189","-0.824169697129471","1.71116846401776","0.555286642990421","-0.404066300836961","0.730744722750147"
"Boulder_Island","37","0.397732139295206","-1.03786035649102","1.59978481252602","15","0.657055852857104","-0.558106723637445","1.28927851323899","22","0.269685504915839","-1.03786035649102","1.59978481252602","0.261748492708799","-0.668364528500373","0.187481525053297"
"Broken_Point_Island","28","0.725262105952901","-0.890417845800562","1.71116846401776","11","0.834494566567543","-0.0906028670979679","1.49898523618449","17","0.518893911830515","-0.890417845800562","1.71116846401776","0.122676937599564","-0.914866186487248","0.115270350401641"
"Buck_Island","11","0.321217838350984","-0.824169697129471","1.29464178342804","4","0.550795398571197","-0.0906028670979679","1.29464178342804","7","0.321217838350984","-0.824169697129471","1.23414351203131","0.617673462598595","-1.34229395119308","0.860176384044503"
"Castle_Island","56","0.774217883896493","-0.824169697129471","2.83078107560636","33","0.824083761765778","-0.743194165623621","2.83078107560636","23","0.517864820941328","-0.824169697129471","1.72721582090849","0.272326127402473","-0.63243818575936","0.182423866710038"
"Cemetery_Island","9","0.227291373967421","-0.890417845800562","1.3500937130451","4","0.79407796705176","-0.0906028670979679","1.3500937130451","5","0.136369228885472","-0.890417845800562","0.521264130633897","0.113244829496298","-1.63282843541613","0.223723056012378"
"Charles_Island","62","0.774217883896493","-1.03786035649102","2.0292315523058","24","0.865366012249356","-0.743194165623621","2.0292315523058","38","0.512876988398372","-1.03786035649102","1.72721582090849","0.247760517814513","-0.608676851750165","0.161057101024807"
"Cliff_Island","56","0.705285860668914","-0.890417845800562","2.10749645554625","26","0.82928916416666","-0.657577319177794","2.10749645554625","30","0.519564475787613","-0.890417845800562","1.71116846401776","0.457259329056605","-0.53085145418464","0.242218693090886"
"Colville_Island","29","0.518893911830515","-0.824169697129471","2.0292315523058","10","1.0891016105718","-0.0906028670979679","2.0292315523058","19","0.487971891021373","-0.824169697129471","1.71116846401776","0.096411233401719","-1.01693721345349","0.0907870824405313"
"Coon_Island","50","0.796367021997103","-1.03786035649102","1.71116846401776","15","0.829303772831025","-0.558106723637445","1.69258256227491","35","0.564636077845482","-1.03786035649102","1.71116846401776","0.215553142743039","-0.667300828336628","0.156220082640562"
"Crab_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Deadman_Island","36","0.70535861019654","-0.890417845800562","2.0292315523058","16","0.865366012249356","-0.558106723637445","2.0292315523058","20","0.502918355981351","-0.890417845800562","1.70414778051846","0.0978712259445128","-0.893353942060508","0.0790200535465015"
"Dot_Island","47","0.84049664300137","-0.890417845800562","2.0292315523058","23","0.907615979589483","-0.558106723637445","2.0292315523058","24","0.502918355981351","-0.890417845800562","1.77764427769648","0.024086485723203","-0.873603420792302","-0.0645462225030487"
"Dotlet_Island","14","0.127453987901667","-0.890417845800562","1.28348934852693","5","0.753661367535977","-0.0906028670979679","1.28348934852693","9","0.0210982316190133","-0.890417845800562","0.84049664300137","0.0570934875450365","-1.55809139995732","0.0293091853599498"
"East_Sucia_1_Island","26","0.70535861019654","-0.890417845800562","1.59978481252602","11","0.79477440025701","-0.0906028670979679","1.23451728351269","15","0.247314850388075","-0.890417845800562","1.59978481252602","0.180519931245469","-0.866448179752462","0.173084973264352"
"East_Sucia_2_Island","22","0.70535861019654","-0.798159733609395","1.71116846401776","8","0.614963727528792","-0.0820815178885176","1.28927851323899","14","0.882984045896311","-0.798159733609395","1.71116846401776","0.572928917084216","-0.394573827076828","0.693545116562395"
"East_Sucia_3_Island","21","0.57287160220048","-0.890417845800562","1.59978481252602","7","0.657055852857104","-0.0820815178885176","1.28927851323899","14","0.367643370704724","-0.890417845800562","1.59978481252602","0.615823668011654","-0.684371948584251","0.416789613604346"
"East_Sucia_4_Island","22","0.70535861019654","-0.890417845800562","1.46651026452888","13","0.753661367535977","-0.558106723637445","1.28927851323899","9","0.656910353801852","-0.890417845800562","1.46651026452888","0.495646814418047","-0.943352659107236","0.48238341052332"
"East_Sucia_6_Island","23","0.57287160220048","-0.890417845800562","1.71116846401776","12","0.812039086544017","-0.0906028670979679","1.28927851323899","11","0.218153171480693","-0.890417845800562","1.71116846401776","0.149244687635118","-0.995090951748125","0.165824469299072"
"East_Sucia_7_Island","35","0.797959643737196","-1.03786035649102","1.71116846401776","17","0.829303772831025","-0.558106723637445","1.69258256227491","18","0.581633379605543","-1.03786035649102","1.71116846401776","0.216298497624729","-0.821905677996682","0.194112000192168"
"East_Sucia_8_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Ewing_Island","40","0.826693767298401","-1.03786035649102","2.0292315523058","24","0.846349193523799","-0.743194165623621","2.0292315523058","16","0.232734010934384","-1.03786035649102","1.71116846401776","0.133832379024781","-0.977242092517066","0.137535940459969"
"Fawn_Island","47","0.656910353801852","-0.824169697129471","1.70414778051846","17","0.834494566567543","-0.558106723637445","1.69258256227491","30","0.519564475787613","-0.824169697129471","1.70414778051846","0.129060049121995","-0.673811764047851","0.0894671697162917"
"Flat_Top_Island","66","0.822142610625709","-1.03786035649102","2.78200501152307","29","0.896237457931169","-0.657577319177794","2.78200501152307","37","0.521264130633897","-1.03786035649102","1.71116846401776","0.0336381783524251","-0.768997968111037","-0.032085200041766"
"Flint_Beach_Island","29","0.753661367535977","-0.824169697129471","1.70414778051846","13","0.79477440025701","-0.558106723637445","1.35358933621982","16","0.497930523438395","-0.824169697129471","1.70414778051846","0.865684059935064","-0.545730232537602","0.461906223429485"
"Flower_Island","38","0.901926718760326","-0.824169697129471","2.14934532770259","19","0.863394614216574","-0.558106723637445","2.0292315523058","19","1.01147653449537","-0.824169697129471","2.14934532770259","0.607946929071334","-0.331955262884991","0.559341702501556"
"Fortress_Island","24","0.82928916416666","-0.890417845800562","1.59978481252602","10","0.865366012249356","-0.0906028670979679","1.49898523618449","14","0.269685504915839","-0.890417845800562","1.59978481252602","0.0709699365857296","-1.06380511574557","0.0473126058722066"
"Gossip_Island","35","0.753661367535977","-0.824169697129471","2.11424463144766","13","0.896237457931169","-0.558106723637445","1.76170236754141","22","0.497930523438395","-0.824169697129471","2.11424463144766","0.0537171221696052","-0.939242821395321","0.00798181271091216"
"Hat_Island","54","0.70535861019654","-0.890417845800562","1.77764427769648","25","0.797959643737196","-0.657577319177794","1.69514666046815","29","0.611492271451126","-0.890417845800562","1.77764427769648","0.884168534544919","-0.386085568165127","0.333588863032236"
"Huckleberry_Island","61","0.824083761765778","-0.890417845800562","2.50607127158767","30","0.831899169699284","-0.657577319177794","2.0292315523058","31","0.517864820941328","-0.890417845800562","2.50607127158767","0.557261710135851","-0.508212244000582","0.276725474727812"
"Iceberg_Island","26","0.458313025562861","-1.03786035649102","2.14934532770259","8","0.774217883896493","-0.0906028670979679","2.0292315523058","18","0.359474988823095","-1.03786035649102","2.14934532770259","0.503982719522332","-0.899970209940093","0.460023209417607"
"Little_Cactus","16","0.357631632494397","-0.824169697129471","0.84049664300137","6","0.774217883896493","-0.0906028670979679","0.834494566567543","10","0.212527551944662","-0.824169697129471","0.84049664300137","0.0315881035186032","-1.04044056959434","-0.0559107221147243"
