"","Total tips with trait","Median (tot)","Min (tot)","Max (tot)","Total native tips with Trait","Median (nat)","Min (nat)","Max (nat)","Total invasive tips with Trait","Median (inv)","Min (inv)","Max (inv)","p.value","conf.int.Lo","conf.int.Hi"
"All_SanJuanIslands","307","-0.159700843060532","-1.39794000867204","1.83614319735228","190","-0.0969100130080564","-1","1.83614319735228","117","-0.263241435136493","-1.39794000867204","1.18721465932174","0.000832156165483357","-0.313336650111404","-0.0825967368934167"
"Aleck_Rock","66","-0.251337679758886","-1.09691001300806","1.78632179010849","46","-0.221848749616356","-0.823908740944319","1.78632179010849","20","-0.374541768414103","-1.09691001300806","1.07918124604762","0.0683008401777289","-0.485607153208114","0.0184270690825505"
"Barren_Island","38","-0.301029995663981","-1.09691001300806","1","22","-0.159379381312206","-0.823908740944319","1","16","-0.346787486272911","-1.09691001300806","0.0791812460476248","0.048190904082472","-0.508549600382182","-0.00214583396570723"
"Battleship_Island","68","-0.221848749616356","-1.09691001300806","1.78632179010849","44","-0.0969100130080564","-0.698970004336019","1.78632179010849","24","-0.301029995663981","-1.09691001300806","1.07918124604762","0.0532617221409735","-0.479903806466637","0.00346317565740042"
"Blind_Island","52","-0.280333653084869","-1.09691001300806","1.78632179010849","39","-0.221848749616356","-0.823908740944319","1.78632179010849","13","-0.301029995663981","-1.09691001300806","0.234083205960986","0.357402241661185","-0.352452495952897","0.131401686998816"
"Boulder_Island","72","-0.301029995663981","-1.09691001300806","1.78632179010849","50","-0.232443399314186","-1","1.78632179010849","22","-0.367483828852024","-1.09691001300806","0.0791812460476248","0.00596508010093571","-0.420367689442745","-0.0733131468167432"
"Broken_Point_Island","44","-0.232443399314186","-1.09691001300806","1.39794000867204","27","-0.154901959985743","-0.823908740944319","1.39794000867204","17","-0.293204658229577","-1.09691001300806","0.623772008848288","0.216177051228511","-0.438093401698954","0.102367760981822"
"Buck_Island","17","-0.293204658229577","-1.09691001300806","0.602059991327962","10","-0.0484550065040282","-0.602059991327962","0.602059991327962","7","-0.335792101488899","-1.09691001300806","-0.259637310505756","0.00890930650344827","-0.872247350028087","-0.148303430970873"
"Castle_Island","94","-0.221848749616356","-1.09691001300806","1.78632179010849","71","-0.0457574905606751","-1","1.78632179010849","23","-0.301029995663981","-1.09691001300806","0.234083205960986","7.55847805752919e-05","-0.584942139656548","-0.20778902428658"
"Cemetery_Island","26","-0.320593451277665","-0.823908740944319","1.39794000867204","21","-0.221848749616356","-0.823908740944319","1.39794000867204","5","-0.522878745280338","-0.602059991327962","-0.301029995663981","0.0194632597237488","-0.54945559578513","-0.0534053294378025"
"Charles_Island","102","-0.221848749616356","-1.39794000867204","1.83614319735228","64","-0.0713337517843658","-0.823908740944319","1.83614319735228","38","-0.341289793856777","-1.39794000867204","0.234083205960986","2.32643636324754e-06","-0.665792127929127","-0.28860730235965"
"Cliff_Island","92","-0.154901959985743","-1.09691001300806","1.83614319735228","62","0","-1","1.83614319735228","30","-0.303212398365206","-1.09691001300806","0.45593195562801","0.000184476211081413","-0.612864877079315","-0.199275137636681"
"Colville_Island","41","-0.154901959985743","-1.09691001300806","0.623772008848288","21","0.113943352306837","-0.522878745280338","0.602059991327962","20","-0.301029995663981","-1.09691001300806","0.623772008848288","0.00226555038137784","-0.601312975832124","-0.141552314898785"
"Coon_Island","79","-0.221848749616356","-1.28254659033188","1.78632179010849","43","-0.0969100130080564","-0.823908740944319","1.78632179010849","36","-0.320593451277665","-1.28254659033188","0.301029995663981","0.000397178711081428","-0.585621078589652","-0.176794894732549"
"Crab_Island","10","-0.195057335618817","-0.534432306352317","0.0791812460476248","4","-0.0484550065040282","-0.0969100130080564","0","6","-0.301029995663981","-0.534432306352317","0.0791812460476248","0.0317494766003214","-0.468219050929323","-0.0302920780344059"
"Deadman_Island","59","-0.259637310505756","-1.09691001300806","1.78632179010849","39","-0.0969100130080564","-0.823908740944319","1.78632179010849","20","-0.31841104857644","-1.09691001300806","0.301029995663981","0.00309583336585155","-0.582509837196737","-0.124372696293406"
"Dot_Island","75","-0.221848749616356","-1.09691001300806","1.78632179010849","49","-0.0969100130080564","-0.823908740944319","1.78632179010849","26","-0.31841104857644","-1.09691001300806","0.255272505103306","0.00154059207865568","-0.52796702996593","-0.129820045701697"
"Dotlet_Island","22","-0.276420984367667","-1.09691001300806","0.255272505103306","13","-0.221848749616356","-0.602059991327962","0.255272505103306","9","-0.522878745280338","-1.09691001300806","-0.0457574905606751","0.0216287738748362","-0.57476291977514","-0.0536943267818287"
"East_Sucia_1_Island","41","-0.301029995663981","-1.09691001300806","0.653212513775344","25","-0.221848749616356","-1","0.653212513775344","16","-0.341289793856777","-1.09691001300806","0.0791812460476248","0.0552412063459726","-0.436589679197906","0.00508189196593934"
"East_Sucia_2_Island","36","-0.232443399314186","-1","0.653212513775344","22","-0.221848749616356","-1","0.653212513775344","14","-0.297117326946779","-0.698970004336019","0.234083205960986","0.534876271713004","-0.298695097203887","0.157862398861633"
"East_Sucia_3_Island","31","-0.335792101488899","-1.09691001300806","0.477121254719662","17","-0.243038049012015","-1","0.477121254719662","14","-0.348347733418857","-1.09691001300806","0.0791812460476248","0.611725080371516","-0.308367626747949","0.184665864811525"
"East_Sucia_4_Island","41","-0.221848749616356","-1.09691001300806","1.78632179010849","32","-0.192852776037035","-1","1.78632179010849","9","-0.293204658229577","-1.09691001300806","-0.0457574905606751","0.0687054092588255","-0.61190504757844","0.0245062540195683"
