"","Total tips with trait","Median (tot)","Min (tot)","Max (tot)","Total native tips with Trait","Median (nat)","Min (nat)","Max (nat)","Total invasive tips with Trait","Median (inv)","Min (inv)","Max (inv)","p.value","conf.int.Lo","conf.int.Hi"
"All_SanJuanIslands","322","0.0195226995852393","-3.34948460935335","3.63079829195066","187","0.0800850850458693","-3.34948460935335","3.63079829195066","135","-0.0445671822521084","-2.57933295465487","2.25174980154718","0.799084047831053","-0.185086970941528","0.240139743811778"
"Aleck_Rock","69","0.0127420354760372","-1.98296666070122","1.4366146521291","48","0.262859067881835","-1.98296666070122","1.4366146521291","21","-0.29974047915285","-1.44707573512418","1.34944711326107","0.167098847353289","-0.661802759456538","0.117646207472748"
"Barren_Island","40","-0.21805612142068","-1.95860731484178","1.34959675471785","23","0.215200574253124","-1.95860731484178","1.34959675471785","17","-0.499159118131272","-1.46215682428003","1.02217677170105","0.0642799728143486","-0.915806590658346","0.0276917429930681"
"Battleship_Island","70","0.0194332761107438","-1.34899366981389","2.01822673165213","45","0.22098616236284","-1.09327488803919","1.62582185224406","25","-0.29974047915285","-1.34899366981389","2.01822673165213","0.214736130014104","-0.66361358441334","0.153202264982615"
"Blind_Island","55","-0.186369069770899","-2.18544011762763","1.34959675471785","41","-0.0356816086896412","-2.18544011762763","1.34959675471785","14","-0.327403820297388","-0.780804716299418","0.986924697943769","0.526806724570485","-0.509528333737518","0.265216151930574"
"Boulder_Island","75","-0.199909181079296","-2.18544011762763","1.34959675471785","52","-0.011469786606802","-2.18544011762763","1.34959675471785","23","-0.517954733937435","-1.44707573512418","1.14139292727432","0.214136257992507","-0.618293543181411","0.14196981695629"
"Broken_Point_Island","44","-0.132743318640772","-1.95860731484178","3.63079829195066","27","0.0127420354760372","-1.95860731484178","3.63079829195066","17","-0.355067161441927","-1.00921881203838","2.01822673165213","0.650094809904323","-0.713199415164103","0.449901542672452"
"Buck_Island","17","0.0127420354760372","-1.09327488803919","1.07470000121494","10","0.401600424908728","-1.09327488803919","1.07470000121494","7","-0.355067161441927","-0.780804716299418","0.673878078020115","0.23370278096013","-1.02992715850552","0.271998995523637"
"Castle_Island","99","0.0261245167454503","-2.18544011762763","1.95331968618517","74","0.21744246124531","-2.18544011762763","1.95331968618517","25","-0.29974047915285","-1.44707573512418","1.3427710533011","0.546284242276432","-0.48311944178753","0.258585175028342"
"Cemetery_Island","27","-0.249743173070462","-1.95860731484178","3.63079829195066","21","0.0127420354760372","-1.95860731484178","3.63079829195066","6","-0.759423167841437","-1.46215682428003","0.986924697943769","0.133083780500986","-1.66850473605322","0.256496874270415"
"Charles_Island","105","0.215200574253124","-2.62781955252108","3.63079829195066","63","0.364636754887176","-2.62781955252108","3.63079829195066","42","-0.266399614733362","-1.67752285226769","1.3427710533011","0.00381477047143994","-0.805149840861255","-0.159220035804207"
"Cliff_Island","94","-0.168023320860054","-3.34948460935335","3.63079829195066","62","0.109628989695568","-3.34948460935335","3.63079829195066","32","-0.289642105355453","-1.34899366981389","1.39920482282389","0.330271862372236","-0.589729774999546","0.200406487316455"
"Colville_Island","40","-0.0254158433464506","-1.34899366981389","2.01822673165213","19","0.305391582178891","-1.33170719633554","1.95331968618517","21","-0.355067161441927","-1.34899366981389","2.01822673165213","0.13355676826945","-0.889448519877555","0.122938699648883"
"Coon_Island","81","-0.0791175675106454","-2.18544011762763","3.63079829195066","45","0.343211590179747","-2.18544011762763","3.63079829195066","36","-0.299042483986058","-1.36868819335003","1.3427710533011","0.0159929852761428","-0.803612612576076","-0.085164816153144"
"Crab_Island","12","0.350933120497538","-1.00921881203838","0.986924697943769","5","0.58265170007518","0.0127420354760372","0.877971802974077","7","-0.499159118131272","-1.00921881203838","0.986924697943769","0.0838023244648488","-1.34708062211233","0.102681086349984"
"Deadman_Island","62","-0.011469786606802","-1.98296666070122","3.63079829195066","41","0.215200574253124","-1.98296666070122","3.63079829195066","21","-0.29974047915285","-1.00921881203838","1.3427710533011","0.387097792622539","-0.61940791757312","0.243695912025503"
"Dot_Island","76","-0.181674813904449","-1.95860731484178","1.62582185224406","51","0.0261245167454503","-1.95860731484178","1.62582185224406","25","-0.420500846251847","-1.34899366981389","1.3427710533011","0.044212070201311","-0.654830165749793","-0.00885553805281906"
"Dotlet_Island","23","-0.284665831472632","-1.09327488803919","0.986924697943769","13","0.0127420354760372","-1.09327488803919","0.91889641992518","10","-0.436510947689681","-0.945541392548229","0.986924697943769","0.270586148180324","-0.83379766803244","0.246701579894428"
"East_Sucia_1_Island","43","-0.29974047915285","-1.95860731484178","1.14139292727432","26","-0.356702925649252","-1.95860731484178","1.07470000121494","17","-0.241769352077901","-1.46215682428003","1.14139292727432","0.728735790954855","-0.422763624303331","0.598474932273329"
"East_Sucia_2_Island","38","0.0762575340052472","-2.18544011762763","1.95331968618517","23","0.22098616236284","-2.18544011762763","1.95331968618517","15","-0.199909181079296","-1.46215682428003","1.14139292727432","0.441562350051563","-0.849976842840209","0.378878142354292"
"East_Sucia_3_Island","32","-0.524533224316039","-2.18544011762763","1.07470000121494","18","-0.421164269236982","-2.18544011762763","1.07470000121494","14","-0.533716510229773","-1.46215682428003","0.87426788495744","0.726545381842959","-0.684037682678833","0.482522687668097"
"East_Sucia_4_Island","43","0.0345040790129342","-1.95860731484178","1.53736939876152","33","0.0127420354760372","-1.95860731484178","1.53736939876152","10","0.0762575340052472","-0.856249250847679","0.986924697943769","0.686800892139509","-0.416116302948325","0.620174766914557"
"East_Sucia_6_Island","39","0.0127420354760372","-1.95860731484178","1.53736939876152","27","0.0739381906352529","-1.95860731484178","1.53736939876152","12","-0.327403820297388","-1.46215682428003","0.986924697943769","0.378983885566554","-0.817613598940944","0.322651247820614"
"East_Sucia_7_Island","59","0.100020090452115","-1.95860731484178","1.53736939876152","40","0.262859067881835","-1.95860731484178","1.53736939876152","19","-0.355067161441927","-1.36868819335003","1.03710991218963","0.102963240330833","-0.752452732429173","0.0716711696923196"
"East_Sucia_8_Island","7","0.275467066468371","-0.856249250847679","0.58265170007518","4","0.395579028844234","0.0127420354760372","0.58265170007518","3","-0.780804716299418","-0.856249250847679","0.275467066468371","0.149493258170388","-2.20047918337605","0.59947868630372"
"Ewing_Island","72","0.0491283373444664","-1.98296666070122","1.95331968618517","54","0.290436702585204","-1.98296666070122","1.95331968618517","18","-0.299042483986058","-1.36868819335003","1.34944711326107","0.14387846150736","-0.705478055042958","0.106740924179955"
"Fawn_Island","64","-0.224826177074879","-1.48229765895605","3.63079829195066","33","0.0898624701020058","-1.4272003642674","3.63079829195066","31","-0.355067161441927","-1.48229765895605","1.3427710533011","0.0183892598631835","-0.906091508814037","-0.0871481300039187"
"Flat_Top_Island","110","0.0804174845479665","-2.84948486777606","3.63079829195066","71","0.276141431769576","-2.84948486777606","3.63079829195066","39","-0.420500846251847","-1.44707573512418","2.25174980154718","0.200405179380869","-0.626556588010384","0.133105519433053"
"Flint_Beach_Island","64","-0.0604526039502523","-2.18544011762763","1.56324743418105","46","0.23356524405688","-2.18544011762763","1.56324743418105","18","-0.4271131397866","-1.08038964760789","0.986924697943769","0.030851047636269","-0.777949516397191","-0.039203575408792"
"Flower_Island","64","0.248226614415605","-1.77736194298869","3.63079829195066","43","0.304731973400831","-1.77736194298869","3.63079829195066","21","0.0345040790129342","-1.34899366981389","1.28799868482222","0.434497608085486","-0.635328955498263","0.276902429068926"
"Fortress_Island","47","0.0127420354760372","-2.18544011762763","1.4366146521291","31","0.198476084502805","-2.18544011762763","1.4366146521291","16","-0.189429023331747","-1.48229765895605","0.986924697943769","0.428606693316528","-0.625181692188314","0.270442023871291"
"Gossip_Island","59","-0.280939721891639","-2.18544011762763","1.3427710533011","37","0.198476084502805","-2.18544011762763","1.25000530689636","22","-0.489669495136987","-1.46215682428003","1.3427710533011","0.058037377151328","-0.804554414427075","0.0139347552063786"
"Hat_Island","96","-0.0934623636920486","-2.84948486777606","1.95331968618517","65","0.163869121537143","-2.84948486777606","1.95331968618517","31","-0.259407215924874","-1.34899366981389","1.49428077804264","0.5457765807518","-0.460182113550519","0.245101798208443"
"Huckleberry_Island","102","-0.0604526039502523","-1.98296666070122","2.01822673165213","67","0.0261245167454503","-1.98296666070122","1.62582185224406","35","-0.29974047915285","-1.34899366981389","2.01822673165213","0.770018392567031","-0.399585858702576","0.297071404893738"
"Iceberg_Island","49","-0.0713993785478468","-1.98296666070122","1.07470000121494","29","0.163869121537143","-1.98296666070122","1.07470000121494","20","-0.4271131397866","-1.36868819335003","0.986924697943769","0.323750272719831","-0.662492724103133","0.223409273882051"
"Little_Cactus","37","-0.280939721891639","-1.98296666070122","1.4366146521291","26","0.08830557850659","-1.98296666070122","1.4366146521291","11","-0.355067161441927","-1.34899366981389","0.986924697943769","0.183667173979762","-0.884558994092815","0.178141364731556"
"Little_McConnell_Island","73","0.0127420354760372","-2.18544011762763","2.125107906089","41","0.22098616236284","-2.18544011762763","2.125107906089","32","-0.139513374294971","-1.67752285226769","1.3427710533011","0.299391968732329","-0.56592501549363","0.176634642241201"
"Little_Nob","10","0.23045162676982","-1.02396990241637","0.986924697943769","7","0.426399174526705","-1.02396990241637","0.877971802974077","3","0.0345040790129342","-0.596325560883303","0.986924697943769","0.962366975236303","-1.61963870288992","1.56629847922211"
"Little_Oak","14","-0.171162562982945","-1.44707573512418","0.986924697943769","6","0.11397130486458","-1.09327488803919","0.58265170007518","8","-0.460231435117942","-1.44707573512418","0.986924697943769","0.783457314311397","-0.997941171103368","0.770113375305028"
"Little_Sucia_Island","73","0.11338995090237","-1.46215682428003","1.95331968618517","51","0.304731973400831","-1.4272003642674","1.95331968618517","22","-0.0184476497674563","-1.46215682428003","1.34944711326107","0.154999475572363","-0.734675784002388","0.12051683103462"
"Low_Island","35","-0.01515007800326","-1.95860731484178","1.4366146521291","20","0.297696867775609","-1.95860731484178","1.4366146521291","15","-0.0791175675106454","-1.00921881203838","1.14139292727432","0.568706296216472","-0.688296892433868","0.384759912402098"
"Mackaye_Harbor_Island","26","-0.142801226671615","-1.95860731484178","1.3427710533011","12","-0.194723496021572","-1.95860731484178","1.07470000121494","14","-0.131920204903166","-0.945541392548229","1.3427710533011","0.502556016594812","-0.445493344820777","0.880344777116942"
"Massacre_Bay__1_Island","18","0.0572945820294018","-1.09327488803919","0.986924697943769","9","0.0800850850458693","-1.09327488803919","0.68587934731703","9","0.0345040790129342","-0.673190191221736","0.986924697943769","0.98459524981825","-0.569833994567795","0.580475974957157"
"Matia_Island","127","-0.0274277938622098","-2.62781955252108","2.25174980154718","82","0.0433401130556451","-2.62781955252108","2.125107906089","45","-0.0915895178119962","-1.36868819335003","2.25174980154718","0.87363663009614","-0.298563123536719","0.350766673323613"
"Matia_West__1","59","0.129395509289131","-1.95860731484178","1.95331968618517","45","0.304731973400831","-1.95860731484178","1.95331968618517","14","-0.436510947689681","-1.36868819335003","0.986924697943769","0.0234770008636493","-0.954774650790101","-0.0745245787646023"
"Matia_West__2","22","-0.0293286715359048","-1.36868819335003","1.3823866268351","13","0.343211590179747","-1.09327488803919","1.3823866268351","9","-0.565395708793957","-1.36868819335003","0.986924697943769","0.0591854445795799","-1.30432727770033","0.0273866239381402"
"McConnell_Island","115","0.0127420354760372","-2.84948486777606","3.63079829195066","74","0.162038160969538","-2.84948486777606","3.63079829195066","41","-0.162703129287454","-1.4877222916424","2.25174980154718","0.254676063363927","-0.554954339635099","0.148624137163723"
"Near_Decatur_Island___Unnamed__3","40","0.0236230572444857","-1.95860731484178","1.62582185224406","26","0.155424316232423","-1.95860731484178","1.62582185224406","14","-0.185569928850348","-0.856249250847679","0.986924697943769","0.679136640543777","-0.571981194433398","0.376702818993247"
"Nob_Island","56","0.0236230572444857","-2.18544011762763","3.63079829195066","35","0.426399174526705","-2.18544011762763","3.63079829195066","21","-0.355067161441927","-1.34899366981389","1.3427710533011","0.119377944963061","-0.870012958363665","0.102474763470611"
