"","Aleck_Rock.Aleck_Rock","Aleck_Rock.Aleck_Rock.1","Barren_Island.Barren_Island","Barren_Island.Barren_Island.1","Battleship_Island.Battleship_Island","Battleship_Island.Battleship_Island.1","Blind_Island.Blind_Island","Blind_Island.Blind_Island.1","Boulder_Island.Boulder_Island","Boulder_Island.Boulder_Island.1","Broken_Point_Island.Broken_Point_Island","Broken_Point_Island.Broken_Point_Island.1","Buck_Island.Buck_Island","Buck_Island.Buck_Island.1","Castle_Island.Castle_Island","Castle_Island.Castle_Island.1","Cemetery_Island.Cemetery_Island","Cemetery_Island.Cemetery_Island.1","Charles_Island.Charles_Island","Charles_Island.Charles_Island.1","Cliff_Island.Cliff_Island","Cliff_Island.Cliff_Island.1","Colville_Island.Colville_Island","Colville_Island.Colville_Island.1","Coon_Island.Coon_Island","Coon_Island.Coon_Island.1","Crab_Island.Crab_Island","Crab_Island.Crab_Island.1","Deadman_Island.Deadman_Island","Deadman_Island.Deadman_Island.1","Dot_Island.Dot_Island","Dot_Island.Dot_Island.1","Dotlet_Island.Dotlet_Island","Dotlet_Island.Dotlet_Island.1","East_Sucia_1_Island.East_Sucia_1_Island","East_Sucia_1_Island.East_Sucia_1_Island.1","East_Sucia_2_Island.East_Sucia_2_Island","East_Sucia_2_Island.East_Sucia_2_Island.1","East_Sucia_3_Island.East_Sucia_3_Island","East_Sucia_3_Island.East_Sucia_3_Island.1","East_Sucia_4_Island.East_Sucia_4_Island","East_Sucia_4_Island.East_Sucia_4_Island.1","East_Sucia_6_Island.East_Sucia_6_Island","East_Sucia_6_Island.East_Sucia_6_Island.1","East_Sucia_7_Island.East_Sucia_7_Island","East_Sucia_7_Island.East_Sucia_7_Island.1","East_Sucia_8_Island.East_Sucia_8_Island","East_Sucia_8_Island.East_Sucia_8_Island.1","Ewing_Island.Ewing_Island","Ewing_Island.Ewing_Island.1","Fawn_Island.Fawn_Island","Fawn_Island.Fawn_Island.1","Flat_Top_Island.Flat_Top_Island","Flat_Top_Island.Flat_Top_Island.1","Flint_Beach_Island.Flint_Beach_Island","Flint_Beach_Island.Flint_Beach_Island.1","Flower_Island.Flower_Island","Flower_Island.Flower_Island.1","Fortress_Island.Fortress_Island","Fortress_Island.Fortress_Island.1","Gossip_Island.Gossip_Island","Gossip_Island.Gossip_Island.1","Hat_Island.Hat_Island","Hat_Island.Hat_Island.1","Huckleberry_Island.Huckleberry_Island","Huckleberry_Island.Huckleberry_Island.1","Iceberg_Island.Iceberg_Island","Iceberg_Island.Iceberg_Island.1","Little_Cactus.Little_Cactus","Little_Cactus.Little_Cactus.1","Little_McConnell_Island.Little_McConnell_Island","Little_McConnell_Island.Little_McConnell_Island.1","Little_Nob.Little_Nob","Little_Nob.Little_Nob.1","Little_Oak.Little_Oak","Little_Oak.Little_Oak.1","Little_Sucia_Island.Little_Sucia_Island","Little_Sucia_Island.Little_Sucia_Island.1","Low_Island.Low_Island","Low_Island.Low_Island.1","Mackaye_Harbor_Island.Mackaye_Harbor_Island","Mackaye_Harbor_Island.Mackaye_Harbor_Island.1","Massacre_Bay__1_Island.Massacre_Bay__1_Island","Massacre_Bay__1_Island.Massacre_Bay__1_Island.1","Matia_Island.Matia_Island","Matia_Island.Matia_Island.1","Matia_West__1.Matia_West__1","Matia_West__1.Matia_West__1.1","Matia_West__2.Matia_West__2","Matia_West__2.Matia_West__2.1","McConnell_Island.McConnell_Island","McConnell_Island.McConnell_Island.1","Near_Decatur_Island___Unnamed__3.Near_Decatur_Island___Unnamed__3","Near_Decatur_Island___Unnamed__3.Near_Decatur_Island___Unnamed__3.1","Nob_Island.Nob_Island","Nob_Island.Nob_Island.1","North_Finger_Island.North_Finger_Island","North_Finger_Island.North_Finger_Island.1","Oak_Island.Oak_Island","Oak_Island.Oak_Island.1","Pole_Island.Pole_Island","Pole_Island.Pole_Island.1","Posey_Island.Posey_Island","Posey_Island.Posey_Island.1","Reef_Island.Reef_Island","Reef_Island.Reef_Island.1","Reeflet_Island.Reeflet_Island","Reeflet_Island.Reeflet_Island.1","Rim_Island.Rim_Island","Rim_Island.Rim_Island.1","Ripple_Island.Ripple_Island","Ripple_Island.Ripple_Island.1","Rum_Island.Rum_Island","Rum_Island.Rum_Island.1","Saddlebag_Island.Saddlebag_Island","Saddlebag_Island.Saddlebag_Island.1","Secar_Rock.Secar_Rock","Secar_Rock.Secar_Rock.1","Sentinel_Island.Sentinel_Island","Sentinel_Island.Sentinel_Island.1","Skull_Island.Skull_Island","Skull_Island.Skull_Island.1","Small_Island_near_Charles.Small_Island_near_Charles","Small_Island_near_Charles.Small_Island_near_Charles.1","Swirl_Rock_Central.Swirl_Rock_Central","Swirl_Rock_Central.Swirl_Rock_Central.1","Turn_Island.Turn_Island","Turn_Island.Turn_Island.1","Turnlet_Island.Turnlet_Island","Turnlet_Island.Turnlet_Island.1","Unnamed__1_near_Long_Island.Unnamed__1_near_Long_Island","Unnamed__1_near_Long_Island.Unnamed__1_near_Long_Island.1","Unnamed__2_near_Long_Island.Unnamed__2_near_Long_Island","Unnamed__2_near_Long_Island.Unnamed__2_near_Long_Island.1","Unnamed__3_near_Long_Island.Unnamed__3_near_Long_Island","Unnamed__3_near_Long_Island.Unnamed__3_near_Long_Island.1","Unnamed_72_Island.Unnamed_72_Island","Unnamed_72_Island.Unnamed_72_Island.1","Victim_Island.Victim_Island","Victim_Island.Victim_Island.1","Willow_Island.Willow_Island","Willow_Island.Willow_Island.1","Yellow_Island.Yellow_Island","Yellow_Island.Yellow_Island.1"
"island","Aleck_Rock","Aleck_Rock","Barren_Island","Barren_Island","Battleship_Island","Battleship_Island","Blind_Island","Blind_Island","Boulder_Island","Boulder_Island","Broken_Point_Island","Broken_Point_Island","Buck_Island","Buck_Island","Castle_Island","Castle_Island","Cemetery_Island","Cemetery_Island","Charles_Island","Charles_Island","Cliff_Island","Cliff_Island","Colville_Island","Colville_Island","Coon_Island","Coon_Island","Crab_Island","Crab_Island","Deadman_Island","Deadman_Island","Dot_Island","Dot_Island","Dotlet_Island","Dotlet_Island","East_Sucia_1_Island","East_Sucia_1_Island","East_Sucia_2_Island","East_Sucia_2_Island","East_Sucia_3_Island","East_Sucia_3_Island","East_Sucia_4_Island","East_Sucia_4_Island","East_Sucia_6_Island","East_Sucia_6_Island","East_Sucia_7_Island","East_Sucia_7_Island","East_Sucia_8_Island","East_Sucia_8_Island","Ewing_Island","Ewing_Island","Fawn_Island","Fawn_Island","Flat_Top_Island","Flat_Top_Island","Flint_Beach_Island","Flint_Beach_Island","Flower_Island","Flower_Island","Fortress_Island","Fortress_Island","Gossip_Island","Gossip_Island","Hat_Island","Hat_Island","Huckleberry_Island","Huckleberry_Island","Iceberg_Island","Iceberg_Island","Little_Cactus","Little_Cactus","Little_McConnell_Island","Little_McConnell_Island","Little_Nob","Little_Nob","Little_Oak","Little_Oak","Little_Sucia_Island","Little_Sucia_Island","Low_Island","Low_Island","Mackaye_Harbor_Island","Mackaye_Harbor_Island","Massacre_Bay__1_Island","Massacre_Bay__1_Island","Matia_Island","Matia_Island","Matia_West__1","Matia_West__1","Matia_West__2","Matia_West__2","McConnell_Island","McConnell_Island","Near_Decatur_Island___Unnamed__3","Near_Decatur_Island___Unnamed__3","Nob_Island","Nob_Island","North_Finger_Island","North_Finger_Island","Oak_Island","Oak_Island","Pole_Island","Pole_Island","Posey_Island","Posey_Island","Reef_Island","Reef_Island","Reeflet_Island","Reeflet_Island","Rim_Island","Rim_Island","Ripple_Island","Ripple_Island","Rum_Island","Rum_Island","Saddlebag_Island","Saddlebag_Island","Secar_Rock","Secar_Rock","Sentinel_Island","Sentinel_Island","Skull_Island","Skull_Island","Small_Island_near_Charles","Small_Island_near_Charles","Swirl_Rock_Central","Swirl_Rock_Central","Turn_Island","Turn_Island","Turnlet_Island","Turnlet_Island","Unnamed__1_near_Long_Island","Unnamed__1_near_Long_Island","Unnamed__2_near_Long_Island","Unnamed__2_near_Long_Island","Unnamed__3_near_Long_Island","Unnamed__3_near_Long_Island","Unnamed_72_Island","Unnamed_72_Island","Victim_Island","Victim_Island","Willow_Island","Willow_Island","Yellow_Island","Yellow_Island"
"Metric","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat","DNNS_inv","MDNS_inv_nat"
"n.inv.tax","22","22","18","18","26","26","15","15","24","24","17","17","7","7","26","26","7","7","42","42","33","33","21","21","37","37","7","7","21","21","27","27","10","10","18","18","16","16","15","15","11","11","13","13","20","20","3","3","18","18","32","32","40","40","19","19","22","22","16","16","24","24","32","32","35","35","21","21","11","11","33","33","3","3","8","8","23","23","15","15","14","14","9","9","46","46","15","15","9","9","42","42","14","14","22","22","29","29","24","24","17","17","36","36","27","27","18","18","12","12","17","17","16","16","48","48","3","3","32","32","38","38","3","3","4","4","47","47","20","20","19","19","13","13","6","6","17","17","31","31","20","20","67","67"
"mean.obs.metric","55.1352117272727","339.579091540404","79.310872","343.268911506173","62.9456668461538","323.57579038","59.2226409333333","334.898768121482","65.3502728333333","343.286389318966","59.5372992941176","289.88430905071","39.0777257142857","296.784855328571","58.9842069230769","337.817818183865","69.9797125714286","288.720743214286","73.2848627619048","355.026042330986","43.5622882121212","340.734579302164","81.6621968095238","317.659391612554","53.1944737567568","323.219225237838","49.3661207142857","226.104103666667","53.6834979047619","333.682974320162","66.9784959259259","330.461861237434","53.1917206","394.158778375","64.4930112222222","307.35938240613","53.649993625","322.8728497275","67.4021258666667","348.487003614035","60.9965140909091","326.446145594805","74.909357","297.914708544159","59.6252779","339.818026395238","37.2044686666667","222.5939092","45.0799807777778","347.953554805085","52.45565953125","329.976420409722","48.227047725","346.73815601125","63.2784856315789","329.556502062753","74.8227894545455","328.983753645833","52.3096783125","345.623804048611","106.718884791667","334.257543710318","52.0287389375","346.577148090097","59.153606","343.524286156767","68.3638034285714","337.380194828283","82.5738859090909","325.950612012987","59.9671560606061","307.940472357708","98.8065043333333","250.975920925926","100.48768025","271.724985857143","68.0554141739131","329.147529821589","93.2785894666667","307.723645819444","84.1728471428571","358.534168582418","94.6672148888889","270.154234383838","54.3419360652174","362.435459128194","47.8205459333333","400.060218451282","74.9991615555556","301.602032299145","44.7589091428571","335.884375530378","63.1966775","371.532460714286","41.6653223636364","338.28841147669","46.9976295517241","331.904324525383","67.557869375","318.893838172839","71.4670918235294","282.462074352941","62.4388945833333","291.771194080409","42.4286154814815","367.09414668743","63.5168256666667","359.377227964912","68.4445839166667","342.481804159091","55.7715262352941","285.683490087395","63.9175625625","331.560864626524","53.0276834375","340.115907705197","91.9431676666667","273.907712555556","59.80060090625","333.342323061422","63.1966443157895","334.119767128146","96.691022","285.895688102564","91.458001","275.4547955","47.3642587446809","338.666675218144","69.79265315","329.76733475","62.7202112631579","284.471686381579","78.3834933076923","288.340073245421","65.7643066666667","266.770623458333","53.7931614117647","284.238137331269","57.1217202580645","324.905270278643","63.38463785","377.015289146","53.9514568358209","320.850660961662"
"mean.randomized.null","69.2016506880909","329.68262933999","107.875346226111","335.106406294294","70.8083892700385","320.002376743645","78.7760278525333","326.560120260102","69.6385505905833","335.818364387812","76.3824827233529","270.871387776233","133.852567135143","277.119017824286","67.8934498987692","333.529968082605","115.435235589571","286.333516776857","72.0852013774286","350.574619228368","61.4125680162727","337.699621252627","111.271150112905","312.227366557035","67.6244658398108","322.024077665729","152.233773781714","296.292937113619","88.6514371598572","323.788216095033","69.5912212197778","324.326491486307","114.5824606435","372.457377591925","95.869582563","304.513592618487","85.6089022525","322.66646959047","100.9601027096","335.876112103839","78.5379647382727","308.65575734894","107.249234012154","285.918252323342","73.86080829845","331.375501536102","150.212347016667","293.563517937467","68.9236950956111","331.042520767189","71.139212797875","327.445023301458","61.849092275275","344.274604775048","76.1401257458421","318.220962910393","69.5809059909091","325.342230641032","70.427599494875","321.131709923621","104.855508649375","325.891721225089","63.1878379245625","342.619713981097","64.6811384972","346.324457162243","73.9075471259524","325.750426798318","86.5082363095455","311.185029652987","73.5462295935152","301.469963042381","146.520206877667","289.078509532519","149.544749073375","281.445379673661","73.2488373742174","332.884804964144","104.594960798667","303.287053314889","115.999126647929","361.053020384791","147.144840317667","293.46660335607","63.8844714603043","360.124345476712","73.2846906149333","383.717109369274","97.3736329757778","273.686124221735","56.4097433917857","330.843863858248","91.5311254915714","353.742713707398","69.9630629407727","328.951531186309","61.3462611392069","330.248242188354","78.596941535875","310.485622782477","99.9999827471765","280.856994801059","75.5285898324444","285.534115603626","60.5448377624444","363.157725913178","102.986741266889","372.562679728582","99.1699191336667","319.03368591225","73.8610295515294","279.69697075866","72.9916757735","323.963578656704","65.7143816503125","337.300531168238","150.479967765","290.124941673444","68.927286288","323.429230062418","75.230486052","325.114661689185","112.901269504333","281.478442039872","112.824806678","283.87991687325","57.0056261678936","333.41688534684","82.99406521525","324.48116672125","83.364078639","279.910289612256","109.735441763462","291.48853725874","150.512049083167","289.752740924292","108.730898262059","280.531927590263","66.1347391190645","315.721051627372","77.13012572","361.715283704066","56.7628234656418","317.876574003255"
"median.randomized.null","67.9859292727272","329.554743027777","107.350609138889","334.973828480453","70.5554605961538","319.735903639231","78.7521160666666","326.049117117778","69.774018875","335.768394841954","75.3910635","270.370207138945","133.622089","276.970083928572","67.5962365","333.262021076454","114.5105905","286.297778922078","71.8342313928571","350.561557686284","61.0057683181818","337.481231299134","110.937057880952","312.070574748918","67.5708683648649","321.95908515027","154.217904571429","298.691943285714","87.693726","323.729516133739","68.8994321111111","324.162854403439","113.9581372","372.07863694375","95.14739575","304.368142896551","85.17535765625","322.51447136125","100.770473833333","335.704145415789","78.3545662272728","308.414604437662","106.832971615385","285.524919123931","73.18064425","331.12344732381","156.763584166667","291.031115","68.4642894722222","330.865161365819","71.251590484375","327.476419311632","61.6214968875","344.22156865875","75.4549379736842","317.936639098178","69.0015395909091","325.255742979166","69.0933751875","321.079483638889","104.3457931875","325.636303589286","62.76200265625","342.60222133888","64.5435537","346.183475233083","73.5779617619048","325.410421964647","85.5036287272727","311.554014574675","73.136618030303","301.514962164031","154.123282333334","285.056322777778","149.0392329375","281.526218116072","73.5056068913044","332.816491541979","103.993227066666","302.985727025","114.832678107143","360.905071057693","146.735982","293.688908313131","63.6191184782608","360.051016458203","71.8905952333334","383.672717370513","96.6612396666667","273.089848611111","56.0716200833333","330.713209204707","90.9089981785715","353.712992563776","69.3124497045455","329.035977268065","60.9736797068965","330.05632641954","78.3856008333333","310.202606542439","99.0877813235294","280.545022205882","75.2242686111111","285.511785945906","59.9712928888889","363.183536785634","102.790170277777","372.634021735381","99.4528163333333","318.486130814394","73.2080002352941","279.539928188236","72.35254971875","323.670065470274","65.3232765104166","337.210719390121","157.495231166666","291.319217666667","68.754220671875","323.517892009698","74.7727627763157","325.017593779748","112.063908666666","281.609047307692","111.194402125","283.669192796875","56.990545680851","333.51132746224","82.53670035","324.238292081818","83.0086410526316","279.661166453007","109.105271346154","291.486689761905","150.0655495","289.9703205","107.820039","280.295867210526","65.6878636612903","315.646664077865","76.420590675","361.54948808","56.6311881492538","317.859152779777"
"sd.randomized.null","12.4686415929314","4.44368052181946","18.2925863254176","5.9777523312837","11.4700748253245","5.2267896260895","15.1515082585875","5.53528760654759","12.2327997716697","5.14223377874486","14.4968230233166","9.10399535459877","29.139429746647","7.78765912847076","11.9108851345634","6.08128343066023","28.6284535895266","6.16363812795217","7.97390016240509","4.60605824863054","9.53291540935652","4.0846419237184","14.7221904603632","3.13289481093611","9.13959646881741","2.28855063178098","31.6078547776115","20.76891976357","16.6219327223648","3.5817748825","10.9964679904527","5.26854881874223","25.6375663431693","7.87851283150704","16.1670794721479","3.65679679854287","14.7995601404821","5.3833774474771","16.3886316231484","7.04037357949945","20.0166926475794","6.45732899121931","21.39526692084","7.31220950170278","13.3342826863242","5.39264388137849","48.0057016024197","22.5883535787606","15.5214857214738","5.63005772012536","11.0989464155597","5.1322085681688","8.21998281591541","2.62893184974756","13.3616040835012","5.09032183334707","12.8230252629224","2.70905098700751","15.1015950555466","8.39844211613911","13.1484741569715","8.28013975668384","10.0101032953613","3.49687360960738","9.09428326422676","3.92720460215579","12.9016322919952","6.74376408269717","18.3499407416808","10.2148415490039","10.0397120407326","3.3618405217258","51.6612772567248","22.7586312568706","30.7210600105092","7.02316288095632","12.3260063286347","7.91784842106295","18.5459190723506","4.12943047232517","19.6555402144498","2.9780247878925","27.9165076934631","9.62674542518164","7.28387112549822","3.2609652834266","16.3279022913713","5.30912855097002","24.6118009885174","13.4057386771808","7.93267081052589","3.25169267633109","20.7182155691137","6.04172637373183","12.9420674054479","4.84837476724963","10.6677409783571","3.74806363904701","11.2458074778985","5.97859961179818","17.9515104521753","4.39519591597941","9.81076016256469","3.88880570187143","10.4157434693112","2.91595599203993","16.7393784483259","3.52864262337654","22.9090460278997","7.59442206898805","15.7000266363994","5.0605187845228","15.6221714051692","6.26494260190819","7.23169102908991","2.6926703148722","49.0337911809173","12.9420876380869","10.2959631895945","5.55769701674056","9.39323147189475","3.79171037587069","44.6348502679821","16.9584413209763","38.8909615892794","7.35380226892326","6.81397181865106","3.05261606975122","12.9870806450169","3.7397305539205","14.0586365957481","6.00235068814234","22.3646203274233","3.32349256117371","35.3424736615695","10.2474825960974","18.1945521636831","3.83498110722154","10.0609323047155","5.38858770955443","14.8275457837532","7.03499099061737","5.08809765973204","2.73722701728187"
"se.randomized.null","2.18834834017726","10.4254801370742","3.4113179745376","10.5969950240375","2.23915787541149","10.1193636717721","2.49111673034868","10.3267377300042","2.20216432819107","10.6195091157786","2.41542618744256","8.56570538343589","4.2327898280765","8.76327279273542","2.14697939886639","10.5471436706429","3.65038266701176","9.05466083460903","2.27953421944581","11.086142866079","1.9420359189143","10.678999681345","3.51870272223281","9.87349626156515","2.13847337606053","10.1832954683866","4.81405461953042","9.36960535900072","2.80340459272437","10.2390824238309","2.20066764207139","10.2561041862794","3.62341555540063","11.7781364452384","3.03166239228643","9.62956531155055","2.70719119104619","10.2036096847134","3.19263877366873","10.6213352589018","2.48358851366932","9.76055206146906","3.39151856786805","9.0415290195649","2.33568384044168","10.4790134563471","4.75013149252265","9.2832935461409","2.17955861257108","10.4684836798791","2.24961943392685","10.3547208211952","1.95584002803795","10.8869189164343","2.40776218688488","10.0630304200881","2.20034144589328","10.2882246786548","2.22711624541929","10.1550763226314","3.31582232547511","10.3056010966392","1.99817488263184","10.834586674557","2.04539719303952","10.951740940541","2.33716185194241","10.3011329745463","2.73563063102243","9.84053467450475","2.32573598833187","9.53331729340708","4.63337576972495","9.14146512729456","4.7290201919022","8.90008436699625","2.31633162061794","10.5267418214762","3.30758307899811","9.59077873315969","3.66821446797787","11.4174990049914","4.65312841345601","9.28022883798396","2.02020436930585","11.3881317258377","2.31746539963955","12.1342004278284","3.07922464248737","8.65471516524461","1.78383271343675","10.4622015968273","2.89446833352065","11.1863268100424","2.2124263097456","10.4023607834865","1.9399391113537","10.4433663858211","2.48545352376458","9.81841748728493","3.1622771145862","8.88147800361415","2.3884237233116","9.02938154989281","1.91459587894697","11.484055637728","3.25672671201824","11.7814663911816","3.13602819837099","10.0887309780148","2.33569083707838","8.8447948224688","2.30819945676793","10.244627874943","2.07807121044562","10.6663793447625","4.75859440366117","9.17455621711587","2.17967217604573","10.2277302887184","2.37899685405848","10.2810283165291","3.57025162358203","8.90112989081687","3.56783365670656","8.97707119298735","1.8026761813464","10.5435676805523","2.62450278356743","10.2609954466798","2.6362036354063","8.85154055692097","3.47013936017303","9.21767689568472","4.75960890401865","9.16278619597444","3.43837290544149","8.87119847582663","2.09136408077282","9.98397628406105","2.43906873490335","11.4384416099884","1.7949980857348","10.0521398866135"
"obs.z","-1.12814526393898","2.22708679254064","-1.56153283729052","1.36548066221505","-0.685498790864446","0.683672749811606","-1.2905241237695","1.50645250149534","-0.350555705749502","1.45229199069535","-1.16199138267341","2.08841508963124","-3.25246040313341","2.52525658607595","-0.747991679462947","0.705089665717878","-1.58777430558709","0.38730801320128","0.150448508263538","0.966427878749019","-1.87248905897471","0.743016917080024","-2.01117852557998","1.73386767936079","-1.57884345685134","0.522229028063594","-3.25449651016152","-3.37951295714801","-2.10372282448514","2.76252934640693","-0.237596771628879","1.16452745570112","-2.39456191831003","2.7545047202676","-1.94076928952024","0.778219284368599","-2.15944989743857","0.038336553407885","-2.04763750962184","1.79122476496383","-0.876341109703002","2.75506920431902","-1.51154351716236","1.64060619680325","-1.06758876598965","1.56556320885359","-2.35405117679405","-3.1418672675727","-1.53617474162579","3.00370526885453","-1.68336277760855","0.4932373800948","-1.65718649969684","0.937092087966845","-0.962582039842405","2.22688064202547","0.408786800006801","1.34420615273226","-1.1997355985069","2.91626634872241","0.141718051847409","1.01034798095958","-1.11478359990887","1.13170636139862","-0.60780298310512","-0.713018874529419","-0.429693202527603","1.72452177854272","-0.21440670876489","1.44550282930623","-1.35253615619818","1.92469252289383","-0.923587357455867","-1.67420387353434","-1.59685469207747","-1.38404789711984","-0.421338677089545","-0.472006401715534","-0.610181209561681","1.07438363093618","-1.61920146471855","-0.845812906801161","-1.87980624242143","-2.42162516433145","-1.31009119061456","0.708720716294485","-1.55954783579621","3.07830351537102","-0.90909525193467","2.08238492108817","-1.46871520667025","1.55011932979391","-1.36761044391351","2.94448075044148","-2.18649306101007","1.92577528318375","-1.34504874242761","0.441850111555127","-0.981616676487679","1.40638543075695","-1.58944234802201","0.36518953479338","-1.33421824937256","1.60385448771114","-1.73931148883806","1.34995891055877","-2.35790807418955","-3.73669231231267","-1.34118789492942","3.08754478403193","-1.15219570865543","1.18298529926296","-0.580848396529401","1.21266649234836","-1.75431972436039","1.04557045896373","-1.19380530627039","-1.25306129670789","-0.886433373321869","1.78366920131563","-1.28111840661189","2.37494548535838","-0.363174680927773","0.260474767644382","-0.549402863926355","-1.1456823375377","-1.41494090081538","1.71976748839293","-1.01650343338057","1.41351574733327","-1.46841176491365","0.759935066495594","-1.40185471502621","-0.94733595919561","-2.397900702368","-2.24270861164587","-3.01946079002437","0.966421903363915","-0.895843306367903","1.7043832533313","-0.927023802216898","2.1748436440558","-0.552537867358652","1.08653280843334"
"rankLow","129","983","61","914","259","759","97","923","374","922","119","971","0","993","218","764","53","658","570","827","24","771","16","949","54","713","2","2","14","997","424","876","4","996","23","778","5","520","13","960","197","993","64","938","144","933","8","6","47","999","37","707","45","825","165","987","664","896","108","997","574","833","125","870","281","250","355","956","435","909","80","967","179","87","57","86","347","317","277","851","49","200","30","11","93","763","48","999","192","983","61","937","81","1000","6","976","85","693","166","916","52","654","97","946","32","917","7","0","90","1000","120","887","298","875","33","864","110","92","205","957","88","991","362","589","300","125","76","953","159","914","65","773","83","166","9","17","1","835","177","956","178","978","291","868"
