,Mean DNNS natives,Mean DNNS invasives,n.native.tips,n.invasive.tips,t.DNNS.p.value,t.DNNS.conf.int.Lo,t.DNNS.conf.int.Hi,mean MPD nat_nat,mean MPD inv_nat,t.MPD.p.value,t.MPD.conf.int.Lo,t.MPD.conf.int.Hi
All_SanJuanIslands,50.34881708,47.79849021,226,140,0.756920753,-13.64062019,18.74127394,388.3737961,334.8163093,8.24E-07,32.71353119,74.40144236
Aleck_Rock,120.2677934,55.13521173,54,22,0.02837187,7.103763682,123.1613996,384.6834355,339.5790915,0.071942197,-4.15262459,94.36131242
Barren_Island,157.697236,79.310872,27,18,0.176221579,-37.22481795,193.997546,396.6758681,343.2689115,0.217582205,-33.34681824,140.1607315
Battleship_Island,151.2257939,62.94566685,50,26,0.013547566,18.87680179,157.6834522,366.2505816,323.5757904,0.09462202,-7.606620976,92.9562034
Blind_Island,142.6253921,59.22264093,45,15,0.034207649,6.451837516,160.3536648,378.688432,334.8987681,0.115603441,-11.14027733,98.71960509
Boulder_Island,116.4923366,65.35027283,58,24,0.078239517,-5.915259086,108.1993867,394.9376336,343.2863893,0.040509952,2.302431954,101.0000566
Broken_Point_Island,108.7296453,59.53729929,29,17,0.012679438,11.0639635,87.32072853,271.5376579,289.8843091,0.194085516,-46.57866164,9.885359258
Buck_Island,121.8919656,39.07772571,10,7,0.027012973,11.33238343,154.2960963,287.1867977,296.7848553,0.502892136,-39.93046384,20.73434852
Castle_Island,75.31894439,58.98420692,82,26,0.417952902,-23.50157648,56.17105141,386.7868001,337.8178182,0.018797863,8.29459915,89.64336477
Cemetery_Island,118.6400662,69.97971257,22,7,0.181502478,-26.44568784,123.7663952,295.3944932,288.7207432,0.511881177,-14.6364417,27.9839416
Charles_Island,116.9016823,73.28486276,71,42,0.072656116,-4.08579667,91.31943574,415.0955166,355.0260423,0.009908225,14.82693921,105.3120093
Cliff_Island,97.04530709,43.56228821,70,33,0.012238475,11.93193576,95.03410198,398.1617518,340.7345793,0.008195246,15.29739948,99.55694543
Colville_Island,171.0460825,81.66219681,22,21,0.049637704,0.152210885,178.6155605,353.2311279,317.6593916,0.211333579,-21.75801131,92.90148385
Coon_Island,141.4865003,53.19447376,50,37,0.012280131,19.94728316,156.6367699,371.1839921,323.2192252,0.051053848,-0.22828523,96.15781903
Crab_Island,144.599545,49.36612071,6,7,0.089823459,-20.00565141,210.4725,281.41124,226.1041037,0.140070795,-21.48066306,132.0949357
Deadman_Island,155.614719,53.6834979,47,21,0.007266264,28.63209011,175.230352,375.1465688,333.6829743,0.112951288,-10.16781888,93.09500792
Dot_Island,115.4759944,66.97849593,56,27,0.093713,-8.416983377,105.4119803,373.9941434,330.4618612,0.080358054,-5.417188538,92.48175284
Dotlet_Island,253.1602727,53.1917206,16,10,0.039640326,10.66245329,389.2746509,476.335676,394.1587784,0.231978931,-58.24673454,222.6005298
East_Sucia_1_Island,107.6008213,64.49301122,29,18,0.238296431,-29.69811555,115.9137357,336.0943148,307.3593824,0.192028385,-15.23933509,72.70919995
East_Sucia_2_Island,167.0954596,53.64999363,25,16,0.033154747,9.819296233,217.0716358,376.6909343,322.8728497,0.18602806,-27.6746139,135.3107831
East_Sucia_3_Island,211.720972,67.40212587,19,15,0.036804447,9.786747802,278.8509445,401.5601227,348.4870036,0.316113472,-54.77273333,160.9189715
East_Sucia_4_Island,131.8760615,60.99651409,35,11,0.077199998,-8.092194641,149.8512894,346.9234587,326.4461456,0.351694866,-23.4430968,64.39772301
East_Sucia_6_Island,98.33305078,74.909357,27,13,0.308138432,-23.09569376,69.94308131,295.4274505,297.9147085,0.818295659,-24.66105425,19.68653814
East_Sucia_7_Island,146.1744899,59.6252779,42,20,0.035051596,6.340533594,166.7578905,385.5124121,339.8180264,0.122123052,-12.70964888,104.0984203
East_Sucia_8_Island,167.0112796,37.20446867,5,3,0.05262846,-2.356302935,261.9699248,310.3846688,222.5939092,0.007394563,39.13592517,136.445594
Ewing_Island,95.80096632,45.07998078,59,18,0.046829528,0.730312786,100.7116583,385.3168535,347.9535548,0.123375374,-10.42807303,85.1546705
Fawn_Island,176.2644306,52.45565953,36,32,0.008872038,32.97467063,214.6428715,384.0553289,329.9764204,0.117439648,-14.271677,122.4294939
Flat_Top_Island,108.1043239,48.22704773,80,40,0.004672503,18.80675168,100.9478006,407.365669,346.738156,0.00298651,21.21002618,100.0449997
Flint_Beach_Island,151.8284527,63.27848563,52,19,0.011982392,20.14812153,156.9518125,364.2484965,329.5565021,0.15588749,-13.61048588,82.99447481
Flower_Island,156.7284652,74.82278945,48,22,0.030135588,8.134694037,155.6766574,376.8186787,328.9837536,0.059544037,-2.001715553,97.67156561
Fortress_Island,156.7293494,52.30967831,36,16,0.02121719,16.39799446,192.4413478,369.7284929,345.623804,0.476885648,-43.69809215,91.90746988
Gossip_Island,155.2101087,106.7188848,42,24,0.241789685,-33.70335262,130.6858005,369.2876286,334.2575437,0.260014241,-26.72845801,96.78862774
Hat_Island,95.08239569,52.02873894,77,32,0.049282042,0.137851507,85.96946199,405.0227036,346.5771481,0.005253243,17.89995955,98.99115149
Huckleberry_Island,104.7767017,59.153606,76,35,0.046938639,0.629135092,90.6170563,411.9479882,343.5242862,0.001728061,26.41577753,110.4316266
Iceberg_Island,191.5416496,68.36380343,33,21,0.011154269,29.67881018,216.6768822,380.34893,337.3801948,0.234716129,-29.15428774,115.0917581
Little_Cactus,134.4168617,82.57388591,28,11,0.30347377,-48.9462816,152.6322332,347.7252497,325.950612,0.577445136,-56.93961445,100.4888899
Little_McConnell_Island,108.2832847,59.96715606,46,33,0.073077885,-4.663968913,101.2962263,331.6325498,307.9404724,0.16035182,-9.698346339,57.0825013
Little_Nob,111.3053281,98.80650433,9,3,0.879582649,-235.0783848,260.0760323,280.6989846,250.9759209,0.477080417,-94.18759092,153.6337183
Little_Oak,127.5059731,100.4876803,7,8,0.588099748,-78.60730595,132.6438917,300.4566515,271.7249859,0.023190512,4.695950347,52.76738099
Little_Sucia_Island,93.69097695,68.05541417,58,23,0.114429213,-6.373899341,57.64502489,381.5698501,329.1475298,0.021006667,8.134910698,96.70972991
Low_Island,127.1621695,93.27858947,24,15,0.435793495,-53.41461689,121.181777,335.8969794,307.7236458,0.288451027,-25.38582183,81.73248895
Mackaye_Harbor_Island,208.4261688,84.17284714,13,14,0.218298551,-82.99886495,331.5055082,453.5644516,358.5341686,0.205756089,-59.71546242,249.7760284
Massacre_Bay__1_Island,115.3300141,94.66721489,11,9,0.573432284,-55.90033823,97.22593664,295.2864716,270.1542344,0.103036445,-5.755505016,56.01997938
Matia_Island,96.19574472,54.34193607,97,46,0.024943928,5.350804995,78.35681232,431.3622929,362.4354591,0.000296648,32.40395863,105.449709
Matia_West__1,107.2880247,47.82054593,52,15,0.03631428,3.912676775,115.0222807,472.7003653,400.0602185,0.00946514,18.48155952,126.7987342
Matia_West__2,151.2392995,74.99916156,13,9,0.033188811,6.825152076,145.6551239,278.4430497,301.6020323,0.271645869,-65.98595915,19.66799389
McConnell_Island,86.90844197,44.75890914,87,42,0.022070821,6.173102451,78.12596319,385.3942849,335.8843755,0.007199077,13.72809963,85.29171905
Near_Decatur_Island___Unnamed__3,188.1844417,63.1966775,28,14,0.044395067,3.323824163,246.6517043,430.5116023,371.5324607,0.162165777,-25.14933543,143.1076186
Nob_Island,161.3316394,41.66532236,39,22,0.007587251,33.56219919,205.7704349,386.5487447,338.2884115,0.126266867,-14.18931941,110.7099859
North_Finger_Island,90.92003992,46.99762955,72,29,0.039359261,2.186167693,85.65865304,385.3226797,331.9043245,0.010857343,12.67462863,94.16208164
Oak_Island,161.3419184,67.55786938,27,24,0.031382415,8.924876036,178.6432221,353.5387606,318.8938382,0.220608958,-21.93867922,91.22852399
Pole_Island,111.4458331,71.46709182,22,17,0.083002923,-5.491049921,85.44853255,294.3666213,282.4620744,0.122423073,-3.354473369,27.1635673
Posey_Island,96.60539637,62.43889458,38,36,0.137482946,-11.27147172,79.60447529,302.1624702,291.7711941,0.428621402,-15.77578545,36.55833766
Reef_Island,131.071027,42.42861548,66,27,0.000430486,40.82333528,136.4614877,441.0128425,367.0941467,0.002359186,27.23813467,120.599257
Reeflet_Island,228.6522452,63.51682567,19,18,0.043354668,5.45643432,324.8144047,462.51925,359.377228,0.078312145,-12.92547767,219.2095218
Rim_Island,179.9300007,68.44458392,22,12,0.07365233,-11.43086068,234.4016943,373.1100542,342.4818042,0.507159402,-63.55950493,124.8160049
Ripple_Island,91.4762948,55.77152624,35,17,0.019944752,5.906195929,65.5033412,290.9096306,285.6834901,0.46684407,-9.146093199,19.5983742
