"","Species.Status","Nearest.native","MinDist.Nearest.native","MeanDist.NativeCommunity","Nearest.invasive","MinDist.Nearest.invasive","MeanDist.InvasiveCommunity"
"Achillea_millefolium","n",".Artemisia_campestris.Artemisia_suksdorfii","18.648215","316.891972635556","Anthemis_arvensis","9.017284","244.271128892857"
"Anthemis_arvensis","i","Achillea_millefolium","9.017284","315.529695252212","Soliva_sessilis","45.329483","245.963602597122"
"Artemisia_campestris","n","Artemisia_suksdorfii","9.835508","316.85280604","Anthemis_arvensis","18.648215","244.33992225"
"Artemisia_suksdorfii","n","Artemisia_campestris","9.835508","316.85280604","Anthemis_arvensis","18.648215","244.33992225"
"Soliva_sessilis","i","Achillea_millefolium","45.329483","315.926487110619","Anthemis_arvensis","45.329483","245.963603589928"
"Grindelia_hirsutula","n","Grindelia_integrifolia","0.305402","316.759108191111","Bellis_perennis","23.338696","244.462676935714"
"Grindelia_integrifolia","n","Grindelia_hirsutula","0.305402","316.759108191111","Bellis_perennis","23.338696","244.462676935714"
"Symphyotrichum_subspicatum","n",".Grindelia_hirsutula.Grindelia_integrifolia","7.096306","316.789289986667","Bellis_perennis","23.338696","244.462676935714"
"Bellis_perennis","i",".Grindelia_hirsutula.Grindelia_integrifolia.Symphyotrichum_subspicatum","23.338696","315.634573995575","Anthemis_arvensis","57.824659","246.053496942446"
"Hemizonella_minima","n","Anisocarpus_madioides","15.200044","317.315930253333","Coreopsis_lanceolata","46.309944","244.503559364286"
"Anisocarpus_madioides","n","Hemizonella_minima","15.200044","317.315930253333","Coreopsis_lanceolata","46.309944","244.503559364286"
"Eriophyllum_lanatum","n",".Anisocarpus_madioides.Hemizonella_minima","32.193268","317.391455693333","Coreopsis_lanceolata","46.309944","244.503559364286"
"Coreopsis_lanceolata","i",".Anisocarpus_madioides.Eriophyllum_lanatum.Hemizonella_minima","46.309944","316.316906314159",".Jacobaea_vulgaris.Senecio_sylvaticus.Senecio_vulgaris","61.552463","245.92941271223"
"Senecio_sylvaticus","i",".Anisocarpus_madioides.Eriophyllum_lanatum.Hemizonella_minima","61.552463","316.519239650443","Senecio_vulgaris","4.612342","245.271787517986"
"Senecio_vulgaris","i",".Anisocarpus_madioides.Eriophyllum_lanatum.Hemizonella_minima","61.552463","316.519239650443","Senecio_sylvaticus","4.612342","245.271787517986"
