# Decisivator -d align.concat0530.Decisivator.nex 

Successfully opened file 'align.concat0530.Decisivator.nex'.
Datatype = dna

Parsing Nexus file of 367 taxa and 5745 characters...


READING IN NON-INTERLEAVED DATA...

READING IN CHARSETS...

 (1): atpB, positions 1-1451 (1451 characters)
 (2): rbcL, positions 1452-2762 (1311 characters)
 (3): matK, positions 2763-4218 (1456 characters)
 (4): trnTLF, positions 4219-5099 (881 characters)
 (5): ITS, positions 5100-5745 (646 characters)
Total number of partitions is: 5745

Data contains 367 taxa, and 5 partitions.
There are 735 missing taxon-partitions.

A total of 5 partitions read for 367 taxa.
No user trees are in memory.
Matrix coverage is currently at: 0.599455

Current matrix:
                                    Prop.   Weight
              Thuja_plicata 11100   0.600   1.000
       Hypericum_perforatum 11111   1.000   1.000
    Polypogon_monspeliensis 11101   0.800   1.000
         Dryopteris_expansa 11000   0.400   1.000
           Linnaea_borealis 11111   1.000   1.000
           Lamium_purpureum 11110   0.800   1.000
               Hedera_helix 11111   1.000   1.000
      Shepherdia_canadensis 11111   1.000   1.000
       Symphoricarpos_albus 10111   0.800   1.000
      Asparagus_officinalis 11111   1.000   1.000
       Philadelphus_lewisii 10000   0.200   1.000
    Arctostaphylos_uva_ursi 11111   1.000   1.000
              Festuca_rubra 11111   1.000   1.000
            Typha_latifolia 11110   0.800   1.000
   Eschscholzia_californica 11111   1.000   1.000
        Elymus_trachycaulus 11111   1.000   1.000
       Polypodium_hesperium 11000   0.400   1.000
        Populus_tremuloides 11110   0.800   1.000
        Plantago_lanceolata 11111   1.000   1.000
      Anthoxanthum_odoratum 11111   1.000   1.000
      Danthonia_californica 11111   1.000   1.000
      Athyrium_filix_femina 11000   0.400   1.000
      Maianthemum_racemosum 11111   1.000   1.000
                Alnus_rubra 10101   0.600   1.000
    Chamerion_angustifolium 11111   1.000   1.000
           Taxus_brevifolia 11100   0.600   1.000
            Stellaria_media 11100   0.600   1.000
           Alnus_alnobetula 11111   1.000   1.000
        Equisetum_telmateia 11000   0.400   1.000
        Berberis_aquifolium 11111   1.000   1.000
   Spiranthes_romanzoffiana 11011   0.800   1.000
         Dactylis_glomerata 11111   1.000   1.000
       Eleocharis_palustris 10111   0.800   1.000
       Arabidopsis_thaliana 11111   1.000   1.000
      Buglossoides_arvensis 11111   1.000   1.000
        Festuca_arundinacea 11111   1.000   1.000
              Urtica_dioica 10111   0.800   1.000
        Vulpia_microstachys 10111   0.800   1.000
        Polystichum_munitum 11000   0.400   1.000
         Anagallis_arvensis 11111   1.000   1.000
      Pseudotsuga_menziesii 11000   0.400   1.000
      Triteleia_hyacinthina 11110   0.800   1.000
          Equisetum_hyemale 11000   0.400   1.000
      Asplenium_trichomanes 11000   0.400   1.000
      Geranium_carolinianum 11101   0.800   1.000
           Trisetum_cernuum 10101   0.600   1.000
         Lotus_corniculatus 11111   1.000   1.000
        Cynosurus_cristatus 11111   1.000   1.000
       Cystopteris_fragilis 11000   0.400   1.000
        Pteridium_aquilinum 11000   0.400   1.000
           Myosurus_minimus 11111   1.000   1.000
        Triglochin_maritima 11111   1.000   1.000
       Valerianella_locusta 11111   1.000   1.000
     Polypodium_glycyrrhiza 11000   0.400   1.000
    Micranthes_integrifolia 11110   0.800   1.000
   Pentagramma_triangularis 11000   0.400   1.000
             Juncus_effusus 11111   1.000   1.000
     Campanula_rotundifolia 11111   1.000   1.000
             Lolium_perenne 11111   1.000   1.000
             Vitis_vinifera 11111   1.000   1.000
          Equisetum_arvense 11100   0.600   1.000
               Acer_glabrum 01011   0.600   1.000
             Plantago_major 01111   0.800   1.000
         Heuchera_micrantha 01010   0.400   1.000
           Sinapis_arvensis 01111   0.800   1.000
      Orobanche_californica 01001   0.400   1.000
        Fragaria_virginiana 01111   0.800   1.000
         Tsuga_heterophylla 01000   0.200   1.000
              Vitis_riparia 01111   0.800   1.000
          Spergularia_rubra 01101   0.600   1.000
            Agrostis_scabra 01111   0.800   1.000
               Vicia_sativa 01111   0.800   1.000
              Poa_pratensis 01111   0.800   1.000
     Anaphalis_margaritacea 01111   0.800   1.000
        Lupinus_microcarpus 01011   0.600   1.000
           Trifolium_repens 01111   0.800   1.000
     Tragopogon_porrifolius 01111   0.800   1.000
          Cerastium_arvense 01100   0.400   1.000
            Bromus_tectorum 01011   0.600   1.000
    Bolboschoenus_maritimus 01111   0.800   1.000
         Rumex_occidentalis 01100   0.400   1.000
 Taeniatherum_caput_medusae 01101   0.600   1.000
          Prunus_virginiana 01111   0.800   1.000
           Pyrus_calleryana 01011   0.600   1.000
                Poa_bulbosa 01111   0.800   1.000
  Scorzoneroides_autumnalis 01111   0.800   1.000
          Myosotis_discolor 01111   0.800   1.000
             Montia_fontana 01111   0.800   1.000
    Capsella_bursa_pastoris 01111   0.800   1.000
      Corallorhiza_maculata 01101   0.600   1.000
             Holcus_lanatus 01111   0.800   1.000
            Hordeum_jubatum 01111   0.800   1.000
       Veronica_officinalis 01111   0.800   1.000
                Avena_fatua 01111   0.800   1.000
                Vinca_major 01100   0.400   1.000
             Pyrus_communis 01111   0.800   1.000
        Fritillaria_affinis 01101   0.600   1.000
              Rumex_crispus 01111   0.800   1.000
             Prunus_cerasus 01111   0.800   1.000
        Cynosurus_echinatus 01111   0.800   1.000
               Vicia_cracca 01111   0.800   1.000
          Crepis_capillaris 01101   0.600   1.000
        Gamochaeta_purpurea 01101   0.600   1.000
              Brassica_rapa 01111   0.800   1.000
         Veronica_peregrina 01111   0.800   1.000
          Acer_macrophyllum 01011   0.600   1.000
       Cerastium_glomeratum 01111   0.800   1.000
      Phyllospadix_scouleri 01000   0.200   1.000
               Aira_praecox 01110   0.600   1.000
          Anthemis_arvensis 01101   0.600   1.000
           Opuntia_fragilis 01111   0.800   1.000
          Minuartia_rubella 01111   0.800   1.000
       Camassia_leichtlinii 01110   0.600   1.000
        Adenocaulon_bicolor 01111   0.800   1.000
           Picea_sitchensis 01000   0.200   1.000
    Cerastium_semidecandrum 01110   0.600   1.000
       Selaginella_wallacei 01000   0.200   1.000
      Goodyera_oblongifolia 01001   0.400   1.000
              Vulpia_myuros 01111   0.800   1.000
       Petroselinum_crispum 01101   0.600   1.000
            Listera_cordata 01110   0.600   1.000
           Galium_triflorum 01010   0.400   1.000
             Geranium_molle 01100   0.400   1.000
             Arabis_hirsuta 01111   0.800   1.000
         Brodiaea_coronaria 01110   0.600   1.000
            Cakile_edentula 01100   0.400   1.000
         Olsynium_douglasii 01111   0.800   1.000
       Claytonia_perfoliata 01101   0.600   1.000
        Barbarea_orthoceras 01111   0.800   1.000
        Potentilla_anserina 01111   0.800   1.000
              Vicia_hirsuta 01111   0.800   1.000
          Geum_macrophyllum 01000   0.200   1.000
          Bromus_commutatus 01101   0.600   1.000
          Cerastium_pumilum 01110   0.600   1.000
            Bromus_diandrus 01111   0.800   1.000
          Bromus_hordeaceus 01111   0.800   1.000
           Senecio_vulgaris 01111   0.800   1.000
