Row.names,Area.m2,Size.cat,Total.native.species,Total.invasive.species,Total.species,Total.native.tips,Total.invasive.tips,Total.tips,Percent.native.species,Percent.invasive.species,Percent.native.tips,Percent.invasive.tips
Little_Oak__2,1,sm,1,0,1,0,0,0,0,0,0,0
East_Sucia_3_Island,60,sm,23,15,38,19,15,34,0.605263158,0.394736842,0.558823529,0.441176471
Shag_Reef,80.97166,sm,2,0,2,2,0,2,1,0,1,0
Smallest_unnamed_island_by_Long_Island,80.97166,sm,2,6,8,1,6,7,0.25,0.75,0.142857143,0.857142857
East_Sucia_2_Island,100,sm,29,16,45,25,16,41,0.644444444,0.355555556,0.609756098,0.390243902
East_Sucia_5_Island,100,sm,6,0,6,5,0,5,1,0,1,0
Little_Oak,179,sm,7,8,15,7,8,15,0.466666667,0.533333333,0.466666667,0.533333333
East_Sucia_8_Island,237,sm,7,3,10,5,3,8,0.7,0.3,0.625,0.375
Smaller_Island_near_Charles,242.91498,sm,2,0,2,2,0,2,1,0,1,0
East_Sucia_1_Island,300,sm,35,19,54,29,18,47,0.648148148,0.351851852,0.617021277,0.382978723
Swirl_Rock_West,404.8583,sm,3,0,3,3,0,3,1,0,1,0
Little_Nob,526.31579,sm,9,3,12,9,3,12,0.75,0.25,0.75,0.25
Massacre_Bay__1_Island,566.80162,sm,13,9,22,11,9,20,0.590909091,0.409090909,0.55,0.45
Dotlet_Island,630,sm,17,10,27,16,10,26,0.62962963,0.37037037,0.615384615,0.384615385
Reeflet_Island,687,sm,23,19,42,19,18,37,0.547619048,0.452380952,0.513513514,0.486486486
Pole_Island,728.74494,sm,26,17,43,22,17,39,0.604651163,0.395348837,0.564102564,0.435897436
East_Sucia_4_Island,830,sm,42,11,53,35,11,46,0.79245283,0.20754717,0.760869565,0.239130435
Small_Island_near_Charles,890.68826,sm,13,3,16,13,3,16,0.8125,0.1875,0.8125,0.1875
Unnamed_72_Island,1052.63158,sm,22,17,39,19,17,36,0.564102564,0.435897436,0.527777778,0.472222222
Turnlet_Island,1112,sm,24,20,44,22,20,42,0.545454545,0.454545455,0.523809524,0.476190476
Unnamed_west_of_Castle_Island,1174.08907,sm,4,1,5,4,1,5,0.8,0.2,0.8,0.2
Crab_Island,1214.5749,sm,7,7,14,6,7,13,0.5,0.5,0.461538462,0.538461538
Mackaye_Harbor_Island,1214.5749,sm,16,14,30,13,14,27,0.533333333,0.466666667,0.481481481,0.518518519
Little_Cactus,1336.03239,sm,29,11,40,28,11,39,0.725,0.275,0.717948718,0.282051282
Oak_Island,1420,sm,33,25,58,27,24,51,0.568965517,0.431034483,0.529411765,0.470588235
Swirl_Rock_East,1457.48988,sm,1,0,1,0,0,0,0,0,0,0
Matia_West__2,1800,med,14,9,23,13,9,22,0.608695652,0.391304348,0.590909091,0.409090909
Broken_Point_Island,1850,med,34,19,53,29,17,46,0.641509434,0.358490566,0.630434783,0.369565217
Low_Island,1862.34818,med,24,15,39,24,15,39,0.615384615,0.384615385,0.615384615,0.384615385
Rim_Island,2024.2915,med,24,12,36,22,12,34,0.666666667,0.333333333,0.647058824,0.352941176
East_Sucia_6_Island,2200,med,32,13,45,27,13,40,0.711111111,0.288888889,0.675,0.325
Unnamed__3_near_Long_Island,2226.72065,med,10,6,16,8,6,14,0.625,0.375,0.571428571,0.428571429
Nob_Island,2874.49393,med,44,22,66,39,22,61,0.666666667,0.333333333,0.639344262,0.360655738
Unnamed__1_near_Long_Island,3522.26721,med,31,20,51,28,19,47,0.607843137,0.392156863,0.595744681,0.404255319
Cemetery_Island,3886.63968,med,24,7,31,22,7,29,0.774193548,0.225806452,0.75862069,0.24137931
Buck_Island,4372.46964,med,10,7,17,10,7,17,0.588235294,0.411764706,0.588235294,0.411764706
Posey_Island,4412.95547,med,43,36,79,38,36,74,0.544303797,0.455696203,0.513513514,0.486486486
Secar_Rock,4615.38462,med,7,3,10,6,3,9,0.7,0.3,0.666666667,0.333333333
Rum_Island,4858.2996,med,44,17,61,41,16,57,0.721311475,0.278688525,0.719298246,0.280701754
Swirl_Rock_Central,4858.2996,med,16,4,20,16,4,20,0.8,0.2,0.8,0.2
