Species,Status,Maximum Height (m),Seed Mass (mg),SLA (cm^2/g),Leaf Size (cm^2),Leaf Nitrogen (%)
Abies_grandis,n,68.57142857,17.21540461,NA,0.365239647,NA
Acer_glabrum,n,10,36.58031443,268.0889659,22.57300284,NA
Acer_macrophyllum,n,19.69728499,133.3852804,252.1900766,128.0844641,2.64
Achillea_millefolium,n,0.461538462,0.146208383,187.2335203,5.671022463,2.498042225
Achnatherum_lemmonii,n,0.9,5.627292304,NA,NA,NA
Acmispon_denticulatus,n,NA,6.05,NA,NA,NA
Acmispon_parviflorus,n,NA,2.132685689,NA,NA,NA
Adenocaulon_bicolor,n,1,5.487700722,NA,NA,NA
Agoseris_grandiflora,n,0.7,1.229879238,NA,NA,NA
Agrostis_exarata,n,1,0.1052,NA,NA,NA
Agrostis_scabra,n,0.666666667,0.065339416,123.2362833,NA,1.55
Agrostis_stolonifera,i,0.352941176,0.069304054,295.1380958,3.170752474,NA
Aira_caryophyllea,i,0.3,0.139235747,194.6000334,0.128701069,NA
Aira_praecox,i,0.08,0.165651466,174.4372204,0.149909896,NA
Allium_acuminatum,n,0.3,2.316108408,NA,NA,NA
Allium_cernuum,n,0.5,3.813817271,NA,6.75,NA
Alnus_alnobetula,n,NA,1.723952003,233.384424,21.40343976,NA
Alnus_rubra,n,25,0.979475389,153.8290993,NA,2.246821903
Ambrosia_chamissonis,n,NA,NA,NA,NA,NA
Amelanchier_alnifolia,n,10,5.483855104,106.2328946,NA,1.82
Amsinckia_menziesii,n,0.8,2.020187047,234.6785035,19.20831851,NA
Amsinckia_spectabilis,n,0.4,1.204342144,NA,NA,NA
Anagallis_arvensis,i,0.285714286,0.467533454,307.1891506,0.407921561,2.74779374
Anaphalis_margaritacea,n,0.9,0.072740435,128,14.71,NA
Anisocarpus_madioides,n,NA,NA,NA,NA,NA
Anthemis_arvensis,i,0.6,0.66315609,417.3017275,4.696991789,NA
Anthoxanthum_odoratum,i,0.420384018,0.523673115,293.3327397,1.367113748,2.150306808
Anthriscus_caucalis,i,0.9,1.128482887,377.0496785,29.27590064,NA
Aphanes_australis,i,NA,NA,NA,NA,NA
Aquilegia_formosa,n,1,1.217628036,NA,NA,NA
Arabidopsis_thaliana,i,0.4,0.021012472,326.5610829,2.430637776,3.57
Arabis_hirsuta,n,0.685714286,0.100069333,238.5449927,3.74,2
Arbutus_menziesii,n,13.86051769,17.7830114,71.34637786,49.27,1.211213597
Arctostaphylos_uva_ursi,n,NA,11.66303511,54.8478367,1.721300621,1.08706697
Arenaria_serpyllifolia,n,0.272727273,0.070219227,205.8547732,0.068837622,NA
Armeria_maritima,n,0.5,0.921124622,186.5288402,1.004255905,1.7
Artemisia_campestris,n,1,0.135921844,161.5796747,1.724612714,NA
Artemisia_suksdorfii,n,1.5,0.6268,NA,NA,NA
Asparagus_officinalis,i,1.5,23.09494057,98.58913103,0.131951129,NA
Aspidotis_densa,n,NA,NA,NA,NA,NA
Asplenium_trichomanes,n,0.222222222,NA,109,10.42,NA
Athyrium_filix_femina,n,NA,NA,182.6488075,677.3,2.08808535
Atriplex_dioica,n,NA,NA,NA,NA,NA
Atriplex_gmelinii,n,NA,NA,NA,NA,NA
Atriplex_prostrata,i,1,1.522895768,205.4210886,25.40024175,NA
Avena_fatua,i,0.8,10.52390143,253.3337792,51.79674314,2.83
Barbarea_orthoceras,n,0.6,NA,NA,NA,NA
Barbarea_vulgaris,i,0.8,0.565583421,256.4488253,28.21947554,NA
Bellis_perennis,i,0.052173913,0.112879042,264.4339359,3.585484626,NA
Berberis_aquifolium,n,4.5,9.895296194,NA,NA,NA
Berberis_nervosa,n,0.6,16.37399883,NA,NA,NA
Betula_papyrifera,n,18,0.310319682,147.1620517,23.15669246,1.942392615
Bolboschoenus_maritimus,n,NA,2.239291645,123.9991869,17.77773472,NA
Brassica_nigra,i,1.5,0.825305101,265.5469153,70.55798747,NA
Brassica_rapa,i,0.4,1.932685624,274.3439161,32.48168836,NA
Brodiaea_coronaria,n,0.4,1.579341635,NA,NA,NA
Bromus_carinatus,n,1.3,5.698778198,206,17.16,NA
Bromus_commutatus,i,1.2,4.31581821,269.8068058,8.523037386,NA
Bromus_diandrus,i,NA,9.703417057,NA,NA,NA
Bromus_hordeaceus,i,0.509090909,1.885675969,287.4019297,1.610281978,2.540940378
Bromus_pacificus,n,NA,NA,NA,NA,NA
Bromus_sitchensis,n,NA,NA,NA,NA,NA
Bromus_sterilis,i,0.571428571,7.486311347,337.0945064,4.538479246,NA
Bromus_tectorum,i,0.884210526,3.026209351,332.0807176,7.208313055,NA
Bromus_vulgaris,i,NA,NA,NA,NA,NA
Buglossoides_arvensis,i,NA,5.86027406,270.5227776,2.026082855,NA
Cakile_edentula,i,0.5,9.851642192,NA,NA,NA
Cakile_maritima,i,0.45,13.84818725,164.3386032,8.093464239,NA
Calamagrostis_purpurascens,n,0.436363636,NA,NA,NA,NA
Calandrinia_ciliata,n,0.35,0.473181293,NA,NA,NA
Calypso_bulbosa,n,0.2,0.000447214,NA,NA,NA
Camassia_leichtlinii,n,1,7.550432041,NA,NA,NA
Camassia_quamash,n,0.7,3.868714346,NA,NA,NA
Campanula_rotundifolia,n,0.212427749,0.059177529,240.9068909,0.502684045,1.880804231
Capsella_bursa_pastoris,i,NA,0.105182669,290.7557433,10.40686617,4.184494681
Cardamine_flexuosa,i,0.15,0.12662562,393.5784547,6.61,NA
Cardamine_hirsuta,i,0.3,0.117013949,274.2238441,3.220246789,NA
Cardamine_oligosperma,n,0.5,0.152,NA,NA,NA
Carex_deweyana,n,NA,NA,NA,NA,NA
Carex_inops,n,0.5,2.48,NA,NA,NA
Carex_lyngbyei,n,NA,1.5656,NA,NA,NA
Carex_obnupta,n,1.5,0.56477629,NA,NA,NA
Carex_pansa,n,0.3,0.9436,NA,NA,NA
Castilleja_attenuata,n,0.35,0.04,NA,NA,NA
Castilleja_hispida,n,0.6,0.107,NA,NA,NA
Castilleja_victoriae,n,NA,NA,NA,NA,NA
Cerastium_arvense,n,0.4,0.269208937,221.1896882,NA,3.5
Cerastium_fontanum,i,0.218181818,0.128260272,289.9885473,0.617912845,2.41
Cerastium_glomeratum,i,0.5,0.044771983,203.4600391,1.687684936,NA
Cerastium_pumilum,i,0.5,0.097899661,306.2066887,0.197941153,NA
Cerastium_semidecandrum,i,0.2,0.035721054,187.7625921,0.300797876,NA
Chamerion_angustifolium,n,3,0.04659001,185.4534587,NA,3.178166799
Chenopodium_album,i,1,0.602605244,220.0738116,16.07160038,3.577772166
Cirsium_arvense,i,1.333333333,1.298344525,133.7819548,35.59970356,2.223286532
Cirsium_vulgare,i,1.714285714,2.802348142,145.469091,51.42430892,NA
Clarkia_amoena,n,NA,NA,NA,NA,NA
Claytonia_exigua,n,1.5,0.456,NA,NA,NA
Claytonia_parviflora,n,0.3,0.279033153,NA,NA,NA
Claytonia_perfoliata,n,0.291666667,0.651074866,442.3133385,6.831161715,NA
Claytonia_rubra,n,0.6,0.289,NA,NA,NA
Collinsia_grandiflora,n,0.4,NA,NA,NA,NA
Collinsia_parviflora,n,0.4,1.641347637,NA,NA,NA
Conioselinum_pacificum,n,NA,NA,NA,NA,NA
Conringia_orientalis,i,0.5,2.53968502,301.7384135,48.44697993,NA
Corallorhiza_maculata,n,0.5,0.002356028,NA,NA,NA
Coreopsis_lanceolata,i,0.2,1.133402478,NA,NA,NA
Corylus_cornuta,n,3,447.5033133,302.32,33.21,1.953619192
Cotoneaster_dielsianus,i,NA,19.27755171,NA,NA,NA
Cotoneaster_franchetii,i,NA,11.53998354,NA,NA,NA
Cotoneaster_horizontalis,i,0.5,10.89205717,109.3050093,0.412702659,NA
Crassula_tillaea,i,NA,0.009591663,NA,NA,NA
Crataegus_douglasii,n,7,24.12051781,97.3,NA,NA
Crataegus_monogyna,i,4.205058179,104.2861733,111.7150347,4.975799182,1.681000878
Crepis_capillaris,i,0.45,0.231576267,277.8891818,14.57061661,NA
Cuscuta_salina,n,NA,1.252,NA,NA,NA
Cynosurus_cristatus,i,0.177777778,0.514688493,227.9273582,3.505441022,NA
Cynosurus_echinatus,i,0.5,1.429934655,NA,NA,NA
Cystopteris_fragilis,n,0.276923077,NA,214,19.7,NA
Dactylis_glomerata,i,1.054882717,0.83345553,250.9600457,10.26777952,2.672732347
Danthonia_californica,n,1.3,2.38181849,NA,NA,NA
Daphne_laureola,i,1.8,NA,90.34187708,15.25060269,NA
Daucus_pusillus,n,0.9,0.780176456,NA,NA,NA
Delphinium_menziesii,n,0.7,1.536,NA,NA,NA
Delphinium_nuttallianum,n,0.7,0.415480645,NA,NA,NA
Digitalis_purpurea,i,1.348469228,0.085463283,226.3813845,320.6795545,3.78
Distichlis_spicata,n,0.4,0.441687672,NA,NA,NA
Dryopteris_expansa,n,0.7,NA,205.6045362,605.3478601,NA
Eleocharis_palustris,n,0.75,0.704215209,103.1,NA,1.45
Elymus_glaucus,n,1.8,4.244005223,NA,NA,NA
Elymus_repens,i,0.918058124,3.814083821,260.2344072,26.12165889,2.37584755
Elymus_trachycaulus,n,1.2,3.506930282,NA,NA,NA
Epilobium_ciliatum,n,1.5,0.071739632,479.8397034,4.176293469,NA
Epilobium_minutum,n,0.45,0.090853729,NA,NA,NA
Epilobium_paniculatum,n,NA,NA,NA,NA,NA
Epipactis_helleborine,i,1,0.002634311,273.9167338,22.61959249,NA
Equisetum_arvense,n,0.232258065,NA,104.9467213,1.577433655,1.683777056
Equisetum_hyemale,n,1.2,NA,29.62154902,13.62984416,NA
Equisetum_telmateia,n,1.5,NA,162.2980106,0.491100337,NA
Eriophyllum_lanatum,n,0.6,0.892265643,NA,NA,NA
Erodium_cicutarium,i,0.257142857,2.037322398,344.7452578,8.918667895,1.97
Erophila_verna,i,0.25,0.034501913,315.0137673,1.102270384,NA
Erythronium_oregonum,n,0.35,5.0544,NA,NA,NA
Eschscholzia_californica,i,0.5,1.330813379,NA,NA,NA
Festuca_arundinacea,i,2,2.239725451,176.5743251,36.40892748,NA
Festuca_occidentalis,n,1.1,0.278,NA,NA,NA
Festuca_pratensis,i,0.4875,2.087171781,241.958618,5.028081145,NA
Festuca_roemeri,n,NA,NA,NA,NA,NA
Festuca_rubra,n,0.8,1.029774268,168.0623132,0.811702966,2.085904247
Festuca_subuliflora,n,NA,NA,NA,NA,NA
Fragaria_vesca,n,0.15,0.322860772,211.2621625,17.22183787,1.959731703
Fragaria_virginiana,n,0.15,0.460685055,NA,NA,1.621600279
Fritillaria_affinis,n,0.8,2.204,NA,NA,NA
Galium_aparine,n,0.571428571,8.296528701,333.6211091,1.313828707,2.820979493
Galium_triflorum,n,0.8,0.798041104,NA,0.75,1.905135813
Gamochaeta_purpurea,n,NA,0.0104,NA,NA,NA
Gaultheria_shallon,n,3,0.139346991,69.24902224,28.77491181,0.88904352
Gayophytum_diffusum,n,0.6,0.2988,NA,NA,NA
Geranium_carolinianum,i,0.7,2.404972589,NA,NA,NA
Geranium_dissectum,i,0.6,2.254139087,229.8499569,10.61980912,NA
Geranium_molle,i,0.24,1.082689884,299.0009532,6.926225756,NA
Geranium_robertianum,i,0.545454545,1.383172642,415.0009869,11.90408947,2.576819745
Geum_macrophyllum,n,1,0.609469491,NA,NA,NA
