Row.names,Status,Habit,woodiness,sla,leafletSize,seedMass,leafN,maxHeight
Abies_grandis,n,t,W,NA,0.365239647,17.21540461,NA,68.57142857
Acer_glabrum,n,t,W,268.0889659,22.57300284,36.58031443,NA,10
Acer_macrophyllum,n,t,W,252.1900766,128.0844641,133.3852804,2.64,19.69728499
Achillea_millefolium,n,p,H,187.2335203,5.671022463,0.146208383,2.498042225,0.461538462
Achnatherum_lemmonii,n,p,NA,NA,NA,5.627292304,NA,0.9
Acmispon_denticulatus,n,a,W,NA,NA,6.05,NA,NA
Acmispon_parviflorus,n,a,H,NA,NA,2.132685689,NA,NA
Adenocaulon_bicolor,n,p,NA,NA,NA,5.487700722,NA,1
Agoseris_grandiflora,n,p,H,NA,NA,1.229879238,NA,0.7
Agrostis_exarata,n,p,NA,NA,NA,0.1052,NA,1
Agrostis_scabra,n,p,NA,123.2362833,NA,0.065339416,1.55,0.666666667
Agrostis_stolonifera,i,p,NA,295.1380958,3.170752474,0.069304054,NA,0.352941176
Aira_caryophyllea,i,a,H,194.6000334,0.128701069,0.139235747,NA,0.3
Aira_praecox,i,a,H,174.4372204,0.149909896,0.165651466,NA,0.08
Allium_acuminatum,n,p,H,NA,NA,2.316108408,NA,0.3
Allium_cernuum,n,p,H,NA,6.75,3.813817271,NA,0.5
Alnus_alnobetula,n,t,H,233.384424,21.40343976,1.723952003,NA,NA
Alnus_rubra,n,t,H,153.8290993,NA,0.979475389,2.246821903,25
Ambrosia_chamissonis,n,p,W,NA,NA,NA,NA,NA
Amelanchier_alnifolia,n,s,W,106.2328946,NA,5.483855104,1.82,10
Amsinckia_menziesii,n,p,NA,234.6785035,19.20831851,2.020187047,NA,0.8
Amsinckia_spectabilis,n,p,W,NA,NA,1.204342144,NA,0.4
Anagallis_arvensis,i,a,NA,307.1891506,0.407921561,0.467533454,2.74779374,0.285714286
Anaphalis_margaritacea,n,p,NA,128,14.71,0.072740435,NA,0.9
Anisocarpus_madioides,n,p,H,NA,NA,NA,NA,NA
Anthemis_arvensis,i,a,NA,417.3017275,4.696991789,0.66315609,NA,0.6
Anthoxanthum_odoratum,i,p,NA,293.3327397,1.367113748,0.523673115,2.150306808,0.420384018
Anthriscus_caucalis,i,a,H,377.0496785,29.27590064,1.128482887,NA,0.9
Aphanes_australis,i,a,H,NA,NA,NA,NA,NA
Aquilegia_formosa,n,p,H,NA,NA,1.217628036,NA,1
Arabidopsis_thaliana,i,a,NA,326.5610829,2.430637776,0.021012472,3.57,0.4
Arabis_hirsuta,n,p,H,238.5449927,3.74,0.100069333,2,0.685714286
Arbutus_menziesii,n,t,H,71.34637786,49.27,17.7830114,1.211213597,13.86051769
Arctostaphylos_uva_ursi,n,s,W,54.8478367,1.721300621,11.66303511,1.08706697,NA
Arenaria_serpyllifolia,n,a,W,205.8547732,0.068837622,0.070219227,NA,0.272727273
Armeria_maritima,n,p,H,186.5288402,1.004255905,0.921124622,1.7,0.5
Artemisia_campestris,n,p,H,161.5796747,1.724612714,0.135921844,NA,1
Artemisia_suksdorfii,n,p,NA,NA,NA,0.6268,NA,1.5
Asparagus_officinalis,i,p,NA,98.58913103,0.131951129,23.09494057,NA,1.5
Aspidotis_densa,n,p,H,NA,NA,NA,NA,NA
Asplenium_trichomanes,n,p,NA,109,10.42,NA,NA,0.222222222
Athyrium_filix_femina,n,p,H,182.6488075,677.3,NA,2.08808535,NA
Atriplex_dioica,n,a,H,NA,NA,NA,NA,NA
Atriplex_gmelinii,n,a,NA,NA,NA,NA,NA,NA
Atriplex_prostrata,i,a,NA,205.4210886,25.40024175,1.522895768,NA,1
Avena_fatua,i,a,H,253.3337792,51.79674314,10.52390143,2.83,0.8
Barbarea_orthoceras,n,p,H,NA,NA,NA,NA,0.6
Barbarea_vulgaris,i,a,NA,256.4488253,28.21947554,0.565583421,NA,0.8
Bellis_perennis,i,p,H,264.4339359,3.585484626,0.112879042,NA,0.052173913
Berberis_aquifolium,n,s,H,NA,NA,9.895296194,NA,4.5
Berberis_nervosa,n,s,W,NA,NA,16.37399883,NA,0.6
Betula_papyrifera,n,t,W,147.1620517,23.15669246,0.310319682,1.942392615,18
Bolboschoenus_maritimus,n,p,W,123.9991869,17.77773472,2.239291645,NA,NA
Brassica_nigra,i,a,H,265.5469153,70.55798747,0.825305101,NA,1.5
Brassica_rapa,i,a,H,274.3439161,32.48168836,1.932685624,NA,0.4
Brodiaea_coronaria,n,p,H,NA,NA,1.579341635,NA,0.4
Bromus_carinatus,n,p,H,206,17.16,5.698778198,NA,1.3
Bromus_commutatus,i,p,H,269.8068058,8.523037386,4.31581821,NA,1.2
Bromus_diandrus,i,a,H,NA,NA,9.703417057,NA,NA
Bromus_hordeaceus,i,a,H,287.4019297,1.610281978,1.885675969,2.540940378,0.509090909
Bromus_pacificus,n,p,NA,NA,NA,NA,NA,NA
Bromus_sitchensis,n,p,NA,NA,NA,NA,NA,NA
Bromus_sterilis,i,a,H,337.0945064,4.538479246,7.486311347,NA,0.571428571
Bromus_tectorum,i,a,H,332.0807176,7.208313055,3.026209351,NA,0.884210526
Bromus_vulgaris,i,a,NA,NA,NA,NA,NA,NA
Buglossoides_arvensis,i,a,W,270.5227776,2.026082855,5.86027406,NA,NA
Cakile_edentula,i,p,H,NA,NA,9.851642192,NA,0.5
Cakile_maritima,i,p,H,164.3386032,8.093464239,13.84818725,NA,0.45
Calamagrostis_purpurascens,n,p,H,NA,NA,NA,NA,0.436363636
Calandrinia_ciliata,n,p,H,NA,NA,0.473181293,NA,0.35
Calypso_bulbosa,n,p,NA,NA,NA,0.000447214,NA,0.2
Camassia_leichtlinii,n,p,H,NA,NA,7.550432041,NA,1
Camassia_quamash,n,p,H,NA,NA,3.868714346,NA,0.7
Campanula_rotundifolia,n,p,H,240.9068909,0.502684045,0.059177529,1.880804231,0.212427749
Capsella_bursa_pastoris,i,a,H,290.7557433,10.40686617,0.105182669,4.184494681,NA
Cardamine_flexuosa,i,a,H,393.5784547,6.61,0.12662562,NA,0.15
Cardamine_hirsuta,i,a,H,274.2238441,3.220246789,0.117013949,NA,0.3
Cardamine_oligosperma,n,a,H,NA,NA,0.152,NA,0.5
Carex_deweyana,n,p,NA,NA,NA,NA,NA,NA
Carex_inops,n,p,H,NA,NA,2.48,NA,0.5
Carex_lyngbyei,n,p,H,NA,NA,1.5656,NA,NA
Carex_obnupta,n,p,H,NA,NA,0.56477629,NA,1.5
Carex_pansa,n,p,H,NA,NA,0.9436,NA,0.3
Castilleja_attenuata,n,a,H,NA,NA,0.04,NA,0.35
Castilleja_hispida,n,p,NA,NA,NA,0.107,NA,0.6
Castilleja_victoriae,n,a,NA,NA,NA,NA,NA,NA
Cerastium_arvense,n,p,NA,221.1896882,NA,0.269208937,3.5,0.4
Cerastium_fontanum,i,a,H,289.9885473,0.617912845,0.128260272,2.41,0.218181818
